p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
53	76	I	0	54	75	Xe	0	0.0148923	0.000197426	0	0	10/07/2024
53	76	I	0	54	75	Xe	0.4	0.014839	0.00019703	4.14805E-07	2.59375E-08	10/07/2024
53	76	I	0	54	75	Xe	0.8	0.014786	0.000196634	1.65236E-06	1.03231E-07	10/07/2024
53	76	I	0	54	75	Xe	1.2	0.0147333	0.00019624	3.70244E-06	2.31106E-07	10/07/2024
53	76	I	0	54	75	Xe	1.6	0.0146807	0.000195847	6.55488E-06	4.08795E-07	10/07/2024
53	76	I	0	54	75	Xe	2	0.0146284	0.000195455	1.01996E-05	6.35536E-07	10/07/2024
53	76	I	0	54	75	Xe	2.4	0.0145763	0.000195064	1.46266E-05	9.10575E-07	10/07/2024
53	76	I	0	54	75	Xe	2.8	0.0145245	0.000194673	0.000019826	1.23316E-06	10/07/2024
53	76	I	0	54	75	Xe	3.2	0.0144728	0.000194282	2.57878E-05	1.60255E-06	10/07/2024
53	76	I	0	54	75	Xe	3.6	0.0144214	0.000193891	3.25023E-05	2.01801E-06	10/07/2024
53	76	I	0	54	75	Xe	4	0.0143702	0.000193501	3.99598E-05	2.4788E-06	10/07/2024
53	76	I	0	54	75	Xe	4.4	0.0143192	0.000193109	4.81507E-05	2.9842E-06	10/07/2024
53	76	I	0	54	75	Xe	4.8	0.0142684	0.000192717	5.70653E-05	3.53349E-06	10/07/2024
53	76	I	0	54	75	Xe	5.2	0.0142178	0.000192324	6.66942E-05	4.12596E-06	10/07/2024
53	76	I	0	54	75	Xe	5.6	0.0141675	0.00019193	0.000077028	4.7609E-06	10/07/2024
53	76	I	0	54	75	Xe	6	0.0141173	0.000191534	8.80572E-05	5.43761E-06	10/07/2024
53	76	I	0	54	75	Xe	6.4	0.0140673	0.000191137	9.97727E-05	6.15539E-06	10/07/2024
53	76	I	0	54	75	Xe	6.8	0.0140175	0.000190739	0.000112165	6.91356E-06	10/07/2024
53	76	I	0	54	75	Xe	7.2	0.0139679	0.000190338	0.000125226	7.71143E-06	10/07/2024
53	76	I	0	54	75	Xe	7.6	0.0139185	0.000189935	0.000138945	8.54832E-06	10/07/2024
53	76	I	0	54	75	Xe	8	0.0138693	0.00018953	0.000153314	9.42356E-06	10/07/2024
