p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
37	51	Rb	0	38	50	Sr	0	0.0001701	7.26829E-08	0	0	19/07/2024
37	51	Rb	0	38	50	Sr	1	0.000171591	7.28773E-08	1.85001E-09	4.6234E-13	19/07/2024
37	51	Rb	0	38	50	Sr	2	0.000172526	7.30694E-08	7.20373E-09	1.6963E-12	19/07/2024
37	51	Rb	0	38	50	Sr	3	0.000172908	7.32592E-08	1.605E-08	3.70565E-12	19/07/2024
37	51	Rb	0	38	50	Sr	4	0.00017318	7.34488E-08	2.83775E-08	6.49034E-12	19/07/2024
37	51	Rb	0	38	50	Sr	5	0.00017341	7.36385E-08	4.41622E-08	1.00493E-11	19/07/2024
37	51	Rb	0	38	50	Sr	6	0.000173609	7.38284E-08	6.33974E-08	1.43826E-11	19/07/2024
37	51	Rb	0	38	50	Sr	7	0.000173817	7.40194E-08	8.60587E-08	1.94892E-11	19/07/2024
37	51	Rb	0	38	50	Sr	8	0.000174021	7.42114E-08	1.12139E-07	2.53691E-11	19/07/2024
37	51	Rb	0	38	50	Sr	9	0.000174223	7.44042E-08	1.41616E-07	3.20212E-11	19/07/2024
37	51	Rb	0	38	50	Sr	10	0.000174423	7.45978E-08	1.7448E-07	3.94456E-11	19/07/2024
37	51	Rb	0	38	50	Sr	11	0.000174622	7.47924E-08	2.1071E-07	4.76412E-11	19/07/2024
37	51	Rb	0	38	50	Sr	12	0.00017482	7.49879E-08	2.50297E-07	5.66081E-11	19/07/2024
37	51	Rb	0	38	50	Sr	13	0.000175017	7.51843E-08	2.93217E-07	6.63452E-11	19/07/2024
37	51	Rb	0	38	50	Sr	14	0.000175213	7.53815E-08	3.39464E-07	7.68526E-11	19/07/2024
37	51	Rb	0	38	50	Sr	15	0.000175411	7.55797E-08	3.89013E-07	8.81291E-11	19/07/2024
37	51	Rb	0	38	50	Sr	16	0.000175608	7.57788E-08	4.4186E-07	1.00175E-10	19/07/2024
37	51	Rb	0	38	50	Sr	17	0.000175807	7.59789E-08	4.97961E-07	1.12961E-10	19/07/2024
37	51	Rb	0	38	50	Sr	18	0.000176006	7.61798E-08	5.57324E-07	1.2651E-10	19/07/2024
37	51	Rb	0	38	50	Sr	19	0.000176208	7.63817E-08	6.19923E-07	1.40819E-10	19/07/2024
37	51	Rb	0	38	50	Sr	20	0.00017641	7.65845E-08	6.85754E-07	1.5589E-10	19/07/2024
37	51	Rb	0	38	50	Sr	21	0.000176614	7.67882E-08	7.54793E-07	1.7172E-10	19/07/2024
37	51	Rb	0	38	50	Sr	22	0.00017682	7.69929E-08	8.27033E-07	1.88311E-10	19/07/2024
37	51	Rb	0	38	50	Sr	23	0.000177028	7.71985E-08	9.02446E-07	2.0566E-10	19/07/2024
37	51	Rb	0	38	50	Sr	24	0.000177237	7.74051E-08	9.8103E-07	2.23767E-10	19/07/2024
37	51	Rb	0	38	50	Sr	25	0.000177449	7.76145E-08	1.06274E-06	2.42605E-10	19/07/2024
37	51	Rb	0	38	50	Sr	26	0.000177664	7.78254E-08	1.14759E-06	2.62194E-10	19/07/2024
37	51	Rb	0	38	50	Sr	27	0.00017788	7.80376E-08	1.23555E-06	2.82534E-10	19/07/2024
37	51	Rb	0	38	50	Sr	28	0.000178098	7.82513E-08	1.32661E-06	3.03625E-10	19/07/2024
37	51	Rb	0	38	50	Sr	29	0.000178319	7.84663E-08	1.42076E-06	3.25466E-10	19/07/2024
37	51	Rb	0	38	50	Sr	30	0.000178541	7.86826E-08	1.51799E-06	3.48057E-10	19/07/2024
37	51	Rb	0	38	50	Sr	31	0.000178765	7.89004E-08	1.61826E-06	3.71397E-10	19/07/2024
37	51	Rb	0	38	50	Sr	32	0.00017899	7.91195E-08	1.72159E-06	3.95485E-10	19/07/2024
37	51	Rb	0	38	50	Sr	33	0.000179218	7.93398E-08	1.82792E-06	4.20294E-10	19/07/2024
37	51	Rb	0	38	50	Sr	34	0.000179447	7.95614E-08	1.93725E-06	4.45844E-10	19/07/2024
37	51	Rb	0	38	50	Sr	35	0.000179677	7.97843E-08	2.04946E-06	4.72052E-10	19/07/2024
37	51	Rb	0	38	50	Sr	36	0.00017991	8.00085E-08	2.16464E-06	4.98991E-10	19/07/2024
37	51	Rb	0	38	50	Sr	37	0.000180143	8.02341E-08	2.28277E-06	5.26661E-10	19/07/2024
37	51	Rb	0	38	50	Sr	38	0.000180378	8.0461E-08	2.40383E-06	5.55062E-10	19/07/2024
37	51	Rb	0	38	50	Sr	39	0.000180615	8.06892E-08	2.52782E-06	5.84192E-10	19/07/2024
37	51	Rb	0	38	50	Sr	40	0.000180853	8.09187E-08	2.65471E-06	6.14052E-10	19/07/2024
37	51	Rb	0	38	50	Sr	41	0.000181091	8.11489E-08	2.78447E-06	6.44613E-10	19/07/2024
37	51	Rb	0	38	50	Sr	42	0.000181331	8.13803E-08	2.91712E-06	6.75897E-10	19/07/2024
37	51	Rb	0	38	50	Sr	43	0.000181572	8.16128E-08	3.05261E-06	7.07903E-10	19/07/2024
37	51	Rb	0	38	50	Sr	44	0.000181814	8.18465E-08	3.19096E-06	7.4063E-10	19/07/2024
37	51	Rb	0	38	50	Sr	45	0.000182056	8.20813E-08	3.33212E-06	7.74077E-10	19/07/2024
37	51	Rb	0	38	50	Sr	46	0.0001823	8.23173E-08	3.47611E-06	8.08245E-10	19/07/2024
37	51	Rb	0	38	50	Sr	47	0.000182545	8.25545E-08	3.62289E-06	8.43132E-10	19/07/2024
37	51	Rb	0	38	50	Sr	48	0.00018279	8.27928E-08	3.77246E-06	8.78739E-10	19/07/2024
37	51	Rb	0	38	50	Sr	49	0.000183036	8.30317E-08	3.92478E-06	9.15038E-10	19/07/2024
37	51	Rb	0	38	50	Sr	50	0.000183282	8.32716E-08	4.07985E-06	9.5205E-10	19/07/2024
37	51	Rb	0	38	50	Sr	51	0.000183529	8.35125E-08	4.23766E-06	9.89773E-10	19/07/2024
37	51	Rb	0	38	50	Sr	52	0.000183774	8.37527E-08	4.39809E-06	1.02813E-09	19/07/2024
37	51	Rb	0	38	50	Sr	53	0.00018402	8.39938E-08	4.56121E-06	1.06718E-09	19/07/2024
37	51	Rb	0	38	50	Sr	54	0.000184266	8.42356E-08	4.72701E-06	1.10694E-09	19/07/2024
37	51	Rb	0	38	50	Sr	55	0.000184512	8.44783E-08	4.89548E-06	1.1474E-09	19/07/2024
37	51	Rb	0	38	50	Sr	56	0.000184758	8.47218E-08	5.0666E-06	1.18856E-09	19/07/2024
37	51	Rb	0	38	50	Sr	57	0.000185004	8.49656E-08	5.24034E-06	1.23039E-09	19/07/2024
37	51	Rb	0	38	50	Sr	58	0.00018525	8.52101E-08	5.41672E-06	1.27292E-09	19/07/2024
37	51	Rb	0	38	50	Sr	59	0.000185496	8.54553E-08	5.5957E-06	1.31614E-09	19/07/2024
37	51	Rb	0	38	50	Sr	60	0.000185742	8.57013E-08	5.77726E-06	1.36005E-09	19/07/2024
37	51	Rb	0	38	50	Sr	61	0.000185988	8.59479E-08	5.96141E-06	1.40466E-09	19/07/2024
37	51	Rb	0	38	50	Sr	62	0.000186234	8.61953E-08	6.14812E-06	1.44996E-09	19/07/2024
37	51	Rb	0	38	50	Sr	63	0.00018648	8.64433E-08	6.33738E-06	1.49594E-09	19/07/2024
37	51	Rb	0	38	50	Sr	64	0.000186725	8.66921E-08	6.52918E-06	1.54262E-09	19/07/2024
37	51	Rb	0	38	50	Sr	65	0.000186971	8.69412E-08	6.72349E-06	1.58997E-09	19/07/2024
37	51	Rb	0	38	50	Sr	66	0.000187216	8.7191E-08	6.9203E-06	1.638E-09	19/07/2024
37	51	Rb	0	38	50	Sr	67	0.000187461	8.74414E-08	7.1196E-06	1.68671E-09	19/07/2024
37	51	Rb	0	38	50	Sr	68	0.000187706	8.76923E-08	7.32137E-06	1.7361E-09	19/07/2024
37	51	Rb	0	38	50	Sr	69	0.000187948	8.79427E-08	7.5255E-06	1.7861E-09	19/07/2024
37	51	Rb	0	38	50	Sr	70	0.000188191	8.81936E-08	7.73206E-06	1.83677E-09	19/07/2024
37	51	Rb	0	38	50	Sr	71	0.000188432	8.84449E-08	7.94104E-06	1.88812E-09	19/07/2024
37	51	Rb	0	38	50	Sr	72	0.000188674	8.86968E-08	8.15244E-06	1.94014E-09	19/07/2024
37	51	Rb	0	38	50	Sr	73	0.000188914	8.89488E-08	8.36621E-06	1.9928E-09	19/07/2024
37	51	Rb	0	38	50	Sr	74	0.000189154	8.92013E-08	8.58235E-06	2.04613E-09	19/07/2024
37	51	Rb	0	38	50	Sr	75	0.000189393	8.94541E-08	8.80087E-06	2.10013E-09	19/07/2024
37	51	Rb	0	38	50	Sr	76	0.000189632	8.97074E-08	9.02173E-06	2.15479E-09	19/07/2024
37	51	Rb	0	38	50	Sr	77	0.000189871	8.99611E-08	9.24494E-06	2.21011E-09	19/07/2024
37	51	Rb	0	38	50	Sr	78	0.000190108	9.02152E-08	9.47047E-06	2.2661E-09	19/07/2024
37	51	Rb	0	38	50	Sr	79	0.000190345	9.04697E-08	9.69829E-06	2.32275E-09	19/07/2024
37	51	Rb	0	38	50	Sr	80	0.000190581	9.07246E-08	9.92842E-06	2.38007E-09	19/07/2024
37	51	Rb	0	38	50	Sr	81	0.000190816	9.09798E-08	1.01608E-05	2.43802E-09	19/07/2024
37	51	Rb	0	38	50	Sr	82	0.000191051	9.12353E-08	1.03955E-05	2.49663E-09	19/07/2024
37	51	Rb	0	38	50	Sr	83	0.000191285	9.14912E-08	1.06324E-05	2.5559E-09	19/07/2024
37	51	Rb	0	38	50	Sr	84	0.000191518	9.17475E-08	1.08715E-05	2.61582E-09	19/07/2024
37	51	Rb	0	38	50	Sr	85	0.000191751	9.20041E-08	1.11129E-05	2.6764E-09	19/07/2024
37	51	Rb	0	38	50	Sr	86	0.000191982	9.22604E-08	1.13563E-05	2.73755E-09	19/07/2024
37	51	Rb	0	38	50	Sr	87	0.000192212	9.2517E-08	0.000011602	2.79936E-09	19/07/2024
37	51	Rb	0	38	50	Sr	88	0.000192441	9.27739E-08	1.18498E-05	2.8618E-09	19/07/2024
37	51	Rb	0	38	50	Sr	89	0.000192669	9.30309E-08	1.20998E-05	2.92487E-09	19/07/2024
37	51	Rb	0	38	50	Sr	90	0.000192896	9.32882E-08	1.23519E-05	2.98857E-09	19/07/2024
37	51	Rb	0	38	50	Sr	91	0.000193123	9.35457E-08	1.26061E-05	3.05291E-09	19/07/2024
37	51	Rb	0	38	50	Sr	92	0.000193348	9.38034E-08	1.28624E-05	3.11789E-09	19/07/2024
37	51	Rb	0	38	50	Sr	93	0.000193573	9.40614E-08	1.31209E-05	3.18351E-09	19/07/2024
37	51	Rb	0	38	50	Sr	94	0.000193796	9.43197E-08	1.33814E-05	3.24977E-09	19/07/2024
37	51	Rb	0	38	50	Sr	95	0.000194019	9.45782E-08	0.000013644	3.31666E-09	19/07/2024
37	51	Rb	0	38	50	Sr	96	0.00019424	9.4837E-08	1.39087E-05	3.38418E-09	19/07/2024
37	51	Rb	0	38	50	Sr	97	0.000194461	9.50959E-08	1.41754E-05	3.45232E-09	19/07/2024
37	51	Rb	0	38	50	Sr	98	0.000194681	9.5355E-08	1.44441E-05	3.52109E-09	19/07/2024
37	51	Rb	0	38	50	Sr	99	0.0001949	9.56143E-08	1.47148E-05	3.59049E-09	19/07/2024
