p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
38	52	Sr	0	39	51	Y	0	0.00295273	8.31715E-06	0	0	03/07/2024
38	52	Sr	0	39	51	Y	1	0.00294957	8.29609E-06	9.94895E-08	6.56842E-10	03/07/2024
38	52	Sr	0	39	51	Y	2	0.0029464	8.27514E-06	3.96279E-07	2.61318E-09	03/07/2024
38	52	Sr	0	39	51	Y	3	0.00294323	8.2543E-06	8.87864E-07	5.84785E-09	03/07/2024
38	52	Sr	0	39	51	Y	4	0.00294005	8.23357E-06	1.57176E-06	1.03399E-08	03/07/2024
38	52	Sr	0	39	51	Y	5	0.00293686	8.21296E-06	2.44549E-06	1.60685E-08	03/07/2024
38	52	Sr	0	39	51	Y	6	0.00293368	8.19248E-06	3.50661E-06	2.30131E-08	03/07/2024
38	52	Sr	0	39	51	Y	7	0.0029305	8.17213E-06	4.75268E-06	3.11531E-08	03/07/2024
38	52	Sr	0	39	51	Y	8	0.00292733	8.15195E-06	6.18129E-06	4.04685E-08	03/07/2024
38	52	Sr	0	39	51	Y	9	0.00292417	8.13195E-06	7.79003E-06	5.09389E-08	03/07/2024
38	52	Sr	0	39	51	Y	10	0.00292105	8.11213E-06	9.57652E-06	6.25447E-08	03/07/2024
38	52	Sr	0	39	51	Y	11	0.00291795	8.09253E-06	1.15384E-05	7.52659E-08	03/07/2024
38	52	Sr	0	39	51	Y	12	0.00291489	8.07315E-06	1.36733E-05	8.90831E-08	03/07/2024
38	52	Sr	0	39	51	Y	13	0.00291187	8.05399E-06	0.000015979	1.03977E-07	03/07/2024
38	52	Sr	0	39	51	Y	14	0.00290889	8.03508E-06	0.000018453	1.19928E-07	03/07/2024
38	52	Sr	0	39	51	Y	15	0.00290595	8.0164E-06	2.10931E-05	1.36917E-07	03/07/2024
38	52	Sr	0	39	51	Y	16	0.00290306	7.99798E-06	2.38971E-05	1.54926E-07	03/07/2024
38	52	Sr	0	39	51	Y	17	0.00290023	7.9798E-06	2.68626E-05	1.73935E-07	03/07/2024
38	52	Sr	0	39	51	Y	18	0.00289744	7.96188E-06	2.99874E-05	1.93927E-07	03/07/2024
38	52	Sr	0	39	51	Y	19	0.0028947	7.9442E-06	3.32692E-05	2.14882E-07	03/07/2024
38	52	Sr	0	39	51	Y	20	0.00289201	7.92676E-06	0.000036706	2.36783E-07	03/07/2024
38	52	Sr	0	39	51	Y	21	0.00288937	7.90957E-06	4.02954E-05	2.59611E-07	03/07/2024
38	52	Sr	0	39	51	Y	22	0.00288677	7.89262E-06	4.40353E-05	2.83349E-07	03/07/2024
38	52	Sr	0	39	51	Y	23	0.00288423	7.87591E-06	4.79235E-05	3.07979E-07	03/07/2024
38	52	Sr	0	39	51	Y	24	0.00288173	7.85942E-06	5.19579E-05	3.33483E-07	03/07/2024
38	52	Sr	0	39	51	Y	25	0.00287928	7.84316E-06	5.61364E-05	3.59845E-07	03/07/2024
38	52	Sr	0	39	51	Y	26	0.00287688	7.82712E-06	6.04568E-05	3.87046E-07	03/07/2024
38	52	Sr	0	39	51	Y	27	0.00287452	7.81129E-06	0.000064917	4.15069E-07	03/07/2024
38	52	Sr	0	39	51	Y	28	0.0028722	7.79567E-06	6.95149E-05	4.43899E-07	03/07/2024
38	52	Sr	0	39	51	Y	29	0.00286992	7.78025E-06	7.42486E-05	4.73517E-07	03/07/2024
