p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
96	153	Cm	0	97	152	Bk	0	0.00220188	1.44026E-05	0	0	04/07/2024
96	153	Cm	0	97	152	Bk	0.8	0.00220328	1.44838E-05	1.12474E-08	9.77109E-11	04/07/2024
96	153	Cm	0	97	152	Bk	1.6	0.00220885	1.45546E-05	4.4841E-08	3.88565E-10	04/07/2024
96	153	Cm	0	97	152	Bk	2.4	0.00221861	1.46151E-05	1.00742E-07	8.72561E-10	04/07/2024
96	153	Cm	0	97	152	Bk	3.2	0.00222793	0.000014665	1.78908E-07	1.54969E-09	04/07/2024
96	153	Cm	0	97	152	Bk	4	0.00223551	1.47044E-05	2.79295E-07	2.41996E-09	04/07/2024
96	153	Cm	0	97	152	Bk	4.8	0.00224145	1.47333E-05	4.01737E-07	3.48097E-09	04/07/2024
96	153	Cm	0	97	152	Bk	5.6	0.00224582	1.47517E-05	5.46246E-07	4.73373E-09	04/07/2024
96	153	Cm	0	97	152	Bk	6.4	0.00224909	1.47627E-05	7.12728E-07	6.17724E-09	04/07/2024
96	153	Cm	0	97	152	Bk	7.2	0.00225169	1.47694E-05	9.01087E-07	7.81047E-09	04/07/2024
96	153	Cm	0	97	152	Bk	8	0.00225339	1.47697E-05	1.11132E-06	9.63409E-09	04/07/2024
96	153	Cm	0	97	152	Bk	8.8	0.00225495	1.47694E-05	1.34325E-06	1.16457E-08	04/07/2024
96	153	Cm	0	97	152	Bk	9.6	0.00225606	1.47661E-05	1.5969E-06	1.38463E-08	04/07/2024
96	153	Cm	0	97	152	Bk	10	0.00225646	1.47632E-05	1.73186E-06	1.50175E-08	04/07/2024
96	153	Cm	0	97	152	Bk	11	0.00225741	1.47561E-05	2.09275E-06	1.8149E-08	04/07/2024
96	153	Cm	0	97	152	Bk	12	0.00225799	1.47463E-05	2.48729E-06	2.15738E-08	04/07/2024
96	153	Cm	0	97	152	Bk	13	0.00225841	1.47354E-05	2.91522E-06	2.52886E-08	04/07/2024
96	153	Cm	0	97	152	Bk	14	0.00225861	1.47229E-05	3.37652E-06	2.92944E-08	04/07/2024
96	153	Cm	0	97	152	Bk	15	0.00225868	1.47096E-05	3.87094E-06	3.35881E-08	04/07/2024
96	153	Cm	0	97	152	Bk	16	0.0022586	1.46953E-05	4.39846E-06	3.81708E-08	04/07/2024
96	153	Cm	0	97	152	Bk	17	0.00225843	1.46803E-05	4.95884E-06	4.30392E-08	04/07/2024
