p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
95	147	Am	0	96	146	Cm	0	0.00251483	7.12446E-05	0	0	03/07/2024
95	147	Am	0	96	146	Cm	2	0.00255361	7.23424E-05	7.81477E-08	2.22233E-09	03/07/2024
95	147	Am	0	96	146	Cm	4	0.00257945	7.30736E-05	3.11848E-07	8.86817E-09	03/07/2024
95	147	Am	0	96	146	Cm	6	0.00259231	0.000073437	6.99986E-07	1.99058E-08	03/07/2024
95	147	Am	0	96	146	Cm	8	0.00259822	7.36036E-05	1.24145E-06	3.53035E-08	03/07/2024
95	147	Am	0	96	146	Cm	10	0.00260086	7.36775E-05	1.93514E-06	5.50297E-08	03/07/2024
95	147	Am	0	96	146	Cm	12	0.00260176	7.37021E-05	2.77992E-06	7.90525E-08	03/07/2024
95	147	Am	0	96	146	Cm	14	0.0026016	7.36967E-05	3.77471E-06	1.07341E-07	03/07/2024
95	147	Am	0	96	146	Cm	16	0.00260073	7.36712E-05	4.91838E-06	1.39863E-07	03/07/2024
95	147	Am	0	96	146	Cm	18	0.00259934	7.36309E-05	6.20983E-06	1.76587E-07	03/07/2024
95	147	Am	0	96	146	Cm	20	0.00259756	7.35796E-05	7.64797E-06	2.17481E-07	03/07/2024
95	147	Am	0	96	146	Cm	22	0.00259547	7.35195E-05	9.23168E-06	2.62515E-07	03/07/2024
95	147	Am	0	96	146	Cm	24	0.00259311	7.34518E-05	1.09599E-05	3.11657E-07	03/07/2024
95	147	Am	0	96	146	Cm	26	0.00259052	7.33775E-05	1.28314E-05	3.64876E-07	03/07/2024
95	147	Am	0	96	146	Cm	28	0.00258774	7.32979E-05	1.48453E-05	4.2214E-07	03/07/2024
95	147	Am	0	96	146	Cm	30	0.00258476	7.32126E-05	1.70003E-05	4.83417E-07	03/07/2024
95	147	Am	0	96	146	Cm	32	0.00258163	0.000073123	1.92953E-05	5.48677E-07	03/07/2024
95	147	Am	0	96	146	Cm	34	0.00257834	0.000073029	2.17294E-05	6.17889E-07	03/07/2024
95	147	Am	0	96	146	Cm	36	0.00257489	7.29304E-05	2.43014E-05	6.91022E-07	03/07/2024
95	147	Am	0	96	146	Cm	38	0.00257131	7.28281E-05	2.70102E-05	7.68044E-07	03/07/2024
95	147	Am	0	96	146	Cm	40	0.00256761	7.27224E-05	2.98547E-05	8.48925E-07	03/07/2024
95	147	Am	0	96	146	Cm	42	0.00256376	7.26124E-05	3.28337E-05	9.33629E-07	03/07/2024
95	147	Am	0	96	146	Cm	44	0.00255979	7.24991E-05	3.59464E-05	1.02213E-06	03/07/2024
