p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
55	82	Cs	0	56	81	Ba	0	0.00353233	6.93317E-06	0	0	03/07/2024
55	82	Cs	0	56	81	Ba	1	0.00345874	6.78882E-06	9.99919E-08	3.43676E-10	03/07/2024
55	82	Cs	0	56	81	Ba	2	0.00342521	6.72379E-06	3.98202E-07	1.36834E-09	03/07/2024
55	82	Cs	0	56	81	Ba	3	0.00343171	6.73793E-06	8.91995E-07	3.06448E-09	03/07/2024
55	82	Cs	0	56	81	Ba	4	0.00343726	6.74948E-06	1.57876E-06	5.42269E-09	03/07/2024
55	82	Cs	0	56	81	Ba	5	0.00343977	6.75461E-06	2.4559E-06	8.43361E-09	03/07/2024
55	82	Cs	0	56	81	Ba	6	0.00344003	6.75501E-06	3.52084E-06	1.20879E-08	03/07/2024
55	82	Cs	0	56	81	Ba	7	0.00343877	6.75226E-06	4.77103E-06	1.63766E-08	03/07/2024
55	82	Cs	0	56	81	Ba	8	0.00343651	6.74742E-06	6.20395E-06	2.12903E-08	03/07/2024
55	82	Cs	0	56	81	Ba	9	0.00343356	6.74115E-06	7.81707E-06	2.68202E-08	03/07/2024
55	82	Cs	0	56	81	Ba	10	0.00343013	6.73388E-06	9.60789E-06	3.29571E-08	03/07/2024
55	82	Cs	0	56	81	Ba	11	0.00342635	6.72588E-06	1.15739E-05	3.96922E-08	03/07/2024
55	82	Cs	0	56	81	Ba	12	0.00342229	6.71732E-06	1.37128E-05	4.70168E-08	03/07/2024
55	82	Cs	0	56	81	Ba	13	0.00341805	6.70837E-06	0.000016022	5.49221E-08	03/07/2024
55	82	Cs	0	56	81	Ba	14	0.00341363	6.69906E-06	1.84991E-05	6.33992E-08	03/07/2024
55	82	Cs	0	56	81	Ba	15	0.0034091	6.68951E-06	2.11417E-05	7.24397E-08	03/07/2024
55	82	Cs	0	56	81	Ba	16	0.00340445	6.67973E-06	2.39476E-05	8.20351E-08	03/07/2024
55	82	Cs	0	56	81	Ba	17	0.00339971	6.66977E-06	2.69142E-05	9.21768E-08	03/07/2024
55	82	Cs	0	56	81	Ba	18	0.0033949	6.65966E-06	3.00392E-05	1.02856E-07	03/07/2024
55	82	Cs	0	56	81	Ba	19	0.00339002	6.64941E-06	3.33204E-05	1.14066E-07	03/07/2024
55	82	Cs	0	56	81	Ba	20	0.0033851	6.63908E-06	3.67555E-05	1.25796E-07	03/07/2024
55	82	Cs	0	56	81	Ba	21	0.00338011	6.62863E-06	4.03421E-05	1.3804E-07	03/07/2024
55	82	Cs	0	56	81	Ba	22	0.0033751	6.61812E-06	0.000044078	1.5079E-07	03/07/2024
55	82	Cs	0	56	81	Ba	23	0.00337006	6.60755E-06	0.000047961	1.64036E-07	03/07/2024
55	82	Cs	0	56	81	Ba	24	0.00336498	6.59693E-06	5.19887E-05	1.77772E-07	03/07/2024
55	82	Cs	0	56	81	Ba	25	0.00335988	6.58626E-06	5.61591E-05	1.91988E-07	03/07/2024
55	82	Cs	0	56	81	Ba	26	0.00335477	6.57555E-06	6.04699E-05	2.06677E-07	03/07/2024
55	82	Cs	0	56	81	Ba	27	0.00334963	6.56481E-06	6.49189E-05	2.21833E-07	03/07/2024
55	82	Cs	0	56	81	Ba	28	0.00334449	6.55406E-06	6.95041E-05	2.37447E-07	03/07/2024
55	82	Cs	0	56	81	Ba	29	0.00333933	6.54328E-06	7.42232E-05	2.5351E-07	03/07/2024
55	82	Cs	0	56	81	Ba	30	0.00333416	6.53248E-06	7.90742E-05	2.70017E-07	03/07/2024
55	82	Cs	0	56	81	Ba	31	0.00332899	6.52171E-06	8.40548E-05	2.86959E-07	03/07/2024
55	82	Cs	0	56	81	Ba	32	0.00332381	6.51089E-06	8.91632E-05	3.04328E-07	03/07/2024
55	82	Cs	0	56	81	Ba	33	0.00331864	6.5001E-06	9.43972E-05	3.22119E-07	03/07/2024
55	82	Cs	0	56	81	Ba	34	0.00331346	6.48931E-06	9.97548E-05	3.40322E-07	03/07/2024
55	82	Cs	0	56	81	Ba	35	0.00330829	6.47852E-06	0.000105234	3.58932E-07	03/07/2024
55	82	Cs	0	56	81	Ba	36	0.00330311	6.46774E-06	0.000110832	3.77939E-07	03/07/2024
55	82	Cs	0	56	81	Ba	37	0.00329795	6.45698E-06	0.000116548	3.9734E-07	03/07/2024
55	82	Cs	0	56	81	Ba	38	0.00329278	6.44622E-06	0.000122381	4.17125E-07	03/07/2024
55	82	Cs	0	56	81	Ba	39	0.00328762	6.43548E-06	0.000128326	4.37287E-07	03/07/2024
55	82	Cs	0	56	81	Ba	40	0.00328247	6.42477E-06	0.000134382	4.57819E-07	03/07/2024
55	82	Cs	0	56	81	Ba	41	0.00327733	6.41407E-06	0.000140549	4.78717E-07	03/07/2024
55	82	Cs	0	56	81	Ba	42	0.00327219	6.40338E-06	0.000146824	4.99971E-07	03/07/2024
55	82	Cs	0	56	81	Ba	43	0.00326707	6.39274E-06	0.000153204	5.21577E-07	03/07/2024
55	82	Cs	0	56	81	Ba	44	0.00326195	6.38209E-06	0.000159688	5.43525E-07	03/07/2024
55	82	Cs	0	56	81	Ba	45	0.00325684	6.37147E-06	0.000166275	5.65811E-07	03/07/2024
55	82	Cs	0	56	81	Ba	46	0.00325175	6.36089E-06	0.000172962	5.88428E-07	03/07/2024
55	82	Cs	0	56	81	Ba	47	0.00324665	6.35031E-06	0.000179747	6.11369E-07	03/07/2024
55	82	Cs	0	56	81	Ba	48	0.00324158	6.33978E-06	0.00018663	6.34628E-07	03/07/2024
55	82	Cs	0	56	81	Ba	49	0.00323651	6.32927E-06	0.000193607	6.58199E-07	03/07/2024
55	82	Cs	0	56	81	Ba	50	0.00323146	6.31877E-06	0.000200677	6.82075E-07	03/07/2024
55	82	Cs	0	56	81	Ba	51	0.00322641	6.30831E-06	0.000207839	7.06249E-07	03/07/2024
55	82	Cs	0	56	81	Ba	52	0.00322137	6.29786E-06	0.00021509	7.30718E-07	03/07/2024
55	82	Cs	0	56	81	Ba	53	0.00321635	6.28746E-06	0.00022243	7.55473E-07	03/07/2024
55	82	Cs	0	56	81	Ba	54	0.00321135	6.27708E-06	0.000229855	7.80508E-07	03/07/2024
55	82	Cs	0	56	81	Ba	55	0.00320635	6.26672E-06	0.000237366	8.05819E-07	03/07/2024
55	82	Cs	0	56	81	Ba	56	0.00320136	6.25638E-06	0.000244958	8.31397E-07	03/07/2024
55	82	Cs	0	56	81	Ba	57	0.00319637	6.24607E-06	0.000252633	8.5724E-07	03/07/2024
55	82	Cs	0	56	81	Ba	58	0.00319141	6.2358E-06	0.000260387	8.8334E-07	03/07/2024
55	82	Cs	0	56	81	Ba	59	0.00318646	6.22554E-06	0.000268218	9.09691E-07	03/07/2024
55	82	Cs	0	56	81	Ba	60	0.00318152	6.21532E-06	0.000276126	9.36288E-07	03/07/2024
55	82	Cs	0	56	81	Ba	61	0.00317658	6.20511E-06	0.000284109	9.63125E-07	03/07/2024
55	82	Cs	0	56	81	Ba	62	0.00317166	6.19492E-06	0.000292164	9.90197E-07	03/07/2024
55	82	Cs	0	56	81	Ba	63	0.00316675	6.18478E-06	0.000300292	1.0175E-06	03/07/2024
55	82	Cs	0	56	81	Ba	64	0.00316185	6.17464E-06	0.00030849	1.04502E-06	03/07/2024
55	82	Cs	0	56	81	Ba	65	0.00315696	6.16454E-06	0.000316756	1.07277E-06	03/07/2024
55	82	Cs	0	56	81	Ba	66	0.00315208	6.15446E-06	0.000325088	1.10072E-06	03/07/2024
55	82	Cs	0	56	81	Ba	67	0.00314721	6.14441E-06	0.000333486	1.12889E-06	03/07/2024
55	82	Cs	0	56	81	Ba	68	0.00314235	6.13437E-06	0.000341949	1.15725E-06	03/07/2024
55	82	Cs	0	56	81	Ba	69	0.0031375	6.12436E-06	0.000350473	1.18582E-06	03/07/2024
55	82	Cs	0	56	81	Ba	70	0.00313267	6.11439E-06	0.000359059	1.21457E-06	03/07/2024
55	82	Cs	0	56	81	Ba	71	0.00312784	6.10442E-06	0.000367704	1.24351E-06	03/07/2024
55	82	Cs	0	56	81	Ba	72	0.00312302	6.09447E-06	0.000376408	1.27264E-06	03/07/2024
55	82	Cs	0	56	81	Ba	73	0.00311821	6.08456E-06	0.000385168	1.30194E-06	03/07/2024
55	82	Cs	0	56	81	Ba	74	0.00311341	6.07466E-06	0.000393983	1.33141E-06	03/07/2024
55	82	Cs	0	56	81	Ba	75	0.00310862	6.06479E-06	0.000402852	1.36106E-06	03/07/2024
55	82	Cs	0	56	81	Ba	76	0.00310384	6.05493E-06	0.000411773	1.39087E-06	03/07/2024
55	82	Cs	0	56	81	Ba	77	0.00309906	6.04509E-06	0.000420747	1.42082E-06	03/07/2024
55	82	Cs	0	56	81	Ba	78	0.00309429	6.03526E-06	0.00042977	1.45094E-06	03/07/2024
55	82	Cs	0	56	81	Ba	79	0.00308954	6.02546E-06	0.000438841	1.4812E-06	03/07/2024
55	82	Cs	0	56	81	Ba	80	0.00308479	6.01569E-06	0.00044796	1.51161E-06	03/07/2024
55	82	Cs	0	56	81	Ba	81	0.00308005	6.00593E-06	0.000457124	1.54216E-06	03/07/2024
55	82	Cs	0	56	81	Ba	82	0.00307532	5.99619E-06	0.000466332	1.57284E-06	03/07/2024
55	82	Cs	0	56	81	Ba	83	0.00307058	5.98645E-06	0.000475585	1.60365E-06	03/07/2024
55	82	Cs	0	56	81	Ba	84	0.00306586	5.97674E-06	0.000484879	1.6346E-06	03/07/2024
55	82	Cs	0	56	81	Ba	85	0.00306115	5.96704E-06	0.000494214	1.66565E-06	03/07/2024
55	82	Cs	0	56	81	Ba	86	0.00305645	5.95737E-06	0.000503589	1.69683E-06	03/07/2024
55	82	Cs	0	56	81	Ba	87	0.00305174	5.94769E-06	0.000513001	1.72812E-06	03/07/2024
55	82	Cs	0	56	81	Ba	88	0.00304705	5.93804E-06	0.000522451	1.75952E-06	03/07/2024
55	82	Cs	0	56	81	Ba	89	0.00304236	5.92841E-06	0.000531937	1.79103E-06	03/07/2024
55	82	Cs	0	56	81	Ba	90	0.00303767	5.91878E-06	0.000541458	1.82263E-06	03/07/2024
55	82	Cs	0	56	81	Ba	91	0.00303299	5.90917E-06	0.000551013	1.85434E-06	03/07/2024
55	82	Cs	0	56	81	Ba	92	0.00302833	5.89958E-06	0.000560599	1.88613E-06	03/07/2024
55	82	Cs	0	56	81	Ba	93	0.00302366	5.88998E-06	0.000570217	1.91802E-06	03/07/2024
55	82	Cs	0	56	81	Ba	94	0.003019	5.88041E-06	0.000579865	1.94999E-06	03/07/2024
55	82	Cs	0	56	81	Ba	95	0.00301434	5.87084E-06	0.000589542	1.98205E-06	03/07/2024
55	82	Cs	0	56	81	Ba	96	0.00300968	5.86129E-06	0.000599247	2.01417E-06	03/07/2024
55	82	Cs	0	56	81	Ba	97	0.00300503	5.85175E-06	0.000608978	2.04638E-06	03/07/2024
55	82	Cs	0	56	81	Ba	98	0.00300039	5.84222E-06	0.000618735	2.07865E-06	03/07/2024
