p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
43	56	Tc	0	44	55	Ru	0	0.00671459	0.000018789	0	0	10/07/2024
43	56	Tc	0	44	55	Ru	0.6	0.00669934	1.87335E-05	1.59286E-07	2.08642E-09	10/07/2024
43	56	Tc	0	44	55	Ru	1.2	0.00668413	1.86784E-05	6.31543E-07	8.25922E-09	10/07/2024
43	56	Tc	0	44	55	Ru	1.8	0.00666897	1.86237E-05	1.41677E-06	1.85184E-08	10/07/2024
43	56	Tc	0	44	55	Ru	2.4	0.00665385	1.85694E-05	2.50801E-06	3.27567E-08	10/07/2024
43	56	Tc	0	44	55	Ru	3	0.00663877	1.85155E-05	3.90389E-06	5.09532E-08	10/07/2024
43	56	Tc	0	44	55	Ru	3.6	0.00662372	0.000018462	5.60031E-06	7.30444E-08	10/07/2024
43	56	Tc	0	44	55	Ru	4.2	0.00660872	1.84089E-05	7.59181E-06	9.89469E-08	10/07/2024
43	56	Tc	0	44	55	Ru	4.8	0.00659376	1.83561E-05	9.87706E-06	1.2864E-07	10/07/2024
43	56	Tc	0	44	55	Ru	5.4	0.00657885	1.83037E-05	0.000012452	1.62061E-07	10/07/2024
43	56	Tc	0	44	55	Ru	6	0.00656397	1.82517E-05	1.53114E-05	1.9913E-07	10/07/2024
43	56	Tc	0	44	55	Ru	6.6	0.00654914	0.0000182	1.84538E-05	2.39826E-07	10/07/2024
43	56	Tc	0	44	55	Ru	7.2	0.00653435	1.81486E-05	2.18754E-05	2.84087E-07	10/07/2024
43	56	Tc	0	44	55	Ru	7.8	0.00651961	1.80977E-05	2.55709E-05	3.31836E-07	10/07/2024
43	56	Tc	0	44	55	Ru	8.4	0.0065049	1.80471E-05	2.95391E-05	3.83052E-07	10/07/2024
43	56	Tc	0	44	55	Ru	9	0.00649024	1.79967E-05	0.000033776	4.37675E-07	10/07/2024
43	56	Tc	0	44	55	Ru	9.6	0.00647563	1.79468E-05	3.82765E-05	4.95629E-07	10/07/2024
43	56	Tc	0	44	55	Ru	10	0.00646593	1.79137E-05	4.14233E-05	5.36116E-07	10/07/2024
43	56	Tc	0	44	55	Ru	10.9	0.00644415	1.78397E-05	4.89224E-05	6.32473E-07	10/07/2024
43	56	Tc	0	44	55	Ru	11.8	0.00642249	1.77664E-05	5.69939E-05	7.36004E-07	10/07/2024
43	56	Tc	0	44	55	Ru	12.7	0.00640095	1.76939E-05	6.56264E-05	8.46539E-07	10/07/2024
43	56	Tc	0	44	55	Ru	13.6	0.00637952	0.000017622	0.000074809	9.63911E-07	10/07/2024
43	56	Tc	0	44	55	Ru	14.5	0.00635823	1.75509E-05	8.45308E-05	1.08796E-06	10/07/2024
43	56	Tc	0	44	55	Ru	15.4	0.00633705	1.74803E-05	9.47811E-05	1.21851E-06	10/07/2024
43	56	Tc	0	44	55	Ru	16.3	0.00631599	1.74105E-05	0.000105549	1.35541E-06	10/07/2024
43	56	Tc	0	44	55	Ru	17.2	0.00629507	1.73413E-05	0.000116825	1.4985E-06	10/07/2024
43	56	Tc	0	44	55	Ru	18.1	0.00627427	1.72725E-05	0.000128597	1.64762E-06	10/07/2024
43	56	Tc	0	44	55	Ru	19	0.0062536	1.72045E-05	0.000140856	1.80263E-06	10/07/2024
43	56	Tc	0	44	55	Ru	19.9	0.00623306	1.71371E-05	0.000153591	1.96335E-06	10/07/2024
43	56	Tc	0	44	55	Ru	20.8	0.00621265	0.00001707	0.000166793	2.12966E-06	10/07/2024
43	56	Tc	0	44	55	Ru	21.7	0.00619235	1.70036E-05	0.00018045	2.30138E-06	10/07/2024
43	56	Tc	0	44	55	Ru	22.6	0.00617219	1.69376E-05	0.000194555	2.47839E-06	10/07/2024
43	56	Tc	0	44	55	Ru	23.5	0.00615215	1.68721E-05	0.000209096	2.66053E-06	10/07/2024
43	56	Tc	0	44	55	Ru	24.4	0.00613224	0.000016807	0.000224064	2.84767E-06	10/07/2024
