p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
58	86	Ce	0	59	85	Pr	0	0.00976163	0.000036012	0	0	19/07/2024
58	86	Ce	0	59	85	Pr	0.6	0.00944653	3.55276E-05	8.79016E-08	3.71269E-10	19/07/2024
58	86	Ce	0	59	85	Pr	1.2	0.0092566	3.52213E-05	3.51108E-07	1.48269E-09	19/07/2024
58	86	Ce	0	59	85	Pr	1.8	0.00919183	3.50713E-05	7.89135E-07	3.33263E-09	19/07/2024
58	86	Ce	0	59	85	Pr	2.4	0.00915613	3.49509E-05	1.40137E-06	5.91857E-09	19/07/2024
58	86	Ce	0	59	85	Pr	3	0.00912656	3.48383E-05	2.18725E-06	9.23834E-09	19/07/2024
58	86	Ce	0	59	85	Pr	3.6	0.00909894	3.47281E-05	3.14612E-06	1.3289E-08	19/07/2024
58	86	Ce	0	59	85	Pr	4.2	0.00907182	3.46185E-05	4.27749E-06	1.8069E-08	19/07/2024
58	86	Ce	0	59	85	Pr	4.8	0.00904469	3.45089E-05	5.58071E-06	2.35754E-08	19/07/2024
58	86	Ce	0	59	85	Pr	5.4	0.00901742	0.000034399	7.05523E-06	2.98062E-08	19/07/2024
58	86	Ce	0	59	85	Pr	6	0.00898992	0.000034289	8.70049E-06	3.67592E-08	19/07/2024
58	86	Ce	0	59	85	Pr	6.6	0.00896223	3.41786E-05	1.05158E-05	4.44315E-08	19/07/2024
58	86	Ce	0	59	85	Pr	7.2	0.00893437	3.40681E-05	1.25008E-05	5.28215E-08	19/07/2024
58	86	Ce	0	59	85	Pr	7.8	0.00890638	3.39575E-05	1.46547E-05	6.19263E-08	19/07/2024
58	86	Ce	0	59	85	Pr	8.4	0.00887823	3.38467E-05	1.69769E-05	7.17438E-08	19/07/2024
58	86	Ce	0	59	85	Pr	9	0.00884999	3.37357E-05	0.000019467	8.22718E-08	19/07/2024
58	86	Ce	0	59	85	Pr	9.6	0.00882164	3.36247E-05	2.21243E-05	9.35077E-08	19/07/2024
58	86	Ce	0	59	85	Pr	10	0.00880271	3.35507E-05	2.39885E-05	1.01391E-07	19/07/2024
58	86	Ce	0	59	85	Pr	11	0.00875522	3.33654E-05	2.89717E-05	1.22465E-07	19/07/2024
58	86	Ce	0	59	85	Pr	12	0.00870755	3.31799E-05	3.44143E-05	1.45486E-07	19/07/2024
58	86	Ce	0	59	85	Pr	13	0.00865973	3.29943E-05	4.03131E-05	1.7044E-07	19/07/2024
