p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
55	80	Cs	0	56	79	Ba	0	0.0132355	5.55365E-05	0	0	04/07/2024
55	80	Cs	0	56	79	Ba	0.8	0.0131281	5.45628E-05	1.18049E-07	1.39042E-09	04/07/2024
55	80	Cs	0	56	79	Ba	1.6	0.0130213	5.35981E-05	4.69633E-07	5.52425E-09	04/07/2024
55	80	Cs	0	56	79	Ba	2.4	0.012915	5.26424E-05	1.05097E-06	1.23463E-08	04/07/2024
55	80	Cs	0	56	79	Ba	3.2	0.0128092	5.16957E-05	1.85834E-06	2.18028E-08	04/07/2024
55	80	Cs	0	56	79	Ba	4	0.012704	5.07581E-05	2.88812E-06	3.3841E-08	04/07/2024
55	80	Cs	0	56	79	Ba	4.8	0.0125993	4.98293E-05	4.13677E-06	4.84099E-08	04/07/2024
55	80	Cs	0	56	79	Ba	5.6	0.0124951	4.89095E-05	5.60079E-06	6.54593E-08	04/07/2024
55	80	Cs	0	56	79	Ba	6.4	0.0123915	4.79986E-05	7.2768E-06	8.49406E-08	04/07/2024
55	80	Cs	0	56	79	Ba	7.2	0.0122884	4.70966E-05	9.16147E-06	1.06806E-07	04/07/2024
55	80	Cs	0	56	79	Ba	8	0.0121859	4.62034E-05	1.12515E-05	1.3101E-07	04/07/2024
55	80	Cs	0	56	79	Ba	8.8	0.0120838	0.000045319	1.35438E-05	1.57507E-07	04/07/2024
55	80	Cs	0	56	79	Ba	9.6	0.0119823	4.44435E-05	1.60353E-05	1.86254E-07	04/07/2024
55	80	Cs	0	56	79	Ba	10	0.0119318	0.000044009	1.73546E-05	2.01455E-07	04/07/2024
55	80	Cs	0	56	79	Ba	10.8	0.0118311	4.31466E-05	0.000020139	2.33497E-07	04/07/2024
55	80	Cs	0	56	79	Ba	11.6	0.011731	0.000042293	2.31152E-05	2.67684E-07	04/07/2024
55	80	Cs	0	56	79	Ba	12.4	0.0116314	0.000041448	2.62802E-05	3.03977E-07	04/07/2024
55	80	Cs	0	56	79	Ba	13.2	0.0115323	4.06118E-05	2.96313E-05	3.42337E-07	04/07/2024
55	80	Cs	0	56	79	Ba	14	0.0114338	3.97842E-05	3.31657E-05	3.82728E-07	04/07/2024
55	80	Cs	0	56	79	Ba	14.8	0.0113359	3.89653E-05	3.68809E-05	4.25113E-07	04/07/2024
55	80	Cs	0	56	79	Ba	15.6	0.0112384	0.000038155	4.07742E-05	4.69458E-07	04/07/2024
55	80	Cs	0	56	79	Ba	16.4	0.0111415	3.73532E-05	4.48431E-05	5.15728E-07	04/07/2024
55	80	Cs	0	56	79	Ba	17.2	0.0110452	3.65601E-05	4.90854E-05	5.63892E-07	04/07/2024
55	80	Cs	0	56	79	Ba	18	0.0109495	3.57754E-05	5.34985E-05	6.13917E-07	04/07/2024
55	80	Cs	0	56	79	Ba	18.8	0.0108542	3.49993E-05	5.80801E-05	6.65773E-07	04/07/2024
55	80	Cs	0	56	79	Ba	19.6	0.0107595	3.42316E-05	6.28281E-05	7.19432E-07	04/07/2024
55	80	Cs	0	56	79	Ba	20.4	0.0106654	3.34723E-05	6.77402E-05	7.74864E-07	04/07/2024
55	80	Cs	0	56	79	Ba	21.2	0.0105719	3.27215E-05	7.28145E-05	8.32044E-07	04/07/2024
55	80	Cs	0	56	79	Ba	22	0.0104788	0.000031979	7.80488E-05	8.90944E-07	04/07/2024
55	80	Cs	0	56	79	Ba	22.8	0.0103863	0.000031245	8.34412E-05	9.5154E-07	04/07/2024
55	80	Cs	0	56	79	Ba	23.6	0.0102944	3.05191E-05	8.89898E-05	1.01381E-06	04/07/2024
55	80	Cs	0	56	79	Ba	24.4	0.0102031	2.98016E-05	9.46926E-05	1.07772E-06	04/07/2024
55	80	Cs	0	56	79	Ba	25.2	0.0101123	2.90922E-05	0.000100548	1.14326E-06	04/07/2024
55	80	Cs	0	56	79	Ba	26	0.010022	2.83911E-05	0.000106555	1.21042E-06	04/07/2024
55	80	Cs	0	56	79	Ba	26.8	0.00993232	2.76981E-05	0.00011271	1.27915E-06	04/07/2024
55	80	Cs	0	56	79	Ba	27.6	0.00984318	2.70133E-05	0.000119013	1.34946E-06	04/07/2024
55	80	Cs	0	56	79	Ba	28.4	0.00975459	2.63364E-05	0.000125463	1.42131E-06	04/07/2024
55	80	Cs	0	56	79	Ba	29.2	0.00966655	2.56677E-05	0.000132056	1.49469E-06	04/07/2024
55	80	Cs	0	56	79	Ba	30	0.00957906	0.000025007	0.000138793	1.5696E-06	04/07/2024
55	80	Cs	0	56	79	Ba	30.8	0.00949213	2.43542E-05	0.000145672	1.64601E-06	04/07/2024
55	80	Cs	0	56	79	Ba	31.6	0.00940575	2.37094E-05	0.000152691	1.7239E-06	04/07/2024
55	80	Cs	0	56	79	Ba	32.4	0.00931991	2.30724E-05	0.00015985	1.80327E-06	04/07/2024
55	80	Cs	0	56	79	Ba	33.2	0.00923464	2.24432E-05	0.000167147	1.8841E-06	04/07/2024
55	80	Cs	0	56	79	Ba	34	0.0091499	2.18218E-05	0.000174581	1.96638E-06	04/07/2024
55	80	Cs	0	56	79	Ba	34.8	0.00906573	2.12083E-05	0.00018215	2.05011E-06	04/07/2024
55	80	Cs	0	56	79	Ba	35.6	0.00898209	2.06023E-05	0.000189855	2.13527E-06	04/07/2024
55	80	Cs	0	56	79	Ba	36.4	0.00889901	0.000020004	0.000197694	2.22185E-06	04/07/2024
55	80	Cs	0	56	79	Ba	37.2	0.00881647	1.94134E-05	0.000205665	2.30985E-06	04/07/2024
55	80	Cs	0	56	79	Ba	38	0.00873447	1.88304E-05	0.000213769	2.39926E-06	04/07/2024
55	80	Cs	0	56	79	Ba	38.8	0.00865302	1.82549E-05	0.000222005	2.49007E-06	04/07/2024
55	80	Cs	0	56	79	Ba	39.6	0.00857211	1.76868E-05	0.000230371	2.58228E-06	04/07/2024
55	80	Cs	0	56	79	Ba	40.4	0.00849174	1.71262E-05	0.000238867	2.67589E-06	04/07/2024
55	80	Cs	0	56	79	Ba	41.2	0.00841191	0.000016573	0.000247493	2.77088E-06	04/07/2024
55	80	Cs	0	56	79	Ba	42	0.00833262	1.60281E-05	0.000256247	2.86727E-06	04/07/2024
55	80	Cs	0	56	79	Ba	42.8	0.00825387	1.54933E-05	0.000265129	2.96504E-06	04/07/2024
55	80	Cs	0	56	79	Ba	43.6	0.00817566	1.49663E-05	0.00027414	3.06419E-06	04/07/2024
55	80	Cs	0	56	79	Ba	44.4	0.00809798	1.44462E-05	0.000283278	3.16474E-06	04/07/2024
55	80	Cs	0	56	79	Ba	45.2	0.00802083	1.39332E-05	0.000292542	3.26667E-06	04/07/2024
55	80	Cs	0	56	79	Ba	46	0.00794421	1.34273E-05	0.000301934	0.00000337	04/07/2024
55	80	Cs	0	56	79	Ba	46.8	0.00786812	1.29282E-05	0.000311452	3.47471E-06	04/07/2024
55	80	Cs	0	56	79	Ba	47.6	0.00779257	1.24361E-05	0.000321096	3.58081E-06	04/07/2024
55	80	Cs	0	56	79	Ba	48.4	0.00771754	1.19508E-05	0.000330866	3.68832E-06	04/07/2024
55	80	Cs	0	56	79	Ba	49.2	0.00764303	1.14724E-05	0.000340761	3.79723E-06	04/07/2024
55	80	Cs	0	56	79	Ba	50	0.00756905	1.10008E-05	0.000350783	3.90754E-06	04/07/2024
55	80	Cs	0	56	79	Ba	50.8	0.0074956	0.000010536	0.00036093	4.01927E-06	04/07/2024
55	80	Cs	0	56	79	Ba	51.6	0.00742267	1.00777E-05	0.000371203	4.13242E-06	04/07/2024
55	80	Cs	0	56	79	Ba	52.4	0.00735025	9.62618E-06	0.000381602	0.000004247	04/07/2024
55	80	Cs	0	56	79	Ba	53.2	0.00727834	9.18118E-06	0.000392126	4.36302E-06	04/07/2024
55	80	Cs	0	56	79	Ba	54	0.00720696	8.74272E-06	0.000402777	4.48047E-06	04/07/2024
