p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
59	85	Pr	0	60	84	Nd	0	0.000186835	6.97854E-07	0	0	22/07/2024
59	85	Pr	0	60	84	Nd	0.8	0.000187179	6.99441E-07	4.78645E-10	1.73134E-12	22/07/2024
59	85	Pr	0	60	84	Nd	1.6	0.000187535	7.01027E-07	1.86048E-09	6.65387E-12	22/07/2024
59	85	Pr	0	60	84	Nd	2.4	0.000187902	7.02614E-07	4.14549E-09	1.47679E-11	22/07/2024
59	85	Pr	0	60	84	Nd	3.2	0.000188279	7.042E-07	7.33365E-09	2.60733E-11	22/07/2024
59	85	Pr	0	60	84	Nd	4	0.000188666	7.05787E-07	1.1425E-08	4.05702E-11	22/07/2024
59	85	Pr	0	60	84	Nd	4.8	0.000189062	7.07374E-07	1.64162E-08	5.82585E-11	22/07/2024
59	85	Pr	0	60	84	Nd	5.6	0.000189468	7.08962E-07	2.23089E-08	7.91382E-11	22/07/2024
59	85	Pr	0	60	84	Nd	6.4	0.000189876	7.10549E-07	2.91014E-08	1.03209E-10	22/07/2024
59	85	Pr	0	60	84	Nd	7.2	0.000190275	7.12137E-07	3.67925E-08	1.30472E-10	22/07/2024
59	85	Pr	0	60	84	Nd	8	0.000190674	7.13724E-07	4.53831E-08	1.60926E-10	22/07/2024
59	85	Pr	0	60	84	Nd	8.8	0.000191071	7.15312E-07	5.48701E-08	1.94571E-10	22/07/2024
59	85	Pr	0	60	84	Nd	9.6	0.000191467	7.169E-07	6.52547E-08	2.31408E-10	22/07/2024
59	85	Pr	0	60	84	Nd	10	0.000191665	7.17694E-07	7.07836E-08	2.51023E-10	22/07/2024
59	85	Pr	0	60	84	Nd	11	0.000192159	7.19679E-07	8.55834E-08	3.03552E-10	22/07/2024
59	85	Pr	0	60	84	Nd	12	0.000192651	7.21665E-07	1.01783E-07	3.61067E-10	22/07/2024
59	85	Pr	0	60	84	Nd	13	0.000193144	7.2365E-07	1.19378E-07	4.23568E-10	22/07/2024
59	85	Pr	0	60	84	Nd	14	0.000193635	7.25636E-07	1.3837E-07	4.91056E-10	22/07/2024
59	85	Pr	0	60	84	Nd	15	0.000194127	7.27622E-07	1.5875E-07	5.6353E-10	22/07/2024
59	85	Pr	0	60	84	Nd	16	0.000194618	7.29609E-07	1.80523E-07	6.40991E-10	22/07/2024
59	85	Pr	0	60	84	Nd	17	0.000195108	7.31595E-07	2.03684E-07	7.23439E-10	22/07/2024
59	85	Pr	0	60	84	Nd	18	0.000195598	7.33582E-07	2.28236E-07	8.10872E-10	22/07/2024
59	85	Pr	0	60	84	Nd	19	0.000196088	7.35568E-07	2.54125E-07	9.0301E-10	22/07/2024
59	85	Pr	0	60	84	Nd	20	0.000196578	7.37555E-07	2.81391E-07	1.00008E-09	22/07/2024
59	85	Pr	0	60	84	Nd	21	0.000197067	7.39542E-07	3.1003E-07	1.10207E-09	22/07/2024
59	85	Pr	0	60	84	Nd	22	0.000197557	7.41529E-07	3.40039E-07	1.209E-09	22/07/2024
59	85	Pr	0	60	84	Nd	23	0.000198046	7.43517E-07	3.71418E-07	1.32086E-09	22/07/2024
59	85	Pr	0	60	84	Nd	24	0.000198534	7.45504E-07	4.04168E-07	1.43764E-09	22/07/2024
59	85	Pr	0	60	84	Nd	25	0.000199023	7.47492E-07	4.38284E-07	1.55936E-09	22/07/2024
