p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
94	147	Pu	0	95	146	Am	0	0.155306	0.00126848	0	0	03/07/2024
94	147	Pu	0	95	146	Am	0.06	0.154178	0.00125185	1.40348E-06	3.35022E-08	03/07/2024
94	147	Pu	0	95	146	Am	0.12	0.153057	0.00123533	5.60291E-06	1.33855E-07	03/07/2024
94	147	Pu	0	95	146	Am	0.18	0.151943	0.00121894	1.25819E-05	3.00831E-07	03/07/2024
94	147	Pu	0	95	146	Am	0.24	0.150836	0.00120266	2.23243E-05	5.34207E-07	03/07/2024
94	147	Pu	0	95	146	Am	0.3	0.149735	0.00118651	0.000034814	8.33766E-07	03/07/2024
94	147	Pu	0	95	146	Am	0.36	0.148641	0.00117047	5.00352E-05	1.1993E-06	03/07/2024
94	147	Pu	0	95	146	Am	0.42	0.147553	0.00115454	6.79722E-05	1.63059E-06	03/07/2024
94	147	Pu	0	95	146	Am	0.48	0.146472	0.00113874	8.86096E-05	2.12744E-06	03/07/2024
94	147	Pu	0	95	146	Am	0.54	0.145398	0.00112305	0.000111932	2.68966E-06	03/07/2024
94	147	Pu	0	95	146	Am	0.6	0.14433	0.00110747	0.000137924	3.31705E-06	03/07/2024
94	147	Pu	0	95	146	Am	0.66	0.143268	0.00109201	0.000166571	4.00942E-06	03/07/2024
94	147	Pu	0	95	146	Am	0.72	0.142213	0.00107667	0.000197858	4.76659E-06	03/07/2024
94	147	Pu	0	95	146	Am	0.78	0.141164	0.00106143	0.000231771	5.58838E-06	03/07/2024
94	147	Pu	0	95	146	Am	0.84	0.140122	0.00104631	0.000268294	6.47462E-06	03/07/2024
94	147	Pu	0	95	146	Am	0.9	0.139086	0.0010313	0.000307415	7.42515E-06	03/07/2024
94	147	Pu	0	95	146	Am	0.96	0.138056	0.0010164	0.000349118	8.43979E-06	03/07/2024
94	147	Pu	0	95	146	Am	1.02	0.137032	0.00100161	0.000393389	9.5184E-06	03/07/2024
94	147	Pu	0	95	146	Am	1.08	0.136015	0.000986933	0.000440216	1.06608E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.14	0.135003	0.000972362	0.000489584	1.18669E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.2	0.133998	0.000957901	0.00054148	1.31365E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.26	0.132999	0.000943546	0.000595891	1.44694E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.32	0.132006	0.000929299	0.000652803	1.58656E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.38	0.131019	0.000915158	0.000712204	0.000017325	03/07/2024
94	147	Pu	0	95	146	Am	1.44	0.130038	0.000901123	0.000774081	1.88473E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.5	0.129063	0.000887194	0.000838422	2.04325E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.56	0.128094	0.000873368	0.000905214	2.20804E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.62	0.127131	0.000859647	0.000974446	0.000023791	03/07/2024
94	147	Pu	0	95	146	Am	1.68	0.126173	0.000846029	0.0010461	2.55642E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.74	0.125222	0.000832513	0.00112018	2.73998E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.8	0.124276	0.000819099	0.00119665	2.92977E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.86	0.123336	0.000805787	0.00127552	0.000031258	03/07/2024
94	147	Pu	0	95	146	Am	1.92	0.122401	0.000792576	0.00135677	3.32804E-05	03/07/2024
94	147	Pu	0	95	146	Am	1.98	0.121473	0.000779465	0.00144039	3.53649E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.04	0.12055	0.000766453	0.00152637	3.75114E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.1	0.119632	0.00075354	0.00161469	3.97199E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.16	0.118721	0.000740726	0.00170536	4.19902E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.22	0.117814	0.000728009	0.00179835	4.43224E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.28	0.116914	0.00071539	0.00189365	4.67164E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.34	0.116019	0.000702867	0.00199126	4.91721E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.4	0.115129	0.000690441	0.00209117	5.16895E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.46	0.114244	0.00067811	0.00219337	5.42685E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.52	0.113366	0.000665873	0.00229784	5.69091E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.58	0.112492	0.000653731	0.00240458	5.96113E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.64	0.111624	0.000641683	0.00251357	6.23751E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.7	0.110761	0.000629728	0.00262482	6.52004E-05	03/07/2024
94	147	Pu	0	95	146	Am	2.76	0.109903	0.000617866	0.00273831	6.80871E-05	03/07/2024
