p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
45	61	Rh	0	46	60	Pd	0	0.000133383	6.22583E-07	0	0	19/07/2024
45	61	Rh	0	46	60	Pd	0.7	0.000133644	6.23823E-07	3.3878E-10	1.51511E-12	19/07/2024
45	61	Rh	0	46	60	Pd	1.4	0.000133905	6.25064E-07	1.27853E-09	5.62082E-12	19/07/2024
45	61	Rh	0	46	60	Pd	2.1	0.000134167	6.26306E-07	2.8192E-09	1.23174E-11	19/07/2024
45	61	Rh	0	46	60	Pd	2.8	0.000134429	6.27548E-07	4.96065E-09	2.16048E-11	19/07/2024
45	61	Rh	0	46	60	Pd	3.5	0.000134689	6.28791E-07	7.70278E-09	3.3483E-11	19/07/2024
45	61	Rh	0	46	60	Pd	4.2	0.000134948	6.30035E-07	1.10454E-08	4.79521E-11	19/07/2024
45	61	Rh	0	46	60	Pd	4.9	0.000135206	6.3128E-07	1.49881E-08	6.5012E-11	19/07/2024
45	61	Rh	0	46	60	Pd	5.6	0.000135462	6.32526E-07	1.95309E-08	8.46628E-11	19/07/2024
45	61	Rh	0	46	60	Pd	6.3	0.000135718	6.33772E-07	2.46735E-08	1.06904E-10	19/07/2024
45	61	Rh	0	46	60	Pd	7	0.000135974	6.35019E-07	3.04152E-08	1.31737E-10	19/07/2024
45	61	Rh	0	46	60	Pd	7.7	0.000136229	6.36267E-07	3.67563E-08	1.5916E-10	19/07/2024
45	61	Rh	0	46	60	Pd	8.4	0.000136484	6.37516E-07	4.36964E-08	1.89175E-10	19/07/2024
45	61	Rh	0	46	60	Pd	9.1	0.000136739	6.38765E-07	5.1235E-08	2.2178E-10	19/07/2024
45	61	Rh	0	46	60	Pd	9.8	0.000136994	6.40016E-07	5.9372E-08	2.56975E-10	19/07/2024
45	61	Rh	0	46	60	Pd	10	0.000137067	6.40373E-07	6.18068E-08	2.67507E-10	19/07/2024
45	61	Rh	0	46	60	Pd	11	0.00013743	6.42161E-07	7.47115E-08	3.23339E-10	19/07/2024
45	61	Rh	0	46	60	Pd	12	0.000137794	6.43951E-07	8.88364E-08	3.84458E-10	19/07/2024
45	61	Rh	0	46	60	Pd	13	0.000138157	6.45742E-07	1.04176E-07	4.50865E-10	19/07/2024
45	61	Rh	0	46	60	Pd	14	0.00013852	6.47534E-07	1.20733E-07	5.22559E-10	19/07/2024
45	61	Rh	0	46	60	Pd	15	0.000138883	6.49329E-07	1.38506E-07	5.9954E-10	19/07/2024
45	61	Rh	0	46	60	Pd	16	0.000139245	6.51125E-07	1.57494E-07	6.81809E-10	19/07/2024
45	61	Rh	0	46	60	Pd	17	0.000139608	6.52923E-07	1.7768E-07	7.69354E-10	19/07/2024
45	61	Rh	0	46	60	Pd	18	0.00013997	6.54722E-07	1.99076E-07	8.62184E-10	19/07/2024
45	61	Rh	0	46	60	Pd	19	0.000140333	6.56523E-07	2.21678E-07	9.60299E-10	19/07/2024
45	61	Rh	0	46	60	Pd	20	0.000140696	6.58325E-07	2.45488E-07	1.0637E-09	19/07/2024
45	61	Rh	0	46	60	Pd	21	0.000141058	6.60129E-07	2.70495E-07	1.17238E-09	19/07/2024
