p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
40	53	Zr	0	41	52	Nb	0	0.0104153	0.000497542	0	0	12/07/2024
40	53	Zr	0	41	52	Nb	0.2	0.0141944	0.000721692	1.26305E-06	9.148E-08	12/07/2024
40	53	Zr	0	41	52	Nb	0.4	0.0169901	0.00089133	5.03276E-06	3.64474E-07	12/07/2024
40	53	Zr	0	41	52	Nb	0.6	0.0188026	0.000998648	1.12852E-05	8.16851E-07	12/07/2024
40	53	Zr	0	41	52	Nb	0.8	0.020073	0.00107325	1.99923E-05	1.44646E-06	12/07/2024
40	53	Zr	0	41	52	Nb	1	0.0210067	0.00112811	3.11292E-05	2.25118E-06	12/07/2024
40	53	Zr	0	41	52	Nb	1.3	0.0220354	0.00118802	5.23317E-05	3.78184E-06	12/07/2024
40	53	Zr	0	41	52	Nb	1.6	0.022775	0.00123065	7.88578E-05	5.69487E-06	12/07/2024
40	53	Zr	0	41	52	Nb	1.9	0.0233388	0.00126285	0.000110615	7.9827E-06	12/07/2024
40	53	Zr	0	41	52	Nb	2.2	0.023781	0.0012878	0.000147524	1.06388E-05	12/07/2024
40	53	Zr	0	41	52	Nb	2.5	0.0241399	0.00130779	0.000189492	1.36557E-05	12/07/2024
40	53	Zr	0	41	52	Nb	2.8	0.0244366	0.00132406	0.00023644	1.70269E-05	12/07/2024
40	53	Zr	0	41	52	Nb	3.1	0.024687	0.00133756	0.000288279	2.07451E-05	12/07/2024
40	53	Zr	0	41	52	Nb	3.4	0.0249009	0.00134885	0.00034493	2.48039E-05	12/07/2024
40	53	Zr	0	41	52	Nb	3.7	0.025086	0.0013584	0.000406303	2.91959E-05	12/07/2024
40	53	Zr	0	41	52	Nb	4	0.0252472	0.0013665	0.00047232	0.000033915	12/07/2024
40	53	Zr	0	41	52	Nb	4.3	0.0253888	0.0013734	0.000542895	3.89538E-05	12/07/2024
40	53	Zr	0	41	52	Nb	4.6	0.0255136	0.00137927	0.000617949	4.43063E-05	12/07/2024
40	53	Zr	0	41	52	Nb	4.9	0.0256238	0.00138425	0.000697397	4.99653E-05	12/07/2024
40	53	Zr	0	41	52	Nb	5.2	0.0257214	0.00138844	0.000781162	5.59245E-05	12/07/2024
40	53	Zr	0	41	52	Nb	5.5	0.0258078	0.00139194	0.000869158	6.21772E-05	12/07/2024
