p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
45,61,Rh,0,46,60,Pd,0.0,0.000133383,6.22583e-07,0.0,0.0,2026-04-15
45,61,Rh,0,46,60,Pd,0.7,0.000133644,6.23823e-07,3.3878e-10,1.5151e-12,2026-04-15
45,61,Rh,0,46,60,Pd,1.4,0.000133905,6.25064e-07,1.27853e-09,5.6208e-12,2026-04-15
45,61,Rh,0,46,60,Pd,2.1,0.000134167,6.26306e-07,2.8192e-09,1.23174e-11,2026-04-15
45,61,Rh,0,46,60,Pd,2.8,0.000134429,6.27548e-07,4.96065e-09,2.16048e-11,2026-04-15
45,61,Rh,0,46,60,Pd,3.5,0.000134689,6.28791e-07,7.70278e-09,3.3483e-11,2026-04-15
45,61,Rh,0,46,60,Pd,4.2,0.000134948,6.30035e-07,1.10454e-08,4.79521e-11,2026-04-15
45,61,Rh,0,46,60,Pd,4.9,0.000135206,6.3128e-07,1.49881e-08,6.5012e-11,2026-04-15
45,61,Rh,0,46,60,Pd,5.6,0.000135462,6.32526e-07,1.95309e-08,8.46628e-11,2026-04-15
45,61,Rh,0,46,60,Pd,6.3,0.000135718,6.33772e-07,2.46735e-08,1.06904e-10,2026-04-15
45,61,Rh,0,46,60,Pd,7.0,0.000135974,6.35019e-07,3.04152e-08,1.31737e-10,2026-04-15
45,61,Rh,0,46,60,Pd,7.7,0.000136229,6.36267e-07,3.67563e-08,1.5916e-10,2026-04-15
45,61,Rh,0,46,60,Pd,8.4,0.000136484,6.37516e-07,4.36964e-08,1.89175e-10,2026-04-15
45,61,Rh,0,46,60,Pd,9.1,0.000136739,6.38765e-07,5.1235e-08,2.2178e-10,2026-04-15
45,61,Rh,0,46,60,Pd,9.8,0.000136994,6.40016e-07,5.9372e-08,2.56975e-10,2026-04-15
45,61,Rh,0,46,60,Pd,10.0,0.000137067,6.40373e-07,6.18068e-08,2.67507e-10,2026-04-15
45,61,Rh,0,46,60,Pd,11.0,0.00013743,6.42161e-07,7.47115e-08,3.23339e-10,2026-04-15
45,61,Rh,0,46,60,Pd,12.0,0.000137794,6.43951e-07,8.88364e-08,3.84458e-10,2026-04-15
45,61,Rh,0,46,60,Pd,13.0,0.000138157,6.45742e-07,1.04176e-07,4.50865e-10,2026-04-15
45,61,Rh,0,46,60,Pd,14.0,0.00013852,6.47534e-07,1.20733e-07,5.22559e-10,2026-04-15
45,61,Rh,0,46,60,Pd,15.0,0.000138883,6.49329e-07,1.38506e-07,5.9954e-10,2026-04-15
45,61,Rh,0,46,60,Pd,16.0,0.000139245,6.51125e-07,1.57494e-07,6.81809e-10,2026-04-15
45,61,Rh,0,46,60,Pd,17.0,0.000139608,6.52923e-07,1.7768e-07,7.69354e-10,2026-04-15
45,61,Rh,0,46,60,Pd,18.0,0.00013997,6.54722e-07,1.99076e-07,8.62184e-10,2026-04-15
45,61,Rh,0,46,60,Pd,19.0,0.000140333,6.56523e-07,2.21678e-07,9.60299e-10,2026-04-15
45,61,Rh,0,46,60,Pd,20.0,0.000140696,6.58325e-07,2.45488e-07,1.0637e-09,2026-04-15
45,61,Rh,0,46,60,Pd,21.0,0.000141058,6.60129e-07,2.70495e-07,1.17238e-09,2026-04-15
45,61,Rh,0,46,60,Pd,22.0,0.000141421,6.61935e-07,2.96707e-07,1.28635e-09,2026-04-15
45,61,Rh,0,46,60,Pd,23.0,0.000141784,6.63743e-07,3.24064e-07,1.40511e-09,2026-04-15
45,61,Rh,0,46,60,Pd,24.0,0.000142146,6.65552e-07,3.52615e-07,1.52906e-09,2026-04-15
45,61,Rh,0,46,60,Pd,25.0,0.00014251,6.67363e-07,3.82337e-07,1.65821e-09,2026-04-15
45,61,Rh,0,46,60,Pd,26.0,0.000142875,6.69176e-07,4.13246e-07,1.79255e-09,2026-04-15
45,61,Rh,0,46,60,Pd,27.0,0.000143239,6.70991e-07,4.45342e-07,1.9321e-09,2026-04-15
45,61,Rh,0,46,60,Pd,28.0,0.000143604,6.72807e-07,4.78623e-07,2.07684e-09,2026-04-15
