p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
44,62,Ru,0,45,61,Rh,0.0,0.0831883,0.000460464,0.0,0.0,2026-04-15
44,62,Ru,0,45,61,Rh,0.1,0.0795096,0.000437978,5.36285e-07,8.85127e-09,2026-04-15
44,62,Ru,0,45,61,Rh,0.2,0.0765686,0.000419668,2.14442e-06,3.53933e-08,2026-04-15
44,62,Ru,0,45,61,Rh,0.3,0.0743655,0.000405532,4.82334e-06,7.96086e-08,2026-04-15
44,62,Ru,0,45,61,Rh,0.4,0.0729524,0.000395795,8.57196e-06,1.4148e-07,2026-04-15
44,62,Ru,0,45,61,Rh,0.5,0.0719954,0.000388588,1.33892e-05,2.20988e-07,2026-04-15
44,62,Ru,0,45,61,Rh,0.6,0.0712994,0.000382825,1.9274e-05,3.18118e-07,2026-04-15
44,62,Ru,0,45,61,Rh,0.7,0.0707566,0.00037791,2.62253e-05,4.3285e-07,2026-04-15
44,62,Ru,0,45,61,Rh,0.8,0.0703064,0.000373507,3.4242e-05,5.65168e-07,2026-04-15
44,62,Ru,0,45,61,Rh,0.9,0.0699129,0.000369419,4.3323e-05,7.15054e-07,2026-04-15
44,62,Ru,0,45,61,Rh,1.0,0.0695546,0.000365528,5.34674e-05,8.8249e-07,2026-04-15
44,62,Ru,0,45,61,Rh,1.1,0.0692181,0.000361762,6.46739e-05,1.06746e-06,2026-04-15
44,62,Ru,0,45,61,Rh,1.2,0.0688951,0.000358074,7.69415e-05,1.26994e-06,2026-04-15
44,62,Ru,0,45,61,Rh,1.3,0.0685801,0.000354436,9.02692e-05,1.48993e-06,2026-04-15
44,62,Ru,0,45,61,Rh,1.4,0.0682697,0.00035083,0.000104656,1.72739e-06,2026-04-15
44,62,Ru,0,45,61,Rh,1.5,0.0679616,0.000347244,0.000120101,1.98232e-06,2026-04-15
44,62,Ru,0,45,61,Rh,1.6,0.0676546,0.00034367,0.000136602,2.25469e-06,2026-04-15
44,62,Ru,0,45,61,Rh,1.7,0.0673476,0.000340104,0.00015416,2.54449e-06,2026-04-15
44,62,Ru,0,45,61,Rh,1.8,0.0670401,0.000336544,0.000172772,2.8517e-06,2026-04-15
44,62,Ru,0,45,61,Rh,1.9,0.0667318,0.000332987,0.000192437,3.17631e-06,2026-04-15
44,62,Ru,0,45,61,Rh,2.0,0.0664226,0.000329433,0.000213156,3.51829e-06,2026-04-15
44,62,Ru,0,45,61,Rh,2.1,0.0661124,0.000325883,0.000234926,3.87763e-06,2026-04-15
44,62,Ru,0,45,61,Rh,2.2,0.0658012,0.000322336,0.000257746,4.25431e-06,2026-04-15
44,62,Ru,0,45,61,Rh,2.3,0.0654891,0.000318793,0.000281616,4.64832e-06,2026-04-15
44,62,Ru,0,45,61,Rh,2.4,0.0651761,0.000315254,0.000306534,5.05963e-06,2026-04-15
44,62,Ru,0,45,61,Rh,2.5,0.0648624,0.000311719,0.0003325,5.48823e-06,2026-04-15
44,62,Ru,0,45,61,Rh,2.6,0.064548,0.000308191,0.000359512,5.93411e-06,2026-04-15
44,62,Ru,0,45,61,Rh,2.7,0.064233,0.000304668,0.000387569,6.39724e-06,2026-04-15
44,62,Ru,0,45,61,Rh,2.8,0.0639176,0.000301152,0.00041667,6.87761e-06,2026-04-15
44,62,Ru,0,45,61,Rh,2.9,0.0636018,0.000297644,0.000446815,7.3752e-06,2026-04-15
44,62,Ru,0,45,61,Rh,3.0,0.0632858,0.000294143,0.000478001,7.88999e-06,2026-04-15
44,62,Ru,0,45,61,Rh,3.1,0.0629695,0.00029065,0.000510229,8.42198e-06,2026-04-15
44,62,Ru,0,45,61,Rh,3.2,0.0626532,0.000287166,0.000543496,8.97113e-06,2026-04-15
44,62,Ru,0,45,61,Rh,3.3,0.0623368,0.000283692,0.000577803,9.53743e-06,2026-04-15
44,62,Ru,0,45,61,Rh,3.4,0.0620205,0.000280226,0.000613147,1.01209e-05,2026-04-15
44,62,Ru,0,45,61,Rh,3.5,0.0617042,0.000276771,0.000649528,1.07214e-05,2026-04-15
44,62,Ru,0,45,61,Rh,3.6,0.0613881,0.000273326,0.000686945,1.13391e-05,2026-04-15
44,62,Ru,0,45,61,Rh,3.7,0.0610722,0.000269892,0.000725396,1.19738e-05,2026-04-15
44,62,Ru,0,45,61,Rh,3.8,0.0607566,0.000266468,0.000764881,1.26256e-05,2026-04-15
44,62,Ru,0,45,61,Rh,3.9,0.0604412,0.000263055,0.000805399,1.32945e-05,2026-04-15
44,62,Ru,0,45,61,Rh,4.0,0.0601262,0.000259654,0.000846949,1.39804e-05,2026-04-15
44,62,Ru,0,45,61,Rh,4.1,0.0598116,0.000256264,0.000889529,1.46833e-05,2026-04-15
44,62,Ru,0,45,61,Rh,4.2,0.0594974,0.000252885,0.000933138,1.54032e-05,2026-04-15
44,62,Ru,0,45,61,Rh,4.3,0.0591836,0.000249519,0.000977776,1.61401e-05,2026-04-15
44,62,Ru,0,45,61,Rh,4.4,0.0588702,0.000246164,0.00102344,1.68939e-05,2026-04-15
44,62,Ru,0,45,61,Rh,4.5,0.0585574,0.000242822,0.00107013,1.76647e-05,2026-04-15
44,62,Ru,0,45,61,Rh,4.6,0.0582451,0.000239492,0.00111785,1.84524e-05,2026-04-15
44,62,Ru,0,45,61,Rh,4.7,0.0579333,0.000236174,0.00116659,1.92571e-05,2026-04-15
44,62,Ru,0,45,61,Rh,4.8,0.057622,0.000232868,0.00121636,2.00786e-05,2026-04-15
44,62,Ru,0,45,61,Rh,4.9,0.0573113,0.000229576,0.00126714,2.0917e-05,2026-04-15
44,62,Ru,0,45,61,Rh,5.0,0.0570012,0.000226295,0.00131895,2.17723e-05,2026-04-15
44,62,Ru,0,45,61,Rh,5.1,0.0566917,0.000223028,0.00137178,2.26444e-05,2026-04-15
44,62,Ru,0,45,61,Rh,5.2,0.0563828,0.000219773,0.00142563,2.35334e-05,2026-04-15
44,62,Ru,0,45,61,Rh,5.3,0.0560745,0.000216532,0.00148049,2.44391e-05,2026-04-15
44,62,Ru,0,45,61,Rh,5.4,0.0557668,0.000213303,0.00153637,2.53617e-05,2026-04-15
44,62,Ru,0,45,61,Rh,5.5,0.0554598,0.000210087,0.00159327,2.6301e-05,2026-04-15
44,62,Ru,0,45,61,Rh,5.6,0.0551534,0.000206884,0.00165119,2.72571e-05,2026-04-15
44,62,Ru,0,45,61,Rh,5.7,0.0548477,0.000203695,0.00171011,2.823e-05,2026-04-15
44,62,Ru,0,45,61,Rh,5.8,0.0545426,0.000200518,0.00177005,2.92195e-05,2026-04-15
44,62,Ru,0,45,61,Rh,5.9,0.0542382,0.000197355,0.00183101,3.02258e-05,2026-04-15
44,62,Ru,0,45,61,Rh,6.0,0.0539345,0.000194205,0.00189297,3.12488e-05,2026-04-15
44,62,Ru,0,45,61,Rh,6.1,0.0536315,0.000191068,0.00195594,3.22884e-05,2026-04-15
44,62,Ru,0,45,61,Rh,6.2,0.0533292,0.000187945,0.00201993,3.33448e-05,2026-04-15
44,62,Ru,0,45,61,Rh,6.3,0.0530276,0.000184835,0.00208492,3.44177e-05,2026-04-15
44,62,Ru,0,45,61,Rh,6.4,0.0527266,0.000181738,0.00215091,3.55073e-05,2026-04-15
44,62,Ru,0,45,61,Rh,6.5,0.0524264,0.000178655,0.00221791,3.66135e-05,2026-04-15
44,62,Ru,0,45,61,Rh,6.6,0.0521269,0.000175585,0.00228592,3.77363e-05,2026-04-15
44,62,Ru,0,45,61,Rh,6.7,0.051828,0.000172529,0.00235493,3.88756e-05,2026-04-15
44,62,Ru,0,45,61,Rh,6.8,0.0515299,0.000169486,0.00242495,4.00316e-05,2026-04-15
44,62,Ru,0,45,61,Rh,6.9,0.0512326,0.000166457,0.00249596,4.1204e-05,2026-04-15
44,62,Ru,0,45,61,Rh,7.0,0.0509359,0.000163441,0.00256798,4.2393e-05,2026-04-15
44,62,Ru,0,45,61,Rh,7.1,0.05064,0.000160439,0.00264099,4.35985e-05,2026-04-15
44,62,Ru,0,45,61,Rh,7.2,0.0503447,0.000157451,0.00271501,4.48205e-05,2026-04-15
44,62,Ru,0,45,61,Rh,7.3,0.0500503,0.000154476,0.00279002,4.6059e-05,2026-04-15
44,62,Ru,0,45,61,Rh,7.4,0.0497565,0.000151515,0.00286603,4.73139e-05,2026-04-15
44,62,Ru,0,45,61,Rh,7.5,0.0494635,0.000148568,0.00294303,4.85853e-05,2026-04-15
44,62,Ru,0,45,61,Rh,7.6,0.0491712,0.000145634,0.00302103,4.98731e-05,2026-04-15
44,62,Ru,0,45,61,Rh,7.7,0.0488797,0.000142715,0.00310002,5.11773e-05,2026-04-15
44,62,Ru,0,45,61,Rh,7.8,0.0485889,0.000139809,0.00318001,5.24979e-05,2026-04-15
44,62,Ru,0,45,61,Rh,7.9,0.0482989,0.000136916,0.00326098,5.38349e-05,2026-04-15
44,62,Ru,0,45,61,Rh,8.0,0.0480096,0.000134038,0.00334295,5.51882e-05,2026-04-15
44,62,Ru,0,45,61,Rh,8.1,0.047721,0.000131173,0.00342591,5.65579e-05,2026-04-15
44,62,Ru,0,45,61,Rh,8.2,0.0474332,0.000128322,0.00350985,5.79439e-05,2026-04-15
