p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
53,76,I,0,54,75,Xe,0.0,0.0148923,0.000197426,0.0,0.0,2026-04-15
53,76,I,0,54,75,Xe,0.4,0.014839,0.00019703,4.14805e-07,2.59375e-08,2026-04-15
53,76,I,0,54,75,Xe,0.8,0.014786,0.000196634,1.65236e-06,1.03231e-07,2026-04-15
53,76,I,0,54,75,Xe,1.2,0.0147333,0.00019624,3.70244e-06,2.31106e-07,2026-04-15
53,76,I,0,54,75,Xe,1.6,0.0146807,0.000195847,6.55488e-06,4.08795e-07,2026-04-15
53,76,I,0,54,75,Xe,2.0,0.0146284,0.000195455,1.01996e-05,6.35536e-07,2026-04-15
53,76,I,0,54,75,Xe,2.4,0.0145763,0.000195064,1.46266e-05,9.10575e-07,2026-04-15
53,76,I,0,54,75,Xe,2.8,0.0145245,0.000194673,1.9826e-05,1.23316e-06,2026-04-15
53,76,I,0,54,75,Xe,3.2,0.0144728,0.000194282,2.57878e-05,1.60255e-06,2026-04-15
53,76,I,0,54,75,Xe,3.6,0.0144214,0.000193891,3.25023e-05,2.01801e-06,2026-04-15
53,76,I,0,54,75,Xe,4.0,0.0143702,0.000193501,3.99598e-05,2.4788e-06,2026-04-15
53,76,I,0,54,75,Xe,4.4,0.0143192,0.000193109,4.81507e-05,2.9842e-06,2026-04-15
53,76,I,0,54,75,Xe,4.8,0.0142684,0.000192717,5.70653e-05,3.53349e-06,2026-04-15
53,76,I,0,54,75,Xe,5.2,0.0142178,0.000192324,6.66942e-05,4.12596e-06,2026-04-15
53,76,I,0,54,75,Xe,5.6,0.0141675,0.00019193,7.7028e-05,4.7609e-06,2026-04-15
53,76,I,0,54,75,Xe,6.0,0.0141173,0.000191534,8.80572e-05,5.43761e-06,2026-04-15
53,76,I,0,54,75,Xe,6.4,0.0140673,0.000191137,9.97727e-05,6.15539e-06,2026-04-15
53,76,I,0,54,75,Xe,6.8,0.0140175,0.000190739,0.000112165,6.91356e-06,2026-04-15
53,76,I,0,54,75,Xe,7.2,0.0139679,0.000190338,0.000125226,7.71143e-06,2026-04-15
53,76,I,0,54,75,Xe,7.6,0.0139185,0.000189935,0.000138945,8.54832e-06,2026-04-15
53,76,I,0,54,75,Xe,8.0,0.0138693,0.00018953,0.000153314,9.42356e-06,2026-04-15
53,76,I,0,54,75,Xe,8.4,0.0138203,0.000189122,0.000168324,1.03365e-05,2026-04-15
53,76,I,0,54,75,Xe,8.8,0.0137715,0.000188711,0.000183965,1.12864e-05,2026-04-15
53,76,I,0,54,75,Xe,9.2,0.0137228,0.000188298,0.000200231,1.22727e-05,2026-04-15
53,76,I,0,54,75,Xe,9.6,0.0136743,0.000187881,0.00021711,1.32948e-05,2026-04-15
53,76,I,0,54,75,Xe,10.0,0.013626,0.000187461,0.000234596,1.43519e-05,2026-04-15
53,76,I,0,54,75,Xe,10.4,0.0135779,0.000187037,0.000252678,1.54434e-05,2026-04-15
53,76,I,0,54,75,Xe,10.8,0.0135299,0.000186609,0.00027135,1.65688e-05,2026-04-15
53,76,I,0,54,75,Xe,11.2,0.0134821,0.000186178,0.000290602,1.77273e-05,2026-04-15
53,76,I,0,54,75,Xe,11.6,0.0134345,0.000185742,0.000310426,1.89184e-05,2026-04-15
53,76,I,0,54,75,Xe,12.0,0.013387,0.000185302,0.000330813,2.01415e-05,2026-04-15
53,76,I,0,54,75,Xe,12.4,0.0133397,0.000184857,0.000351756,2.13958e-05,2026-04-15
53,76,I,0,54,75,Xe,12.8,0.0132926,0.000184408,0.000373246,2.26809e-05,2026-04-15
53,76,I,0,54,75,Xe,13.2,0.0132456,0.000183954,0.000395276,2.39962e-05,2026-04-15
53,76,I,0,54,75,Xe,13.6,0.0131987,0.000183494,0.000417836,2.5341e-05,2026-04-15
53,76,I,0,54,75,Xe,14.0,0.0131521,0.000183029,0.00044092,2.67147e-05,2026-04-15
53,76,I,0,54,75,Xe,14.4,0.0131055,0.000182559,0.000464518,2.81168e-05,2026-04-15
53,76,I,0,54,75,Xe,14.8,0.0130591,0.000182083,0.000488625,2.95467e-05,2026-04-15
53,76,I,0,54,75,Xe,15.2,0.0130129,0.000181602,0.00051323,3.10038e-05,2026-04-15
53,76,I,0,54,75,Xe,15.6,0.0129668,0.000181114,0.000538328,3.24876e-05,2026-04-15
53,76,I,0,54,75,Xe,16.0,0.0129208,0.00018062,0.00056391,3.39974e-05,2026-04-15
53,76,I,0,54,75,Xe,16.4,0.012875,0.00018012,0.000589969,3.55328e-05,2026-04-15
53,76,I,0,54,75,Xe,16.8,0.0128293,0.000179613,0.000616497,3.70932e-05,2026-04-15
53,76,I,0,54,75,Xe,17.2,0.0127838,0.0001791,0.000643486,3.86781e-05,2026-04-15
53,76,I,0,54,75,Xe,17.6,0.0127384,0.00017858,0.00067093,4.02868e-05,2026-04-15
53,76,I,0,54,75,Xe,18.0,0.0126931,0.000178052,0.000698821,4.1919e-05,2026-04-15
53,76,I,0,54,75,Xe,18.4,0.0126479,0.000177518,0.000727152,4.3574e-05,2026-04-15
53,76,I,0,54,75,Xe,18.8,0.0126029,0.000176976,0.000755916,4.52513e-05,2026-04-15
53,76,I,0,54,75,Xe,19.2,0.012558,0.000176427,0.000785105,4.69504e-05,2026-04-15
53,76,I,0,54,75,Xe,19.6,0.0125132,0.00017587,0.000814712,4.86708e-05,2026-04-15
53,76,I,0,54,75,Xe,20.0,0.0124685,0.000175305,0.000844731,5.0412e-05,2026-04-15
53,76,I,0,54,75,Xe,20.4,0.012424,0.000174732,0.000875154,5.21734e-05,2026-04-15
53,76,I,0,54,75,Xe,20.8,0.0123795,0.000174151,0.000905975,5.39547e-05,2026-04-15
53,76,I,0,54,75,Xe,21.2,0.0123352,0.000173562,0.000937187,5.57552e-05,2026-04-15
53,76,I,0,54,75,Xe,21.6,0.012291,0.000172964,0.000968783,5.75746e-05,2026-04-15
53,76,I,0,54,75,Xe,22.0,0.0122469,0.000172358,0.00100076,5.94122e-05,2026-04-15
53,76,I,0,54,75,Xe,22.4,0.0122029,0.000171742,0.0010331,6.12678e-05,2026-04-15
53,76,I,0,54,75,Xe,22.8,0.012159,0.000171118,0.00106581,6.31406e-05,2026-04-15
53,76,I,0,54,75,Xe,23.2,0.0121152,0.000170485,0.00109887,6.50304e-05,2026-04-15
53,76,I,0,54,75,Xe,23.6,0.0120715,0.000169843,0.00113229,6.69367e-05,2026-04-15
53,76,I,0,54,75,Xe,24.0,0.0120278,0.000169192,0.00116605,6.88589e-05,2026-04-15
53,76,I,0,54,75,Xe,24.4,0.0119843,0.000168531,0.00120015,7.07967e-05,2026-04-15
53,76,I,0,54,75,Xe,24.8,0.0119409,0.00016786,0.00123459,7.27495e-05,2026-04-15
53,76,I,0,54,75,Xe,25.2,0.0118976,0.00016718,0.00126934,7.4717e-05,2026-04-15
53,76,I,0,54,75,Xe,25.6,0.0118543,0.00016649,0.00130442,7.66988e-05,2026-04-15
53,76,I,0,54,75,Xe,26.0,0.0118112,0.00016579,0.00133982,7.86942e-05,2026-04-15
53,76,I,0,54,75,Xe,26.4,0.0117681,0.00016508,0.00137552,8.07031e-05,2026-04-15
53,76,I,0,54,75,Xe,26.8,0.0117251,0.000164359,0.00141152,8.27248e-05,2026-04-15
53,76,I,0,54,75,Xe,27.2,0.0116822,0.000163628,0.00144782,8.47591e-05,2026-04-15
53,76,I,0,54,75,Xe,27.6,0.0116393,0.000162887,0.00148441,8.68055e-05,2026-04-15
53,76,I,0,54,75,Xe,28.0,0.0115966,0.000162135,0.00152128,8.88635e-05,2026-04-15
53,76,I,0,54,75,Xe,28.4,0.0115539,0.000161372,0.00155843,9.09328e-05,2026-04-15
53,76,I,0,54,75,Xe,28.8,0.0115113,0.000160599,0.00159585,9.3013e-05,2026-04-15
53,76,I,0,54,75,Xe,29.2,0.0114687,0.000159814,0.00163355,9.51037e-05,2026-04-15
53,76,I,0,54,75,Xe,29.6,0.0114262,0.000159019,0.0016715,9.72045e-05,2026-04-15
53,76,I,0,54,75,Xe,30.0,0.0113838,0.000158212,0.00170971,9.9315e-05,2026-04-15
53,76,I,0,54,75,Xe,30.4,0.0113415,0.000157394,0.00174817,0.000101435,2026-04-15
53,76,I,0,54,75,Xe,30.8,0.0112992,0.000156565,0.00178687,0.000103564,2026-04-15
53,76,I,0,54,75,Xe,31.2,0.0112569,0.000155724,0.00182582,0.000105701,2026-04-15
53,76,I,0,54,75,Xe,31.6,0.0112147,0.000154872,0.001865,0.000107847,2026-04-15
53,76,I,0,54,75,Xe,32.0,0.0111726,0.000154007,0.00190441,0.00011,2026-04-15
53,76,I,0,54,75,Xe,32.4,0.0111305,0.000153131,0.00194405,0.000112161,2026-04-15
53,76,I,0,54,75,Xe,32.8,0.0110885,0.000152244,0.0019839,0.000114329,2026-04-15
53,76,I,0,54,75,Xe,33.2,0.0110465,0.000151344,0.00202397,0.000116504,2026-04-15
53,76,I,0,54,75,Xe,33.6,0.0110046,0.000150432,0.00206425,0.000118685,2026-04-15
53,76,I,0,54,75,Xe,34.0,0.0109627,0.000149508,0.00210473,0.000120873,2026-04-15
53,76,I,0,54,75,Xe,34.4,0.0109208,0.000148571,0.00214541,0.000123066,2026-04-15
53,76,I,0,54,75,Xe,34.8,0.010879,0.000147623,0.00218629,0.000125265,2026-04-15
53,76,I,0,54,75,Xe,35.2,0.0108373,0.000146662,0.00222736,0.000127468,2026-04-15
53,76,I,0,54,75,Xe,35.6,0.0107955,0.000145688,0.00226861,0.000129677,2026-04-15
53,76,I,0,54,75,Xe,36.0,0.0107538,0.000144702,0.00231004,0.00013189,2026-04-15
53,76,I,0,54,75,Xe,36.4,0.0107122,0.000143703,0.00235165,0.000134107,2026-04-15
53,76,I,0,54,75,Xe,36.8,0.0106705,0.000142692,0.00239343,0.000136328,2026-04-15
53,76,I,0,54,75,Xe,37.2,0.0106289,0.000141667,0.00243537,0.000138553,2026-04-15
53,76,I,0,54,75,Xe,37.6,0.0105874,0.00014063,0.00247748,0.000140781,2026-04-15
53,76,I,0,54,75,Xe,38.0,0.0105458,0.00013958,0.00251975,0.000143012,2026-04-15
53,76,I,0,54,75,Xe,38.4,0.0105043,0.000138517,0.00256217,0.000145245,2026-04-15
53,76,I,0,54,75,Xe,38.8,0.0104628,0.000137441,0.00260474,0.000147481,2026-04-15
53,76,I,0,54,75,Xe,39.2,0.0104213,0.000136352,0.00264745,0.000149719,2026-04-15
53,76,I,0,54,75,Xe,39.6,0.0103798,0.00013525,0.00269031,0.000151959,2026-04-15
53,76,I,0,54,75,Xe,40.0,0.0103384,0.000134134,0.0027333,0.0001542,2026-04-15
53,76,I,0,54,75,Xe,40.4,0.0102969,0.000133006,0.00277642,0.000156443,2026-04-15
53,76,I,0,54,75,Xe,40.8,0.0102555,0.000131864,0.00281968,0.000158687,2026-04-15
53,76,I,0,54,75,Xe,41.2,0.0102141,0.000130708,0.00286306,0.000160931,2026-04-15
53,76,I,0,54,75,Xe,41.6,0.0101727,0.000129539,0.00290655,0.000163176,2026-04-15
53,76,I,0,54,75,Xe,42.0,0.0101313,0.000128357,0.00295017,0.000165421,2026-04-15
53,76,I,0,54,75,Xe,42.4,0.0100899,0.000127162,0.0029939,0.000167666,2026-04-15
53,76,I,0,54,75,Xe,42.8,0.0100485,0.000125953,0.00303773,0.00016991,2026-04-15
53,76,I,0,54,75,Xe,43.2,0.0100071,0.00012473,0.00308168,0.000172155,2026-04-15
53,76,I,0,54,75,Xe,43.6,0.00996572,0.000123494,0.00312572,0.000174398,2026-04-15
53,76,I,0,54,75,Xe,44.0,0.00992434,0.000122244,0.00316986,0.00017664,2026-04-15
53,76,I,0,54,75,Xe,44.4,0.00988295,0.000120981,0.0032141,0.000178882,2026-04-15
53,76,I,0,54,75,Xe,44.8,0.00984156,0.000119704,0.00325843,0.000181121,2026-04-15
53,76,I,0,54,75,Xe,45.2,0.00980016,0.000118413,0.00330284,0.00018336,2026-04-15
53,76,I,0,54,75,Xe,45.6,0.00975876,0.000117109,0.00334734,0.000185596,2026-04-15
53,76,I,0,54,75,Xe,46.0,0.00971735,0.000115791,0.00339192,0.00018783,2026-04-15
53,76,I,0,54,75,Xe,46.4,0.00967593,0.00011446,0.00343658,0.000190062,2026-04-15
53,76,I,0,54,75,Xe,46.8,0.0096345,0.000113115,0.00348131,0.000192291,2026-04-15
53,76,I,0,54,75,Xe,47.2,0.00959306,0.000111756,0.00352611,0.000194517,2026-04-15
53,76,I,0,54,75,Xe,47.6,0.00955161,0.000110383,0.00357098,0.000196741,2026-04-15
53,76,I,0,54,75,Xe,48.0,0.00951013,0.000108997,0.00361591,0.000198961,2026-04-15
53,76,I,0,54,75,Xe,48.4,0.00946865,0.000107597,0.00366091,0.000201178,2026-04-15
53,76,I,0,54,75,Xe,48.8,0.00942714,0.000106184,0.00370596,0.000203392,2026-04-15
53,76,I,0,54,75,Xe,49.2,0.00938562,0.000104757,0.00375107,0.000205602,2026-04-15
53,76,I,0,54,75,Xe,49.6,0.00934407,0.000103316,0.00379623,0.000207808,2026-04-15
53,76,I,0,54,75,Xe,50.0,0.0093025,0.000101862,0.00384144,0.00021001,2026-04-15
53,76,I,0,54,75,Xe,50.4,0.00926091,0.000100394,0.00388669,0.000212208,2026-04-15
53,76,I,0,54,75,Xe,50.8,0.0092193,9.89122e-05,0.00393199,0.000214401,2026-04-15
53,76,I,0,54,75,Xe,51.2,0.00917766,9.74172e-05,0.00397733,0.00021659,2026-04-15
53,76,I,0,54,75,Xe,51.6,0.00913599,9.59087e-05,0.00402271,0.000218774,2026-04-15
53,76,I,0,54,75,Xe,52.0,0.0090943,9.43867e-05,0.00406812,0.000220953,2026-04-15
53,76,I,0,54,75,Xe,52.4,0.00905257,9.28513e-05,0.00411357,0.000223127,2026-04-15
53,76,I,0,54,75,Xe,52.8,0.00901082,9.13025e-05,0.00415904,0.000225296,2026-04-15
53,76,I,0,54,75,Xe,53.2,0.00896903,8.97403e-05,0.00420454,0.00022746,2026-04-15
