p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
55,82,Cs,0,56,81,Ba,0.0,0.00353233,6.93317e-06,0.0,0.0,2026-04-15
55,82,Cs,0,56,81,Ba,1.0,0.00345874,6.78882e-06,9.99919e-08,3.43676e-10,2026-04-15
55,82,Cs,0,56,81,Ba,2.0,0.00342521,6.72379e-06,3.98202e-07,1.36834e-09,2026-04-15
55,82,Cs,0,56,81,Ba,3.0,0.00343171,6.73793e-06,8.91995e-07,3.06448e-09,2026-04-15
55,82,Cs,0,56,81,Ba,4.0,0.00343726,6.74948e-06,1.57876e-06,5.42269e-09,2026-04-15
55,82,Cs,0,56,81,Ba,5.0,0.00343977,6.75461e-06,2.4559e-06,8.43361e-09,2026-04-15
55,82,Cs,0,56,81,Ba,6.0,0.00344003,6.75501e-06,3.52084e-06,1.20879e-08,2026-04-15
55,82,Cs,0,56,81,Ba,7.0,0.00343877,6.75226e-06,4.77103e-06,1.63766e-08,2026-04-15
55,82,Cs,0,56,81,Ba,8.0,0.00343651,6.74742e-06,6.20395e-06,2.12903e-08,2026-04-15
55,82,Cs,0,56,81,Ba,9.0,0.00343356,6.74115e-06,7.81707e-06,2.68202e-08,2026-04-15
55,82,Cs,0,56,81,Ba,10.0,0.00343013,6.73388e-06,9.60789e-06,3.29571e-08,2026-04-15
55,82,Cs,0,56,81,Ba,11.0,0.00342635,6.72588e-06,1.15739e-05,3.96922e-08,2026-04-15
55,82,Cs,0,56,81,Ba,12.0,0.00342229,6.71732e-06,1.37128e-05,4.70168e-08,2026-04-15
55,82,Cs,0,56,81,Ba,13.0,0.00341805,6.70837e-06,1.6022e-05,5.49221e-08,2026-04-15
55,82,Cs,0,56,81,Ba,14.0,0.00341363,6.69906e-06,1.84991e-05,6.33992e-08,2026-04-15
55,82,Cs,0,56,81,Ba,15.0,0.0034091,6.68951e-06,2.11417e-05,7.24397e-08,2026-04-15
55,82,Cs,0,56,81,Ba,16.0,0.00340445,6.67973e-06,2.39476e-05,8.20351e-08,2026-04-15
55,82,Cs,0,56,81,Ba,17.0,0.00339971,6.66977e-06,2.69142e-05,9.21768e-08,2026-04-15
55,82,Cs,0,56,81,Ba,18.0,0.0033949,6.65966e-06,3.00392e-05,1.02856e-07,2026-04-15
55,82,Cs,0,56,81,Ba,19.0,0.00339002,6.64941e-06,3.33204e-05,1.14066e-07,2026-04-15
55,82,Cs,0,56,81,Ba,20.0,0.0033851,6.63908e-06,3.67555e-05,1.25796e-07,2026-04-15
55,82,Cs,0,56,81,Ba,21.0,0.00338011,6.62863e-06,4.03421e-05,1.3804e-07,2026-04-15
55,82,Cs,0,56,81,Ba,22.0,0.0033751,6.61812e-06,4.4078e-05,1.5079e-07,2026-04-15
55,82,Cs,0,56,81,Ba,23.0,0.00337006,6.60755e-06,4.7961e-05,1.64036e-07,2026-04-15
55,82,Cs,0,56,81,Ba,24.0,0.00336498,6.59693e-06,5.19887e-05,1.77772e-07,2026-04-15
55,82,Cs,0,56,81,Ba,25.0,0.00335988,6.58626e-06,5.61591e-05,1.91988e-07,2026-04-15
55,82,Cs,0,56,81,Ba,26.0,0.00335477,6.57555e-06,6.04699e-05,2.06677e-07,2026-04-15
55,82,Cs,0,56,81,Ba,27.0,0.00334963,6.56481e-06,6.49189e-05,2.21833e-07,2026-04-15
55,82,Cs,0,56,81,Ba,28.0,0.00334449,6.55406e-06,6.95041e-05,2.37447e-07,2026-04-15
55,82,Cs,0,56,81,Ba,29.0,0.00333933,6.54328e-06,7.42232e-05,2.5351e-07,2026-04-15
55,82,Cs,0,56,81,Ba,30.0,0.00333416,6.53248e-06,7.90742e-05,2.70017e-07,2026-04-15
55,82,Cs,0,56,81,Ba,31.0,0.00332899,6.52171e-06,8.40548e-05,2.86959e-07,2026-04-15
55,82,Cs,0,56,81,Ba,32.0,0.00332381,6.51089e-06,8.91632e-05,3.04328e-07,2026-04-15
55,82,Cs,0,56,81,Ba,33.0,0.00331864,6.5001e-06,9.43972e-05,3.22119e-07,2026-04-15
55,82,Cs,0,56,81,Ba,34.0,0.00331346,6.48931e-06,9.97548e-05,3.40322e-07,2026-04-15
55,82,Cs,0,56,81,Ba,35.0,0.00330829,6.47852e-06,0.000105234,3.58932e-07,2026-04-15
55,82,Cs,0,56,81,Ba,36.0,0.00330311,6.46774e-06,0.000110832,3.77939e-07,2026-04-15
55,82,Cs,0,56,81,Ba,37.0,0.00329795,6.45698e-06,0.000116548,3.9734e-07,2026-04-15
55,82,Cs,0,56,81,Ba,38.0,0.00329278,6.44622e-06,0.000122381,4.17125e-07,2026-04-15
55,82,Cs,0,56,81,Ba,39.0,0.00328762,6.43548e-06,0.000128326,4.37287e-07,2026-04-15
55,82,Cs,0,56,81,Ba,40.0,0.00328247,6.42477e-06,0.000134382,4.57819e-07,2026-04-15
55,82,Cs,0,56,81,Ba,41.0,0.00327733,6.41407e-06,0.000140549,4.78717e-07,2026-04-15
55,82,Cs,0,56,81,Ba,42.0,0.00327219,6.40338e-06,0.000146824,4.99971e-07,2026-04-15
