p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
58,86,Ce,0,59,85,Pr,0.0,0.00976163,3.6012e-05,0.0,0.0,2026-04-15
58,86,Ce,0,59,85,Pr,0.6,0.00944653,3.55276e-05,8.79016e-08,3.71269e-10,2026-04-15
58,86,Ce,0,59,85,Pr,1.2,0.0092566,3.52213e-05,3.51108e-07,1.48269e-09,2026-04-15
58,86,Ce,0,59,85,Pr,1.8,0.00919183,3.50713e-05,7.89135e-07,3.33263e-09,2026-04-15
58,86,Ce,0,59,85,Pr,2.4,0.00915613,3.49509e-05,1.40137e-06,5.91857e-09,2026-04-15
58,86,Ce,0,59,85,Pr,3.0,0.00912656,3.48383e-05,2.18725e-06,9.23834e-09,2026-04-15
58,86,Ce,0,59,85,Pr,3.6,0.00909894,3.47281e-05,3.14612e-06,1.3289e-08,2026-04-15
58,86,Ce,0,59,85,Pr,4.2,0.00907182,3.46185e-05,4.27749e-06,1.8069e-08,2026-04-15
58,86,Ce,0,59,85,Pr,4.8,0.00904469,3.45089e-05,5.58071e-06,2.35754e-08,2026-04-15
58,86,Ce,0,59,85,Pr,5.4,0.00901742,3.4399e-05,7.05523e-06,2.98062e-08,2026-04-15
58,86,Ce,0,59,85,Pr,6.0,0.00898992,3.4289e-05,8.70049e-06,3.67592e-08,2026-04-15
58,86,Ce,0,59,85,Pr,6.6,0.00896223,3.41786e-05,1.05158e-05,4.44315e-08,2026-04-15
58,86,Ce,0,59,85,Pr,7.2,0.00893437,3.40681e-05,1.25008e-05,5.28215e-08,2026-04-15
58,86,Ce,0,59,85,Pr,7.8,0.00890638,3.39575e-05,1.46547e-05,6.19263e-08,2026-04-15
58,86,Ce,0,59,85,Pr,8.4,0.00887823,3.38467e-05,1.69769e-05,7.17438e-08,2026-04-15
58,86,Ce,0,59,85,Pr,9.0,0.00884999,3.37357e-05,1.9467e-05,8.22718e-08,2026-04-15
58,86,Ce,0,59,85,Pr,9.6,0.00882164,3.36247e-05,2.21243e-05,9.35077e-08,2026-04-15
58,86,Ce,0,59,85,Pr,10.0,0.00880271,3.35507e-05,2.39885e-05,1.01391e-07,2026-04-15
58,86,Ce,0,59,85,Pr,11.0,0.00875522,3.33654e-05,2.89717e-05,1.22465e-07,2026-04-15
58,86,Ce,0,59,85,Pr,12.0,0.00870755,3.31799e-05,3.44143e-05,1.45486e-07,2026-04-15
58,86,Ce,0,59,85,Pr,13.0,0.00865973,3.29943e-05,4.03131e-05,1.7044e-07,2026-04-15
58,86,Ce,0,59,85,Pr,14.0,0.00861178,3.28086e-05,4.66658e-05,1.97318e-07,2026-04-15
58,86,Ce,0,59,85,Pr,15.0,0.00856372,3.26229e-05,5.34697e-05,2.2611e-07,2026-04-15
58,86,Ce,0,59,85,Pr,16.0,0.00851555,3.24371e-05,6.07218e-05,2.56804e-07,2026-04-15
