p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
59,85,Pr,0,60,84,Nd,0.0,0.000186835,6.97854e-07,0.0,0.0,2026-04-15
59,85,Pr,0,60,84,Nd,0.8,0.000187179,6.99441e-07,4.78645e-10,1.7313e-12,2026-04-15
59,85,Pr,0,60,84,Nd,1.6,0.000187535,7.01027e-07,1.86048e-09,6.6538e-12,2026-04-15
59,85,Pr,0,60,84,Nd,2.4,0.000187902,7.02614e-07,4.14549e-09,1.47679e-11,2026-04-15
59,85,Pr,0,60,84,Nd,3.2,0.000188279,7.042e-07,7.33365e-09,2.60733e-11,2026-04-15
59,85,Pr,0,60,84,Nd,4.0,0.000188666,7.05787e-07,1.1425e-08,4.05702e-11,2026-04-15
59,85,Pr,0,60,84,Nd,4.8,0.000189062,7.07374e-07,1.64162e-08,5.82585e-11,2026-04-15
59,85,Pr,0,60,84,Nd,5.6,0.000189468,7.08962e-07,2.23089e-08,7.91382e-11,2026-04-15
59,85,Pr,0,60,84,Nd,6.4,0.000189876,7.10549e-07,2.91014e-08,1.03209e-10,2026-04-15
59,85,Pr,0,60,84,Nd,7.2,0.000190275,7.12137e-07,3.67925e-08,1.30472e-10,2026-04-15
59,85,Pr,0,60,84,Nd,8.0,0.000190674,7.13724e-07,4.53831e-08,1.60926e-10,2026-04-15
59,85,Pr,0,60,84,Nd,8.8,0.000191071,7.15312e-07,5.48701e-08,1.94571e-10,2026-04-15
59,85,Pr,0,60,84,Nd,9.6,0.000191467,7.169e-07,6.52547e-08,2.31408e-10,2026-04-15
59,85,Pr,0,60,84,Nd,10.0,0.000191665,7.17694e-07,7.07836e-08,2.51023e-10,2026-04-15
59,85,Pr,0,60,84,Nd,11.0,0.000192159,7.19679e-07,8.55834e-08,3.03552e-10,2026-04-15
59,85,Pr,0,60,84,Nd,12.0,0.000192651,7.21665e-07,1.01783e-07,3.61067e-10,2026-04-15
59,85,Pr,0,60,84,Nd,13.0,0.000193144,7.2365e-07,1.19378e-07,4.23568e-10,2026-04-15
59,85,Pr,0,60,84,Nd,14.0,0.000193635,7.25636e-07,1.3837e-07,4.91056e-10,2026-04-15
59,85,Pr,0,60,84,Nd,15.0,0.000194127,7.27622e-07,1.5875e-07,5.6353e-10,2026-04-15
59,85,Pr,0,60,84,Nd,16.0,0.000194618,7.29609e-07,1.80523e-07,6.40991e-10,2026-04-15
59,85,Pr,0,60,84,Nd,17.0,0.000195108,7.31595e-07,2.03684e-07,7.23439e-10,2026-04-15
59,85,Pr,0,60,84,Nd,18.0,0.000195598,7.33582e-07,2.28236e-07,8.10872e-10,2026-04-15
59,85,Pr,0,60,84,Nd,19.0,0.000196088,7.35568e-07,2.54125e-07,9.0301e-10,2026-04-15
59,85,Pr,0,60,84,Nd,20.0,0.000196578,7.37555e-07,2.81391e-07,1.00008e-09,2026-04-15
59,85,Pr,0,60,84,Nd,21.0,0.000197067,7.39542e-07,3.1003e-07,1.10207e-09,2026-04-15
59,85,Pr,0,60,84,Nd,22.0,0.000197557,7.41529e-07,3.40039e-07,1.209e-09,2026-04-15
59,85,Pr,0,60,84,Nd,23.0,0.000198046,7.43517e-07,3.71418e-07,1.32086e-09,2026-04-15
59,85,Pr,0,60,84,Nd,24.0,0.000198534,7.45504e-07,4.04168e-07,1.43764e-09,2026-04-15
59,85,Pr,0,60,84,Nd,25.0,0.000199023,7.47492e-07,4.38284e-07,1.55936e-09,2026-04-15
59,85,Pr,0,60,84,Nd,26.0,0.000199511,7.4948e-07,4.73768e-07,1.68601e-09,2026-04-15
59,85,Pr,0,60,84,Nd,27.0,0.000199999,7.51468e-07,5.10616e-07,1.81758e-09,2026-04-15
59,85,Pr,0,60,84,Nd,28.0,0.000200488,7.5346e-07,5.4878e-07,1.9538e-09,2026-04-15
59,85,Pr,0,60,84,Nd,29.0,0.000200977,7.55453e-07,5.8829e-07,2.0949e-09,2026-04-15
59,85,Pr,0,60,84,Nd,30.0,0.000201466,7.57447e-07,6.29151e-07,2.24087e-09,2026-04-15
59,85,Pr,0,60,84,Nd,31.0,0.000201955,7.59441e-07,6.7136e-07,2.39171e-09,2026-04-15
59,85,Pr,0,60,84,Nd,32.0,0.000202444,7.61437e-07,7.14917e-07,2.54742e-09,2026-04-15
59,85,Pr,0,60,84,Nd,33.0,0.000202933,7.63434e-07,7.59819e-07,2.70801e-09,2026-04-15
59,85,Pr,0,60,84,Nd,34.0,0.000203422,7.65431e-07,8.06067e-07,2.87347e-09,2026-04-15
59,85,Pr,0,60,84,Nd,35.0,0.000203911,7.67429e-07,8.53656e-07,3.0438e-09,2026-04-15
59,85,Pr,0,60,84,Nd,36.0,0.0002044,7.69429e-07,9.02584e-07,3.21901e-09,2026-04-15
59,85,Pr,0,60,84,Nd,37.0,0.00020489,7.71431e-07,9.52801e-07,3.3988e-09,2026-04-15
59,85,Pr,0,60,84,Nd,38.0,0.000205379,7.73435e-07,1.00435e-06,3.58341e-09,2026-04-15
59,85,Pr,0,60,84,Nd,39.0,0.000205869,7.75441e-07,1.05722e-06,3.77284e-09,2026-04-15
59,85,Pr,0,60,84,Nd,40.0,0.00020636,7.77448e-07,1.11142e-06,3.96708e-09,2026-04-15
59,85,Pr,0,60,84,Nd,41.0,0.00020685,7.79456e-07,1.16694e-06,4.16614e-09,2026-04-15
59,85,Pr,0,60,84,Nd,42.0,0.000207341,7.81466e-07,1.22378e-06,4.37002e-09,2026-04-15
59,85,Pr,0,60,84,Nd,43.0,0.000207832,7.83477e-07,1.28194e-06,4.57871e-09,2026-04-15
59,85,Pr,0,60,84,Nd,44.0,0.000208323,7.85489e-07,1.34142e-06,4.79222e-09,2026-04-15
59,85,Pr,0,60,84,Nd,45.0,0.000208814,7.87503e-07,1.40222e-06,5.01054e-09,2026-04-15
59,85,Pr,0,60,84,Nd,46.0,0.000209306,7.89519e-07,1.46428e-06,5.23339e-09,2026-04-15
59,85,Pr,0,60,84,Nd,47.0,0.000209798,7.91537e-07,1.52764e-06,5.461e-09,2026-04-15
59,85,Pr,0,60,84,Nd,48.0,0.00021029,7.93557e-07,1.59231e-06,5.69337e-09,2026-04-15
59,85,Pr,0,60,84,Nd,49.0,0.000210782,7.95579e-07,1.65828e-06,5.9305e-09,2026-04-15
59,85,Pr,0,60,84,Nd,50.0,0.000211275,7.97602e-07,1.72555e-06,6.17238e-09,2026-04-15
59,85,Pr,0,60,84,Nd,51.0,0.000211768,7.99627e-07,1.79412e-06,6.41903e-09,2026-04-15
59,85,Pr,0,60,84,Nd,52.0,0.000212261,8.01653e-07,1.86398e-06,6.67043e-09,2026-04-15
59,85,Pr,0,60,84,Nd,53.0,0.000212755,8.03681e-07,1.93513e-06,6.92659e-09,2026-04-15
59,85,Pr,0,60,84,Nd,54.0,0.000213249,8.05711e-07,2.00759e-06,7.18751e-09,2026-04-15
59,85,Pr,0,60,84,Nd,55.0,0.000213743,8.07742e-07,2.08128e-06,7.4529e-09,2026-04-15
59,85,Pr,0,60,84,Nd,56.0,0.000214238,8.09776e-07,2.15626e-06,7.72299e-09,2026-04-15
59,85,Pr,0,60,84,Nd,57.0,0.000214732,8.11811e-07,2.23251e-06,7.99779e-09,2026-04-15
59,85,Pr,0,60,84,Nd,58.0,0.000215227,8.13847e-07,2.31004e-06,8.27729e-09,2026-04-15
59,85,Pr,0,60,84,Nd,59.0,0.000215723,8.15886e-07,2.38884e-06,8.56149e-09,2026-04-15
59,85,Pr,0,60,84,Nd,60.0,0.000216218,8.17926e-07,2.46892e-06,8.85039e-09,2026-04-15
59,85,Pr,0,60,84,Nd,61.0,0.000216714,8.19968e-07,2.55028e-06,9.14399e-09,2026-04-15
59,85,Pr,0,60,84,Nd,62.0,0.00021721,8.22011e-07,2.6329e-06,9.4423e-09,2026-04-15
59,85,Pr,0,60,84,Nd,63.0,0.000217707,8.24057e-07,2.7168e-06,9.74531e-09,2026-04-15
59,85,Pr,0,60,84,Nd,64.0,0.000218203,8.26103e-07,2.80191e-06,1.00527e-08,2026-04-15
59,85,Pr,0,60,84,Nd,65.0,0.0002187,8.28151e-07,2.88828e-06,1.03648e-08,2026-04-15
59,85,Pr,0,60,84,Nd,66.0,0.000219197,8.302e-07,2.97591e-06,1.06815e-08,2026-04-15
59,85,Pr,0,60,84,Nd,67.0,0.000219695,8.32251e-07,3.06479e-06,1.10029e-08,2026-04-15
59,85,Pr,0,60,84,Nd,68.0,0.000220192,8.34303e-07,3.15492e-06,1.13288e-08,2026-04-15
59,85,Pr,0,60,84,Nd,69.0,0.00022069,8.36357e-07,3.24631e-06,1.16595e-08,2026-04-15
59,85,Pr,0,60,84,Nd,70.0,0.000221188,8.38413e-07,3.33894e-06,1.19948e-08,2026-04-15
59,85,Pr,0,60,84,Nd,71.0,0.000221687,8.4047e-07,3.43282e-06,1.23347e-08,2026-04-15
59,85,Pr,0,60,84,Nd,72.0,0.000222185,8.42529e-07,3.52795e-06,1.26793e-08,2026-04-15
59,85,Pr,0,60,84,Nd,73.0,0.000222684,8.44589e-07,3.62427e-06,1.30282e-08,2026-04-15
59,85,Pr,0,60,84,Nd,74.0,0.000223183,8.4665e-07,3.72183e-06,1.33817e-08,2026-04-15
59,85,Pr,0,60,84,Nd,75.0,0.000223682,8.48713e-07,3.82062e-06,1.37398e-08,2026-04-15
59,85,Pr,0,60,84,Nd,76.0,0.000224182,8.50777e-07,3.92064e-06,1.41025e-08,2026-04-15
59,85,Pr,0,60,84,Nd,77.0,0.000224681,8.52843e-07,4.02189e-06,1.44698e-08,2026-04-15
59,85,Pr,0,60,84,Nd,78.0,0.000225181,8.5491e-07,4.12437e-06,1.48416e-08,2026-04-15
59,85,Pr,0,60,84,Nd,79.0,0.000225681,8.56979e-07,4.22808e-06,1.52181e-08,2026-04-15
59,85,Pr,0,60,84,Nd,80.0,0.000226182,8.59049e-07,4.333e-06,1.55991e-08,2026-04-15
59,85,Pr,0,60,84,Nd,81.0,0.000226682,8.61121e-07,4.43916e-06,1.59847e-08,2026-04-15
59,85,Pr,0,60,84,Nd,82.0,0.000227183,8.63193e-07,4.54648e-06,1.63747e-08,2026-04-15
59,85,Pr,0,60,84,Nd,83.0,0.000227684,8.65267e-07,4.65502e-06,1.67691e-08,2026-04-15
59,85,Pr,0,60,84,Nd,84.0,0.000228185,8.67342e-07,4.76476e-06,1.71681e-08,2026-04-15
59,85,Pr,0,60,84,Nd,85.0,0.000228686,8.69418e-07,4.87572e-06,1.75716e-08,2026-04-15
59,85,Pr,0,60,84,Nd,86.0,0.000229188,8.71496e-07,4.98788e-06,1.79796e-08,2026-04-15
59,85,Pr,0,60,84,Nd,87.0,0.00022969,8.73575e-07,5.10124e-06,1.83922e-08,2026-04-15
59,85,Pr,0,60,84,Nd,88.0,0.000230191,8.75655e-07,5.21581e-06,1.88093e-08,2026-04-15
59,85,Pr,0,60,84,Nd,89.0,0.000230693,8.77737e-07,5.33157e-06,1.92309e-08,2026-04-15
59,85,Pr,0,60,84,Nd,90.0,0.000231196,8.7982e-07,5.44854e-06,1.96571e-08,2026-04-15
59,85,Pr,0,60,84,Nd,91.0,0.000231698,8.81903e-07,5.56666e-06,2.00874e-08,2026-04-15
59,85,Pr,0,60,84,Nd,92.0,0.0002322,8.83988e-07,5.68596e-06,2.05223e-08,2026-04-15
59,85,Pr,0,60,84,Nd,93.0,0.000232703,8.86074e-07,5.80645e-06,2.09616e-08,2026-04-15
59,85,Pr,0,60,84,Nd,94.0,0.000233205,8.88161e-07,5.92813e-06,2.14054e-08,2026-04-15
59,85,Pr,0,60,84,Nd,95.0,0.000233708,8.90249e-07,6.05099e-06,2.18537e-08,2026-04-15
59,85,Pr,0,60,84,Nd,96.0,0.000234211,8.92338e-07,6.17503e-06,2.23064e-08,2026-04-15
59,85,Pr,0,60,84,Nd,97.0,0.000234714,8.94429e-07,6.30026e-06,2.27636e-08,2026-04-15
59,85,Pr,0,60,84,Nd,98.0,0.000235218,8.9652e-07,6.42666e-06,2.32253e-08,2026-04-15
59,85,Pr,0,60,84,Nd,99.0,0.000235721,8.98613e-07,6.55423e-06,2.36914e-08,2026-04-15
59,85,Pr,0,60,84,Nd,100.0,0.000236225,9.00706e-07,6.68293e-06,2.41617e-08,2026-04-15
59,85,Pr,0,60,84,Nd,109.0,0.000240759,9.19584e-07,7.89345e-06,2.8593e-08,2026-04-15
59,85,Pr,0,60,84,Nd,118.0,0.000245299,9.38529e-07,9.19637e-06,3.33765e-08,2026-04-15
59,85,Pr,0,60,84,Nd,127.0,0.00024984,9.57527e-07,1.05898e-05,3.85074e-08,2026-04-15
59,85,Pr,0,60,84,Nd,136.0,0.000254381,9.76565e-07,1.20721e-05,4.39811e-08,2026-04-15
59,85,Pr,0,60,84,Nd,145.0,0.000258917,9.9563e-07,1.36412e-05,4.97928e-08,2026-04-15
59,85,Pr,0,60,84,Nd,154.0,0.000263447,1.01471e-06,1.52954e-05,5.59378e-08,2026-04-15
59,85,Pr,0,60,84,Nd,163.0,0.000267969,1.03381e-06,1.7033e-05,6.24113e-08,2026-04-15
59,85,Pr,0,60,84,Nd,172.0,0.00027248,1.0529e-06,1.88522e-05,6.92087e-08,2026-04-15
59,85,Pr,0,60,84,Nd,181.0,0.000276977,1.07199e-06,2.07511e-05,7.6325e-08,2026-04-15
59,85,Pr,0,60,84,Nd,190.0,0.00028146,1.09106e-06,2.27279e-05,8.37554e-08,2026-04-15
59,85,Pr,0,60,84,Nd,199.0,0.000285926,1.1101e-06,2.47811e-05,9.14953e-08,2026-04-15
59,85,Pr,0,60,84,Nd,208.0,0.000290374,1.12911e-06,2.69089e-05,9.95402e-08,2026-04-15
59,85,Pr,0,60,84,Nd,217.0,0.000294803,1.14808e-06,2.91093e-05,1.07884e-07,2026-04-15
59,85,Pr,0,60,84,Nd,226.0,0.00029921,1.16701e-06,3.1381e-05,1.16524e-07,2026-04-15
59,85,Pr,0,60,84,Nd,235.0,0.000303595,1.18588e-06,3.37219e-05,1.25454e-07,2026-04-15
59,85,Pr,0,60,84,Nd,244.0,0.000307955,1.20469e-06,3.61306e-05,1.3467e-07,2026-04-15
59,85,Pr,0,60,84,Nd,253.0,0.000312292,1.22344e-06,3.86053e-05,1.44166e-07,2026-04-15
59,85,Pr,0,60,84,Nd,262.0,0.000316602,1.24211e-06,4.11149e-05,1.53938e-07,2026-04-15
59,85,Pr,0,60,84,Nd,271.0,0.000320885,1.26071e-06,4.37155e-05,1.63981e-07,2026-04-15
59,85,Pr,0,60,84,Nd,280.0,0.000325139,1.27923e-06,4.63772e-05,1.74291e-07,2026-04-15
59,85,Pr,0,60,84,Nd,289.0,0.000329364,1.29766e-06,4.90983e-05,1.84862e-07,2026-04-15
59,85,Pr,0,60,84,Nd,298.0,0.000333559,1.31599e-06,5.18774e-05,1.9569e-07,2026-04-15
59,85,Pr,0,60,84,Nd,307.0,0.000337723,1.33423e-06,5.47126e-05,2.06769e-07,2026-04-15
59,85,Pr,0,60,84,Nd,316.0,0.000341856,1.35236e-06,5.76024e-05,2.18096e-07,2026-04-15
59,85,Pr,0,60,84,Nd,325.0,0.000345956,1.37039e-06,6.04832e-05,2.29665e-07,2026-04-15
59,85,Pr,0,60,84,Nd,334.0,0.000350022,1.38831e-06,6.34761e-05,2.41472e-07,2026-04-15
59,85,Pr,0,60,84,Nd,343.0,0.000354054,1.40611e-06,6.65092e-05,2.53511e-07,2026-04-15
59,85,Pr,0,60,84,Nd,352.0,0.000358052,1.42378e-06,6.96005e-05,2.65778e-07,2026-04-15
59,85,Pr,0,60,84,Nd,361.0,0.000362015,1.44134e-06,7.27388e-05,2.78268e-07,2026-04-15
59,85,Pr,0,60,84,Nd,370.0,0.000365941,1.45876e-06,7.59225e-05,2.90976e-07,2026-04-15
59,85,Pr,0,60,84,Nd,379.0,0.000369832,1.47606e-06,7.91503e-05,3.03899e-07,2026-04-15
59,85,Pr,0,60,84,Nd,388.0,0.000373684,1.49321e-06,8.24206e-05,3.17029e-07,2026-04-15
59,85,Pr,0,60,84,Nd,397.0,0.0003775,1.51022e-06,8.57319e-05,3.30364e-07,2026-04-15
59,85,Pr,0,60,84,Nd,406.0,0.000381278,1.52709e-06,8.90829e-05,3.43898e-07,2026-04-15
59,85,Pr,0,60,84,Nd,415.0,0.000385018,1.54381e-06,9.2472e-05,3.57626e-07,2026-04-15
59,85,Pr,0,60,84,Nd,424.0,0.00038872,1.56038e-06,9.58978e-05,3.71544e-07,2026-04-15
59,85,Pr,0,60,84,Nd,433.0,0.000392382,1.57679e-06,9.9359e-05,3.85647e-07,2026-04-15
59,85,Pr,0,60,84,Nd,442.0,0.000396005,1.59304e-06,0.000102854,3.99929e-07,2026-04-15
59,85,Pr,0,60,84,Nd,451.0,0.000399589,1.60913e-06,0.000106382,4.14388e-07,2026-04-15
59,85,Pr,0,60,84,Nd,460.0,0.000403133,1.62505e-06,0.00010994,4.29017e-07,2026-04-15
59,85,Pr,0,60,84,Nd,469.0,0.000406638,1.64081e-06,0.000113529,4.43811e-07,2026-04-15
59,85,Pr,0,60,84,Nd,478.0,0.000410103,1.6564e-06,0.000117146,4.58767e-07,2026-04-15
59,85,Pr,0,60,84,Nd,487.0,0.000413528,1.67181e-06,0.000120791,4.73881e-07,2026-04-15
59,85,Pr,0,60,84,Nd,496.0,0.000416912,1.68704e-06,0.000124461,4.89143e-07,2026-04-15
59,85,Pr,0,60,84,Nd,505.0,0.000420256,1.70209e-06,0.000128155,5.04554e-07,2026-04-15
59,85,Pr,0,60,84,Nd,514.0,0.00042356,1.71696e-06,0.000131874,5.2011e-07,2026-04-15
59,85,Pr,0,60,84,Nd,523.0,0.000426823,1.73164e-06,0.000135614,5.35801e-07,2026-04-15
59,85,Pr,0,60,84,Nd,532.0,0.000430046,1.74614e-06,0.000139374,5.51624e-07,2026-04-15
59,85,Pr,0,60,84,Nd,541.0,0.000433228,1.76044e-06,0.000143155,5.67579e-07,2026-04-15
59,85,Pr,0,60,84,Nd,550.0,0.00043637,1.77455e-06,0.000146954,5.83653e-07,2026-04-15
59,85,Pr,0,60,84,Nd,559.0,0.000439472,1.78846e-06,0.00015077,5.99848e-07,2026-04-15
59,85,Pr,0,60,84,Nd,568.0,0.000442534,1.80217e-06,0.000154603,6.1616e-07,2026-04-15
59,85,Pr,0,60,84,Nd,577.0,0.000445556,1.81569e-06,0.00015845,6.32579e-07,2026-04-15
59,85,Pr,0,60,84,Nd,586.0,0.000448537,1.829e-06,0.000162311,6.49106e-07,2026-04-15
59,85,Pr,0,60,84,Nd,595.0,0.00045148,1.8421e-06,0.000166185,6.6573e-07,2026-04-15
59,85,Pr,0,60,84,Nd,604.0,0.000454382,1.855e-06,0.00017007,6.82452e-07,2026-04-15
59,85,Pr,0,60,84,Nd,613.0,0.000457246,1.86769e-06,0.000173966,6.99265e-07,2026-04-15
59,85,Pr,0,60,84,Nd,622.0,0.00046007,1.88016e-06,0.000177872,7.16169e-07,2026-04-15
59,85,Pr,0,60,84,Nd,631.0,0.000462856,1.89243e-06,0.000181785,7.3315e-07,2026-04-15
59,85,Pr,0,60,84,Nd,640.0,0.000465603,1.90447e-06,0.000185706,7.5021e-07,2026-04-15
59,85,Pr,0,60,84,Nd,649.0,0.000468311,1.9163e-06,0.000189635,7.67346e-07,2026-04-15
59,85,Pr,0,60,84,Nd,658.0,0.000470982,1.92791e-06,0.00019357,7.84549e-07,2026-04-15
59,85,Pr,0,60,84,Nd,667.0,0.000473617,1.93931e-06,0.00019751,8.01818e-07,2026-04-15
59,85,Pr,0,60,84,Nd,676.0,0.000476212,1.95047e-06,0.000201454,8.19148e-07,2026-04-15
59,85,Pr,0,60,84,Nd,685.0,0.000478772,1.96142e-06,0.000205401,8.36532e-07,2026-04-15
59,85,Pr,0,60,84,Nd,694.0,0.000481296,1.97214e-06,0.000209351,8.53968e-07,2026-04-15
59,85,Pr,0,60,84,Nd,703.0,0.000483783,1.98263e-06,0.000213303,8.71451e-07,2026-04-15
59,85,Pr,0,60,84,Nd,712.0,0.000486236,1.9929e-06,0.000217256,8.88976e-07,2026-04-15
59,85,Pr,0,60,84,Nd,721.0,0.000488653,2.00293e-06,0.00022121,9.06538e-07,2026-04-15
59,85,Pr,0,60,84,Nd,730.0,0.000491036,2.01273e-06,0.000225164,9.24134e-07,2026-04-15
59,85,Pr,0,60,84,Nd,739.0,0.000493386,2.02231e-06,0.000229118,9.41761e-07,2026-04-15
59,85,Pr,0,60,84,Nd,748.0,0.000495702,2.03165e-06,0.000233072,9.59415e-07,2026-04-15
59,85,Pr,0,60,84,Nd,757.0,0.000497985,2.04075e-06,0.000237023,9.77087e-07,2026-04-15
59,85,Pr,0,60,84,Nd,766.0,0.000500237,2.04962e-06,0.000240971,9.94777e-07,2026-04-15
59,85,Pr,0,60,84,Nd,775.0,0.000502457,2.05826e-06,0.000244915,1.01248e-06,2026-04-15
59,85,Pr,0,60,84,Nd,784.0,0.000504647,2.06666e-06,0.000248852,1.03019e-06,2026-04-15
59,85,Pr,0,60,84,Nd,793.0,0.000506806,2.07481e-06,0.000252776,1.0479e-06,2026-04-15
59,85,Pr,0,60,84,Nd,802.0,0.000508936,2.08274e-06,0.000256677,1.06562e-06,2026-04-15
59,85,Pr,0,60,84,Nd,811.0,0.000511036,2.09042e-06,0.00026066,1.08334e-06,2026-04-15
59,85,Pr,0,60,84,Nd,820.0,0.000513098,2.09786e-06,0.000243893,1.101e-06,2026-04-15
59,85,Pr,0,60,84,Nd,829.0,0.000515102,2.10506e-06,0.000247961,1.11869e-06,2026-04-15
59,85,Pr,0,60,84,Nd,838.0,0.000517051,2.11202e-06,0.000252031,1.13637e-06,2026-04-15
59,85,Pr,0,60,84,Nd,847.0,0.000518943,2.11874e-06,0.000256104,1.15402e-06,2026-04-15
59,85,Pr,0,60,84,Nd,856.0,0.000520779,2.12521e-06,0.000260176,1.17165e-06,2026-04-15
59,85,Pr,0,60,84,Nd,865.0,0.000522558,2.13145e-06,0.000264248,1.18925e-06,2026-04-15
59,85,Pr,0,60,84,Nd,874.0,0.000524279,2.13743e-06,0.00026832,1.20682e-06,2026-04-15
59,85,Pr,0,60,84,Nd,883.0,0.000525942,2.14318e-06,0.000272389,1.22436e-06,2026-04-15
59,85,Pr,0,60,84,Nd,892.0,0.000527549,2.14868e-06,0.000276455,1.24185e-06,2026-04-15
59,85,Pr,0,60,84,Nd,901.0,0.000529098,2.15394e-06,0.000280518,1.25929e-06,2026-04-15
59,85,Pr,0,60,84,Nd,910.0,0.000530589,2.15895e-06,0.000284577,1.27669e-06,2026-04-15
59,85,Pr,0,60,84,Nd,919.0,0.000532021,2.16372e-06,0.000288521,1.29404e-06,2026-04-15
59,85,Pr,0,60,84,Nd,928.0,0.000533396,2.16825e-06,0.000292558,1.31133e-06,2026-04-15
59,85,Pr,0,60,84,Nd,937.0,0.000534711,2.17253e-06,0.0002966,1.32857e-06,2026-04-15
59,85,Pr,0,60,84,Nd,946.0,0.000535969,2.17657e-06,0.000300634,1.34573e-06,2026-04-15
59,85,Pr,0,60,84,Nd,955.0,0.000537168,2.18036e-06,0.000304659,1.36284e-06,2026-04-15
59,85,Pr,0,60,84,Nd,964.0,0.000538308,2.18391e-06,0.000308676,1.37987e-06,2026-04-15
59,85,Pr,0,60,84,Nd,973.0,0.000539388,2.18722e-06,0.000312682,1.39682e-06,2026-04-15
59,85,Pr,0,60,84,Nd,982.0,0.00054041,2.19028e-06,0.000316678,1.4137e-06,2026-04-15
59,85,Pr,0,60,84,Nd,991.0,0.000541374,2.1931e-06,0.000320662,1.4305e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1000.0,0.000542277,2.19568e-06,0.000324634,1.44721e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1009.0,0.000543122,2.19801e-06,0.000328593,1.46383e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1018.0,0.000543906,2.20011e-06,0.000332538,1.48036e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1027.0,0.000544632,2.20196e-06,0.000336469,1.4968e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1036.0,0.000545298,2.20357e-06,0.000340383,1.51313e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1045.0,0.000545906,2.20494e-06,0.000344282,1.52937e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1054.0,0.000546453,2.20608e-06,0.000348164,1.5455e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1063.0,0.000546942,2.20697e-06,0.000352028,1.56151e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1072.0,0.000547371,2.20764e-06,0.000355873,1.57742e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1081.0,0.000547741,2.20806e-06,0.000359699,1.5932e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1090.0,0.000548051,2.20825e-06,0.000363506,1.60887e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1099.0,0.000548303,2.2082e-06,0.000367292,1.62442e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1108.0,0.000548494,2.20792e-06,0.000371057,1.63984e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1117.0,0.000548627,2.2074e-06,0.000374799,1.65513e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1126.0,0.0005487,2.20665e-06,0.000378519,1.67029e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1135.0,0.000548716,2.20568e-06,0.000382215,1.68532e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1144.0,0.000548671,2.20446e-06,0.000385887,1.70021e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1153.0,0.000548568,2.20303e-06,0.000389534,1.71495e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1162.0,0.000548407,2.20136e-06,0.000393156,1.72955e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1171.0,0.000548186,2.19947e-06,0.000396751,1.74401e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1180.0,0.000547907,2.19735e-06,0.000400319,1.75831e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1189.0,0.00054757,2.19501e-06,0.000403859,1.77246e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1198.0,0.000547175,2.19245e-06,0.000407372,1.78646e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1207.0,0.000546722,2.18967e-06,0.000410854,1.8003e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1216.0,0.000546211,2.18667e-06,0.000414308,1.81398e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1225.0,0.000545641,2.18345e-06,0.000417732,1.82749e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1234.0,0.000545015,2.18001e-06,0.000421124,1.84084e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1243.0,0.000544331,2.17636e-06,0.000424483,1.85401e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1252.0,0.00054359,2.1725e-06,0.000427812,1.86702e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1261.0,0.000542792,2.16843e-06,0.000431108,1.87985e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1270.0,0.000541937,2.16415e-06,0.000434369,1.8925e-06,2026-04-15
59,85,Pr,0,60,84,Nd,1279.0,0.000541026,2.15966e-06,0.000437597,1.90498e-06,2026-04-15
