p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
93,146,Np,0,94,145,Pu,0.0,0.00606429,9.29381e-05,0.0,0.0,2026-04-15
93,146,Np,0,94,145,Pu,0.5,0.00604428,9.26977e-05,2.56166e-08,3.73821e-10,2026-04-15
93,146,Np,0,94,145,Pu,1.0,0.00603212,9.25574e-05,1.02146e-07,1.49048e-09,2026-04-15
93,146,Np,0,94,145,Pu,1.5,0.00602781,9.25171e-05,2.29586e-07,3.34997e-09,2026-04-15
93,146,Np,0,94,145,Pu,2.0,0.00603135,9.25769e-05,4.07918e-07,5.95229e-09,2026-04-15
93,146,Np,0,94,145,Pu,2.5,0.00604131,9.27367e-05,6.36795e-07,9.29206e-09,2026-04-15
93,146,Np,0,94,145,Pu,3.0,0.00605728,9.29965e-05,9.16318e-07,1.33711e-08,2026-04-15
93,146,Np,0,94,145,Pu,3.5,0.00606534,9.31324e-05,1.24614e-06,1.81839e-08,2026-04-15
93,146,Np,0,94,145,Pu,4.0,0.0060702,9.32189e-05,1.62635e-06,2.37323e-08,2026-04-15
93,146,Np,0,94,145,Pu,4.5,0.00607295,9.32735e-05,2.05661e-06,3.00111e-08,2026-04-15
93,146,Np,0,94,145,Pu,5.0,0.00607327,9.32904e-05,2.53701e-06,3.70218e-08,2026-04-15
93,146,Np,0,94,145,Pu,5.5,0.00607246,9.32905e-05,3.06721e-06,4.47593e-08,2026-04-15
93,146,Np,0,94,145,Pu,6.0,0.00607012,9.3267e-05,3.64732e-06,5.32251e-08,2026-04-15
93,146,Np,0,94,145,Pu,6.5,0.00606707,9.32325e-05,4.27696e-06,6.2414e-08,2026-04-15
93,146,Np,0,94,145,Pu,7.0,0.00606303,9.31828e-05,4.95625e-06,7.23277e-08,2026-04-15
93,146,Np,0,94,145,Pu,7.5,0.00605851,9.31259e-05,5.68484e-06,8.2961e-08,2026-04-15
93,146,Np,0,94,145,Pu,8.0,0.00605335,9.30591e-05,6.46284e-06,9.43156e-08,2026-04-15
93,146,Np,0,94,145,Pu,8.5,0.00604784,9.29869e-05,7.28988e-06,1.06386e-07,2026-04-15
93,146,Np,0,94,145,Pu,9.0,0.00604188,9.29079e-05,8.16608e-06,1.19174e-07,2026-04-15
93,146,Np,0,94,145,Pu,9.5,0.00603566,9.28249e-05,9.09108e-06,1.32675e-07,2026-04-15
93,146,Np,0,94,145,Pu,10.0,0.00602911,9.27369e-05,1.0065e-05,1.46889e-07,2026-04-15
93,146,Np,0,94,145,Pu,11.0,0.00601538,9.2551e-05,1.21586e-05,1.77447e-07,2026-04-15
93,146,Np,0,94,145,Pu,12.0,0.00600091,9.2354e-05,1.44458e-05,2.10832e-07,2026-04-15
93,146,Np,0,94,145,Pu,13.0,0.00598585,9.21477e-05,1.69258e-05,2.47031e-07,2026-04-15
93,146,Np,0,94,145,Pu,14.0,0.00597031,9.19343e-05,1.95974e-05,2.86029e-07,2026-04-15
93,146,Np,0,94,145,Pu,15.0,0.00595436,9.17146e-05,2.24598e-05,3.27813e-07,2026-04-15
93,146,Np,0,94,145,Pu,16.0,0.00593808,9.14898e-05,2.55118e-05,3.72367e-07,2026-04-15
93,146,Np,0,94,145,Pu,17.0,0.00592149,9.12603e-05,2.87526e-05,4.19677e-07,2026-04-15
93,146,Np,0,94,145,Pu,18.0,0.00590465,9.1027e-05,3.21813e-05,4.69732e-07,2026-04-15
93,146,Np,0,94,145,Pu,19.0,0.00588759,9.07904e-05,3.57966e-05,5.22514e-07,2026-04-15
93,146,Np,0,94,145,Pu,20.0,0.00587031,9.05505e-05,3.95978e-05,5.7801e-07,2026-04-15
93,146,Np,0,94,145,Pu,21.0,0.00585286,9.03079e-05,4.35838e-05,6.36206e-07,2026-04-15
93,146,Np,0,94,145,Pu,22.0,0.00583522,9.00623e-05,4.77536e-05,6.97087e-07,2026-04-15
93,146,Np,0,94,145,Pu,23.0,0.00581744,8.98148e-05,5.21061e-05,7.60639e-07,2026-04-15
93,146,Np,0,94,145,Pu,24.0,0.00579951,8.95649e-05,5.66406e-05,8.26851e-07,2026-04-15
93,146,Np,0,94,145,Pu,25.0,0.00578145,8.93131e-05,6.13561e-05,8.95706e-07,2026-04-15
93,146,Np,0,94,145,Pu,26.0,0.00576325,8.90592e-05,6.62514e-05,9.67191e-07,2026-04-15
93,146,Np,0,94,145,Pu,27.0,0.00574494,8.88035e-05,7.13256e-05,1.04129e-06,2026-04-15
93,146,Np,0,94,145,Pu,28.0,0.00572653,8.85463e-05,7.65777e-05,1.11799e-06,2026-04-15
93,146,Np,0,94,145,Pu,29.0,0.00570799,8.82873e-05,8.20069e-05,1.19728e-06,2026-04-15
93,146,Np,0,94,145,Pu,30.0,0.00568936,8.80269e-05,8.76122e-05,1.27914e-06,2026-04-15
93,146,Np,0,94,145,Pu,31.0,0.00567063,8.77648e-05,9.33925e-05,1.36356e-06,2026-04-15
93,146,Np,0,94,145,Pu,32.0,0.00565179,8.75012e-05,9.93468e-05,1.45052e-06,2026-04-15
93,146,Np,0,94,145,Pu,33.0,0.00563289,8.72365e-05,0.000105474,1.54002e-06,2026-04-15
93,146,Np,0,94,145,Pu,34.0,0.00561387,8.69703e-05,0.000111774,1.63203e-06,2026-04-15
93,146,Np,0,94,145,Pu,35.0,0.00559478,8.67029e-05,0.000118245,1.72655e-06,2026-04-15
93,146,Np,0,94,145,Pu,36.0,0.00557562,8.64342e-05,0.000124886,1.82356e-06,2026-04-15
93,146,Np,0,94,145,Pu,37.0,0.00555637,8.61644e-05,0.000131696,1.92304e-06,2026-04-15
93,146,Np,0,94,145,Pu,38.0,0.00553703,8.58931e-05,0.000138674,2.02498e-06,2026-04-15
93,146,Np,0,94,145,Pu,39.0,0.00551762,8.56208e-05,0.00014582,2.12937e-06,2026-04-15
93,146,Np,0,94,145,Pu,40.0,0.00549815,8.53476e-05,0.000153132,2.2362e-06,2026-04-15
93,146,Np,0,94,145,Pu,41.0,0.0054786,8.50731e-05,0.000160609,2.34544e-06,2026-04-15
93,146,Np,0,94,145,Pu,42.0,0.00545897,8.47975e-05,0.000168251,2.45709e-06,2026-04-15
93,146,Np,0,94,145,Pu,43.0,0.00543928,8.45209e-05,0.000176056,2.57113e-06,2026-04-15
93,146,Np,0,94,145,Pu,44.0,0.00541952,8.42433e-05,0.000184024,2.68755e-06,2026-04-15
