p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
95,147,Am,0,96,146,Cm,0.0,0.00251483,7.12446e-05,0.0,0.0,2026-04-15
95,147,Am,0,96,146,Cm,2.0,0.00255361,7.23424e-05,7.81477e-08,2.22233e-09,2026-04-15
95,147,Am,0,96,146,Cm,4.0,0.00257945,7.30736e-05,3.11848e-07,8.86817e-09,2026-04-15
95,147,Am,0,96,146,Cm,6.0,0.00259231,7.3437e-05,6.99986e-07,1.99058e-08,2026-04-15
95,147,Am,0,96,146,Cm,8.0,0.00259822,7.36036e-05,1.24145e-06,3.53035e-08,2026-04-15
95,147,Am,0,96,146,Cm,10.0,0.00260086,7.36775e-05,1.93514e-06,5.50297e-08,2026-04-15
95,147,Am,0,96,146,Cm,12.0,0.00260176,7.37021e-05,2.77992e-06,7.90525e-08,2026-04-15
95,147,Am,0,96,146,Cm,14.0,0.0026016,7.36967e-05,3.77471e-06,1.07341e-07,2026-04-15
95,147,Am,0,96,146,Cm,16.0,0.00260073,7.36712e-05,4.91838e-06,1.39863e-07,2026-04-15
95,147,Am,0,96,146,Cm,18.0,0.00259934,7.36309e-05,6.20983e-06,1.76587e-07,2026-04-15
95,147,Am,0,96,146,Cm,20.0,0.00259756,7.35796e-05,7.64797e-06,2.17481e-07,2026-04-15
95,147,Am,0,96,146,Cm,22.0,0.00259547,7.35195e-05,9.23168e-06,2.62515e-07,2026-04-15
95,147,Am,0,96,146,Cm,24.0,0.00259311,7.34518e-05,1.09599e-05,3.11657e-07,2026-04-15
95,147,Am,0,96,146,Cm,26.0,0.00259052,7.33775e-05,1.28314e-05,3.64876e-07,2026-04-15
95,147,Am,0,96,146,Cm,28.0,0.00258774,7.32979e-05,1.48453e-05,4.2214e-07,2026-04-15
95,147,Am,0,96,146,Cm,30.0,0.00258476,7.32126e-05,1.70003e-05,4.83417e-07,2026-04-15
95,147,Am,0,96,146,Cm,32.0,0.00258163,7.3123e-05,1.92953e-05,5.48677e-07,2026-04-15
95,147,Am,0,96,146,Cm,34.0,0.00257834,7.3029e-05,2.17294e-05,6.17889e-07,2026-04-15
95,147,Am,0,96,146,Cm,36.0,0.00257489,7.29304e-05,2.43014e-05,6.91022e-07,2026-04-15
95,147,Am,0,96,146,Cm,38.0,0.00257131,7.28281e-05,2.70102e-05,7.68044e-07,2026-04-15
95,147,Am,0,96,146,Cm,40.0,0.00256761,7.27224e-05,2.98547e-05,8.48925e-07,2026-04-15
95,147,Am,0,96,146,Cm,42.0,0.00256376,7.26124e-05,3.28337e-05,9.33629e-07,2026-04-15
95,147,Am,0,96,146,Cm,44.0,0.00255979,7.24991e-05,3.59464e-05,1.02213e-06,2026-04-15
95,147,Am,0,96,146,Cm,46.0,0.00255571,7.23826e-05,3.91914e-05,1.1144e-06,2026-04-15
95,147,Am,0,96,146,Cm,48.0,0.0025515,7.22625e-05,4.25678e-05,1.2104e-06,2026-04-15
95,147,Am,0,96,146,Cm,50.0,0.00254719,7.21395e-05,4.60745e-05,1.31011e-06,2026-04-15
95,147,Am,0,96,146,Cm,52.0,0.00254275,7.20129e-05,4.97104e-05,1.41349e-06,2026-04-15
95,147,Am,0,96,146,Cm,54.0,0.00253821,7.18834e-05,5.34744e-05,1.52051e-06,2026-04-15
95,147,Am,0,96,146,Cm,56.0,0.00253356,7.17508e-05,5.73655e-05,1.63114e-06,2026-04-15
95,147,Am,0,96,146,Cm,58.0,0.0025288,7.16151e-05,6.13824e-05,1.74535e-06,2026-04-15
95,147,Am,0,96,146,Cm,60.0,0.00252392,7.1476e-05,6.55242e-05,1.86311e-06,2026-04-15
95,147,Am,0,96,146,Cm,62.0,0.00251895,7.13344e-05,6.97898e-05,1.98439e-06,2026-04-15
95,147,Am,0,96,146,Cm,64.0,0.00251389,7.11902e-05,7.41782e-05,2.10916e-06,2026-04-15
95,147,Am,0,96,146,Cm,66.0,0.0025087,7.10423e-05,7.86882e-05,2.23738e-06,2026-04-15
95,147,Am,0,96,146,Cm,68.0,0.00250343,7.08922e-05,8.33188e-05,2.36903e-06,2026-04-15
95,147,Am,0,96,146,Cm,70.0,0.00249805,7.07389e-05,8.80688e-05,2.50408e-06,2026-04-15
95,147,Am,0,96,146,Cm,72.0,0.00249258,7.05831e-05,9.29373e-05,2.6425e-06,2026-04-15
