p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
36,52,Kr,0,37,51,Rb,0.0,0.0027042,9.00303e-05,0.0,0.0,2026-04-15
36,52,Kr,0,37,51,Rb,0.4,0.00273388,9.09819e-05,7.68056e-09,2.39296e-10,2026-04-15
36,52,Kr,0,37,51,Rb,0.8,0.00275756,9.17777e-05,3.05266e-08,9.52511e-10,2026-04-15
36,52,Kr,0,37,51,Rb,1.2,0.00277524,9.24177e-05,6.85319e-08,2.13964e-09,2026-04-15
36,52,Kr,0,37,51,Rb,1.7,0.0027909,9.29985e-05,1.37347e-07,4.29001e-09,2026-04-15
36,52,Kr,0,37,51,Rb,2.2,0.00279987,9.33359e-05,2.2977e-07,7.17877e-09,2026-04-15
36,52,Kr,0,37,51,Rb,2.7,0.00280231,9.34299e-05,3.4568e-07,1.08018e-08,2026-04-15
36,52,Kr,0,37,51,Rb,3.2,0.00280092,9.33812e-05,4.85057e-07,1.51589e-08,2026-04-15
36,52,Kr,0,37,51,Rb,3.7,0.00280093,9.33866e-05,6.47779e-07,2.02459e-08,2026-04-15
36,52,Kr,0,37,51,Rb,4.2,0.00280035,9.33714e-05,8.33816e-07,2.60626e-08,2026-04-15
36,52,Kr,0,37,51,Rb,4.7,0.00279989,9.33614e-05,1.04303e-06,3.26048e-08,2026-04-15
36,52,Kr,0,37,51,Rb,5.2,0.00279929,9.33473e-05,1.27542e-06,3.98724e-08,2026-04-15
36,52,Kr,0,37,51,Rb,5.7,0.00279867,9.33335e-05,1.53086e-06,4.78612e-08,2026-04-15
36,52,Kr,0,37,51,Rb,6.2,0.002798,9.33184e-05,1.80932e-06,5.65709e-08,2026-04-15
36,52,Kr,0,37,51,Rb,6.7,0.00279735,9.33026e-05,2.11067e-06,6.59976e-08,2026-04-15
36,52,Kr,0,37,51,Rb,7.2,0.00279666,9.32859e-05,2.4349e-06,7.61409e-08,2026-04-15
36,52,Kr,0,37,51,Rb,7.7,0.00279595,9.32684e-05,2.78189e-06,8.69969e-08,2026-04-15
36,52,Kr,0,37,51,Rb,8.2,0.00279522,9.32501e-05,3.15161e-06,9.85653e-08,2026-04-15
36,52,Kr,0,37,51,Rb,8.7,0.00279446,9.32308e-05,3.54391e-06,1.10842e-07,2026-04-15
36,52,Kr,0,37,51,Rb,9.2,0.00279368,9.32108e-05,3.9588e-06,1.23826e-07,2026-04-15
36,52,Kr,0,37,51,Rb,9.7,0.00279288,9.31903e-05,4.39615e-06,1.37514e-07,2026-04-15
36,52,Kr,0,37,51,Rb,10.0,0.0027924,9.31777e-05,4.66937e-06,1.46066e-07,2026-04-15
36,52,Kr,0,37,51,Rb,11.0,0.00279072,9.31337e-05,5.63802e-06,1.7639e-07,2026-04-15
36,52,Kr,0,37,51,Rb,12.0,0.00278899,9.30877e-05,6.6956e-06,2.09502e-07,2026-04-15
36,52,Kr,0,37,51,Rb,13.0,0.00278722,9.30405e-05,7.84144e-06,2.45386e-07,2026-04-15
36,52,Kr,0,37,51,Rb,14.0,0.00278542,9.2992e-05,9.07504e-06,2.84024e-07,2026-04-15
36,52,Kr,0,37,51,Rb,15.0,0.00278362,9.29432e-05,1.03958e-05,3.25398e-07,2026-04-15
36,52,Kr,0,37,51,Rb,16.0,0.00278181,9.28944e-05,1.18031e-05,3.69494e-07,2026-04-15
36,52,Kr,0,37,51,Rb,17.0,0.00278,9.28456e-05,1.32963e-05,4.1629e-07,2026-04-15
36,52,Kr,0,37,51,Rb,18.0,0.0027782,9.27967e-05,1.4875e-05,4.65774e-07,2026-04-15
36,52,Kr,0,37,51,Rb,19.0,0.00277642,9.27483e-05,1.65385e-05,5.17929e-07,2026-04-15
36,52,Kr,0,37,51,Rb,20.0,0.00277465,9.27007e-05,1.82864e-05,5.72735e-07,2026-04-15
36,52,Kr,0,37,51,Rb,21.0,0.0027729,9.26531e-05,2.01177e-05,6.30175e-07,2026-04-15
36,52,Kr,0,37,51,Rb,22.0,0.00277118,9.26066e-05,2.20323e-05,6.90233e-07,2026-04-15
36,52,Kr,0,37,51,Rb,23.0,0.00276947,9.25607e-05,2.40294e-05,7.5289e-07,2026-04-15
36,52,Kr,0,37,51,Rb,24.0,0.0027678,9.25155e-05,2.61085e-05,8.18138e-07,2026-04-15
36,52,Kr,0,37,51,Rb,25.0,0.00276613,9.24707e-05,2.8269e-05,8.85947e-07,2026-04-15
36,52,Kr,0,37,51,Rb,26.0,0.0027645,9.24267e-05,3.05104e-05,9.56313e-07,2026-04-15
36,52,Kr,0,37,51,Rb,27.0,0.00276287,9.23831e-05,3.28321e-05,1.02921e-06,2026-04-15
36,52,Kr,0,37,51,Rb,28.0,0.00276128,9.23403e-05,3.52333e-05,1.10462e-06,2026-04-15
36,52,Kr,0,37,51,Rb,29.0,0.00275969,9.22975e-05,3.77138e-05,1.18254e-06,2026-04-15
36,52,Kr,0,37,51,Rb,30.0,0.00275812,9.22556e-05,4.02729e-05,1.26294e-06,2026-04-15
36,52,Kr,0,37,51,Rb,31.0,0.00275657,9.2214e-05,4.29099e-05,1.34581e-06,2026-04-15
36,52,Kr,0,37,51,Rb,32.0,0.00275503,9.21724e-05,4.56245e-05,1.43113e-06,2026-04-15
36,52,Kr,0,37,51,Rb,33.0,0.0027535,9.21313e-05,4.84159e-05,1.51888e-06,2026-04-15
36,52,Kr,0,37,51,Rb,34.0,0.00275197,9.20901e-05,5.12837e-05,1.60905e-06,2026-04-15
36,52,Kr,0,37,51,Rb,35.0,0.00275046,9.20493e-05,5.42274e-05,1.70162e-06,2026-04-15
36,52,Kr,0,37,51,Rb,36.0,0.00274895,9.20086e-05,5.72463e-05,1.79658e-06,2026-04-15
36,52,Kr,0,37,51,Rb,37.0,0.00274744,9.19678e-05,6.03399e-05,1.89391e-06,2026-04-15
36,52,Kr,0,37,51,Rb,38.0,0.00274592,9.19267e-05,6.35075e-05,1.99358e-06,2026-04-15
36,52,Kr,0,37,51,Rb,39.0,0.00274441,9.18855e-05,6.67488e-05,2.0956e-06,2026-04-15
36,52,Kr,0,37,51,Rb,40.0,0.0027429,9.18443e-05,7.00631e-05,2.19993e-06,2026-04-15
36,52,Kr,0,37,51,Rb,41.0,0.0027414,9.18032e-05,7.34499e-05,2.30657e-06,2026-04-15
36,52,Kr,0,37,51,Rb,42.0,0.00273987,9.17612e-05,7.69087e-05,2.4155e-06,2026-04-15
36,52,Kr,0,37,51,Rb,43.0,0.00273835,9.17192e-05,8.04388e-05,2.52669e-06,2026-04-15
36,52,Kr,0,37,51,Rb,44.0,0.00273682,9.16769e-05,8.40398e-05,2.64014e-06,2026-04-15
36,52,Kr,0,37,51,Rb,45.0,0.00273527,9.16337e-05,8.77112e-05,2.75583e-06,2026-04-15
36,52,Kr,0,37,51,Rb,46.0,0.00273372,9.15905e-05,9.14522e-05,2.87374e-06,2026-04-15
36,52,Kr,0,37,51,Rb,47.0,0.00273215,9.15465e-05,9.52625e-05,2.99386e-06,2026-04-15
36,52,Kr,0,37,51,Rb,48.0,0.00273057,9.15022e-05,9.91416e-05,3.11616e-06,2026-04-15
36,52,Kr,0,37,51,Rb,49.0,0.00272898,9.1457e-05,0.000103089,3.24064e-06,2026-04-15
36,52,Kr,0,37,51,Rb,50.0,0.00272737,9.14114e-05,0.000107103,3.36728e-06,2026-04-15
36,52,Kr,0,37,51,Rb,51.0,0.00272574,9.1365e-05,0.000111185,3.49606e-06,2026-04-15
36,52,Kr,0,37,51,Rb,52.0,0.0027241,9.13178e-05,0.000115334,3.62697e-06,2026-04-15
36,52,Kr,0,37,51,Rb,53.0,0.00272244,9.12702e-05,0.000119548,3.75999e-06,2026-04-15
36,52,Kr,0,37,51,Rb,54.0,0.00272076,9.12214e-05,0.000123828,3.8951e-06,2026-04-15
36,52,Kr,0,37,51,Rb,55.0,0.00271906,9.11722e-05,0.000128173,4.03229e-06,2026-04-15
36,52,Kr,0,37,51,Rb,56.0,0.00271734,9.11218e-05,0.000132582,4.17152e-06,2026-04-15
36,52,Kr,0,37,51,Rb,57.0,0.00271559,9.10706e-05,0.000137056,4.31285e-06,2026-04-15
36,52,Kr,0,37,51,Rb,58.0,0.00271383,9.10186e-05,0.000141592,4.45617e-06,2026-04-15
36,52,Kr,0,37,51,Rb,59.0,0.00271204,9.09658e-05,0.000146191,4.60151e-06,2026-04-15
36,52,Kr,0,37,51,Rb,60.0,0.00271023,9.09118e-05,0.000150853,4.74885e-06,2026-04-15
36,52,Kr,0,37,51,Rb,61.0,0.00270839,9.0857e-05,0.000155577,4.89819e-06,2026-04-15
36,52,Kr,0,37,51,Rb,62.0,0.00270652,9.0801e-05,0.000160362,5.04949e-06,2026-04-15
36,52,Kr,0,37,51,Rb,63.0,0.00270464,9.07442e-05,0.000165207,5.20272e-06,2026-04-15
36,52,Kr,0,37,51,Rb,64.0,0.00270272,9.06861e-05,0.000170113,5.35791e-06,2026-04-15
36,52,Kr,0,37,51,Rb,65.0,0.00270078,9.06273e-05,0.000175079,5.51502e-06,2026-04-15
36,52,Kr,0,37,51,Rb,66.0,0.0026988,9.05669e-05,0.000180104,5.67405e-06,2026-04-15
36,52,Kr,0,37,51,Rb,67.0,0.00269681,9.05061e-05,0.000185187,5.83496e-06,2026-04-15
36,52,Kr,0,37,51,Rb,68.0,0.00269478,9.04436e-05,0.000190329,5.99772e-06,2026-04-15
36,52,Kr,0,37,51,Rb,69.0,0.00269272,9.038e-05,0.000195529,6.16238e-06,2026-04-15
36,52,Kr,0,37,51,Rb,70.0,0.00269064,9.03156e-05,0.000200785,6.32885e-06,2026-04-15
36,52,Kr,0,37,51,Rb,71.0,0.00268853,9.025e-05,0.000206098,6.49716e-06,2026-04-15
36,52,Kr,0,37,51,Rb,72.0,0.00268638,9.01831e-05,0.000211468,6.66731e-06,2026-04-15
36,52,Kr,0,37,51,Rb,73.0,0.00268421,9.01151e-05,0.000216893,6.83921e-06,2026-04-15
36,52,Kr,0,37,51,Rb,74.0,0.00268201,9.00459e-05,0.000222374,7.01294e-06,2026-04-15
36,52,Kr,0,37,51,Rb,75.0,0.00267977,8.99754e-05,0.000227908,7.1884e-06,2026-04-15
36,52,Kr,0,37,51,Rb,76.0,0.0026775,8.99034e-05,0.000233498,7.36565e-06,2026-04-15
36,52,Kr,0,37,51,Rb,77.0,0.0026752,8.98306e-05,0.000239141,7.54461e-06,2026-04-15
36,52,Kr,0,37,51,Rb,78.0,0.00267287,8.97566e-05,0.000244837,7.72529e-06,2026-04-15
36,52,Kr,0,37,51,Rb,79.0,0.00267051,8.96809e-05,0.000250585,7.90768e-06,2026-04-15
36,52,Kr,0,37,51,Rb,80.0,0.00266812,8.96045e-05,0.000256387,8.09179e-06,2026-04-15
36,52,Kr,0,37,51,Rb,81.0,0.00266569,8.95265e-05,0.000262238,8.27752e-06,2026-04-15
36,52,Kr,0,37,51,Rb,82.0,0.00266323,8.94473e-05,0.000268143,8.46497e-06,2026-04-15
36,52,Kr,0,37,51,Rb,83.0,0.00266075,8.93668e-05,0.000274097,8.65405e-06,2026-04-15
36,52,Kr,0,37,51,Rb,84.0,0.00265822,8.92848e-05,0.000280102,8.84476e-06,2026-04-15
36,52,Kr,0,37,51,Rb,85.0,0.00265567,8.9202e-05,0.000286157,9.03706e-06,2026-04-15
36,52,Kr,0,37,51,Rb,86.0,0.00265308,8.91176e-05,0.000292261,9.231e-06,2026-04-15
