p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
37,51,Rb,0,38,50,Sr,0.0,0.0001701,7.26829e-08,0.0,0.0,2026-04-15
37,51,Rb,0,38,50,Sr,1.0,0.000171591,7.28773e-08,1.85001e-09,4.623e-13,2026-04-15
37,51,Rb,0,38,50,Sr,2.0,0.000172526,7.30694e-08,7.20373e-09,1.6963e-12,2026-04-15
37,51,Rb,0,38,50,Sr,3.0,0.000172908,7.32592e-08,1.605e-08,3.7056e-12,2026-04-15
37,51,Rb,0,38,50,Sr,4.0,0.00017318,7.34488e-08,2.83775e-08,6.4903e-12,2026-04-15
37,51,Rb,0,38,50,Sr,5.0,0.00017341,7.36385e-08,4.41622e-08,1.00493e-11,2026-04-15
37,51,Rb,0,38,50,Sr,6.0,0.000173609,7.38284e-08,6.33974e-08,1.43826e-11,2026-04-15
37,51,Rb,0,38,50,Sr,7.0,0.000173817,7.40194e-08,8.60587e-08,1.94892e-11,2026-04-15
37,51,Rb,0,38,50,Sr,8.0,0.000174021,7.42114e-08,1.12139e-07,2.53691e-11,2026-04-15
37,51,Rb,0,38,50,Sr,9.0,0.000174223,7.44042e-08,1.41616e-07,3.20212e-11,2026-04-15
37,51,Rb,0,38,50,Sr,10.0,0.000174423,7.45978e-08,1.7448e-07,3.94456e-11,2026-04-15
37,51,Rb,0,38,50,Sr,11.0,0.000174622,7.47924e-08,2.1071e-07,4.76412e-11,2026-04-15
37,51,Rb,0,38,50,Sr,12.0,0.00017482,7.49879e-08,2.50297e-07,5.66081e-11,2026-04-15
37,51,Rb,0,38,50,Sr,13.0,0.000175017,7.51843e-08,2.93217e-07,6.63452e-11,2026-04-15
37,51,Rb,0,38,50,Sr,14.0,0.000175213,7.53815e-08,3.39464e-07,7.68526e-11,2026-04-15
37,51,Rb,0,38,50,Sr,15.0,0.000175411,7.55797e-08,3.89013e-07,8.81291e-11,2026-04-15
37,51,Rb,0,38,50,Sr,16.0,0.000175608,7.57788e-08,4.4186e-07,1.00175e-10,2026-04-15
37,51,Rb,0,38,50,Sr,17.0,0.000175807,7.59789e-08,4.97961e-07,1.12961e-10,2026-04-15
37,51,Rb,0,38,50,Sr,18.0,0.000176006,7.61798e-08,5.57324e-07,1.2651e-10,2026-04-15
37,51,Rb,0,38,50,Sr,19.0,0.000176208,7.63817e-08,6.19923e-07,1.40819e-10,2026-04-15
37,51,Rb,0,38,50,Sr,20.0,0.00017641,7.65845e-08,6.85754e-07,1.5589e-10,2026-04-15
37,51,Rb,0,38,50,Sr,21.0,0.000176614,7.67882e-08,7.54793e-07,1.7172e-10,2026-04-15
37,51,Rb,0,38,50,Sr,22.0,0.00017682,7.69929e-08,8.27033e-07,1.88311e-10,2026-04-15
37,51,Rb,0,38,50,Sr,23.0,0.000177028,7.71985e-08,9.02446e-07,2.0566e-10,2026-04-15
37,51,Rb,0,38,50,Sr,24.0,0.000177237,7.74051e-08,9.8103e-07,2.23767e-10,2026-04-15
37,51,Rb,0,38,50,Sr,25.0,0.000177449,7.76145e-08,1.06274e-06,2.42605e-10,2026-04-15
37,51,Rb,0,38,50,Sr,26.0,0.000177664,7.78254e-08,1.14759e-06,2.62194e-10,2026-04-15
37,51,Rb,0,38,50,Sr,27.0,0.00017788,7.80376e-08,1.23555e-06,2.82534e-10,2026-04-15
37,51,Rb,0,38,50,Sr,28.0,0.000178098,7.82513e-08,1.32661e-06,3.03625e-10,2026-04-15
37,51,Rb,0,38,50,Sr,29.0,0.000178319,7.84663e-08,1.42076e-06,3.25466e-10,2026-04-15
37,51,Rb,0,38,50,Sr,30.0,0.000178541,7.86826e-08,1.51799e-06,3.48057e-10,2026-04-15
37,51,Rb,0,38,50,Sr,31.0,0.000178765,7.89004e-08,1.61826e-06,3.71397e-10,2026-04-15
37,51,Rb,0,38,50,Sr,32.0,0.00017899,7.91195e-08,1.72159e-06,3.95485e-10,2026-04-15
37,51,Rb,0,38,50,Sr,33.0,0.000179218,7.93398e-08,1.82792e-06,4.20294e-10,2026-04-15
37,51,Rb,0,38,50,Sr,34.0,0.000179447,7.95614e-08,1.93725e-06,4.45844e-10,2026-04-15
37,51,Rb,0,38,50,Sr,35.0,0.000179677,7.97843e-08,2.04946e-06,4.72052e-10,2026-04-15
37,51,Rb,0,38,50,Sr,36.0,0.00017991,8.00085e-08,2.16464e-06,4.98991e-10,2026-04-15
37,51,Rb,0,38,50,Sr,37.0,0.000180143,8.02341e-08,2.28277e-06,5.26661e-10,2026-04-15
37,51,Rb,0,38,50,Sr,38.0,0.000180378,8.0461e-08,2.40383e-06,5.55062e-10,2026-04-15
37,51,Rb,0,38,50,Sr,39.0,0.000180615,8.06892e-08,2.52782e-06,5.84192e-10,2026-04-15
37,51,Rb,0,38,50,Sr,40.0,0.000180853,8.09187e-08,2.65471e-06,6.14052e-10,2026-04-15
37,51,Rb,0,38,50,Sr,41.0,0.000181091,8.11489e-08,2.78447e-06,6.44613e-10,2026-04-15
37,51,Rb,0,38,50,Sr,42.0,0.000181331,8.13803e-08,2.91712e-06,6.75897e-10,2026-04-15
37,51,Rb,0,38,50,Sr,43.0,0.000181572,8.16128e-08,3.05261e-06,7.07903e-10,2026-04-15
37,51,Rb,0,38,50,Sr,44.0,0.000181814,8.18465e-08,3.19096e-06,7.4063e-10,2026-04-15
37,51,Rb,0,38,50,Sr,45.0,0.000182056,8.20813e-08,3.33212e-06,7.74077e-10,2026-04-15
37,51,Rb,0,38,50,Sr,46.0,0.0001823,8.23173e-08,3.47611e-06,8.08245e-10,2026-04-15
37,51,Rb,0,38,50,Sr,47.0,0.000182545,8.25545e-08,3.62289e-06,8.43132e-10,2026-04-15
37,51,Rb,0,38,50,Sr,48.0,0.00018279,8.27928e-08,3.77246e-06,8.78739e-10,2026-04-15
37,51,Rb,0,38,50,Sr,49.0,0.000183036,8.30317e-08,3.92478e-06,9.15038e-10,2026-04-15
37,51,Rb,0,38,50,Sr,50.0,0.000183282,8.32716e-08,4.07985e-06,9.5205e-10,2026-04-15
37,51,Rb,0,38,50,Sr,51.0,0.000183529,8.35125e-08,4.23766e-06,9.89773e-10,2026-04-15
37,51,Rb,0,38,50,Sr,52.0,0.000183774,8.37527e-08,4.39809e-06,1.02813e-09,2026-04-15
37,51,Rb,0,38,50,Sr,53.0,0.00018402,8.39938e-08,4.56121e-06,1.06718e-09,2026-04-15
37,51,Rb,0,38,50,Sr,54.0,0.000184266,8.42356e-08,4.72701e-06,1.10694e-09,2026-04-15
37,51,Rb,0,38,50,Sr,55.0,0.000184512,8.44783e-08,4.89548e-06,1.1474e-09,2026-04-15
37,51,Rb,0,38,50,Sr,56.0,0.000184758,8.47218e-08,5.0666e-06,1.18856e-09,2026-04-15
37,51,Rb,0,38,50,Sr,57.0,0.000185004,8.49656e-08,5.24034e-06,1.23039e-09,2026-04-15
37,51,Rb,0,38,50,Sr,58.0,0.00018525,8.52101e-08,5.41672e-06,1.27292e-09,2026-04-15
37,51,Rb,0,38,50,Sr,59.0,0.000185496,8.54553e-08,5.5957e-06,1.31614e-09,2026-04-15
37,51,Rb,0,38,50,Sr,60.0,0.000185742,8.57013e-08,5.77726e-06,1.36005e-09,2026-04-15
37,51,Rb,0,38,50,Sr,61.0,0.000185988,8.59479e-08,5.96141e-06,1.40466e-09,2026-04-15
37,51,Rb,0,38,50,Sr,62.0,0.000186234,8.61953e-08,6.14812e-06,1.44996e-09,2026-04-15
37,51,Rb,0,38,50,Sr,63.0,0.00018648,8.64433e-08,6.33738e-06,1.49594e-09,2026-04-15
37,51,Rb,0,38,50,Sr,64.0,0.000186725,8.66921e-08,6.52918e-06,1.54262e-09,2026-04-15
37,51,Rb,0,38,50,Sr,65.0,0.000186971,8.69412e-08,6.72349e-06,1.58997e-09,2026-04-15
37,51,Rb,0,38,50,Sr,66.0,0.000187216,8.7191e-08,6.9203e-06,1.638e-09,2026-04-15
37,51,Rb,0,38,50,Sr,67.0,0.000187461,8.74414e-08,7.1196e-06,1.68671e-09,2026-04-15
37,51,Rb,0,38,50,Sr,68.0,0.000187706,8.76923e-08,7.32137e-06,1.7361e-09,2026-04-15
37,51,Rb,0,38,50,Sr,69.0,0.000187948,8.79427e-08,7.5255e-06,1.7861e-09,2026-04-15
37,51,Rb,0,38,50,Sr,70.0,0.000188191,8.81936e-08,7.73206e-06,1.83677e-09,2026-04-15
37,51,Rb,0,38,50,Sr,71.0,0.000188432,8.84449e-08,7.94104e-06,1.88812e-09,2026-04-15
37,51,Rb,0,38,50,Sr,72.0,0.000188674,8.86968e-08,8.15244e-06,1.94014e-09,2026-04-15
37,51,Rb,0,38,50,Sr,73.0,0.000188914,8.89488e-08,8.36621e-06,1.9928e-09,2026-04-15
37,51,Rb,0,38,50,Sr,74.0,0.000189154,8.92013e-08,8.58235e-06,2.04613e-09,2026-04-15
37,51,Rb,0,38,50,Sr,75.0,0.000189393,8.94541e-08,8.80087e-06,2.10013e-09,2026-04-15
37,51,Rb,0,38,50,Sr,76.0,0.000189632,8.97074e-08,9.02173e-06,2.15479e-09,2026-04-15
37,51,Rb,0,38,50,Sr,77.0,0.000189871,8.99611e-08,9.24494e-06,2.21011e-09,2026-04-15
37,51,Rb,0,38,50,Sr,78.0,0.000190108,9.02152e-08,9.47047e-06,2.2661e-09,2026-04-15
37,51,Rb,0,38,50,Sr,79.0,0.000190345,9.04697e-08,9.69829e-06,2.32275e-09,2026-04-15
37,51,Rb,0,38,50,Sr,80.0,0.000190581,9.07246e-08,9.92842e-06,2.38007e-09,2026-04-15
37,51,Rb,0,38,50,Sr,81.0,0.000190816,9.09798e-08,1.01608e-05,2.43802e-09,2026-04-15
37,51,Rb,0,38,50,Sr,82.0,0.000191051,9.12353e-08,1.03955e-05,2.49663e-09,2026-04-15
37,51,Rb,0,38,50,Sr,83.0,0.000191285,9.14912e-08,1.06324e-05,2.5559e-09,2026-04-15
37,51,Rb,0,38,50,Sr,84.0,0.000191518,9.17475e-08,1.08715e-05,2.61582e-09,2026-04-15
37,51,Rb,0,38,50,Sr,85.0,0.000191751,9.20041e-08,1.11129e-05,2.6764e-09,2026-04-15
37,51,Rb,0,38,50,Sr,86.0,0.000191982,9.22604e-08,1.13563e-05,2.73755e-09,2026-04-15
37,51,Rb,0,38,50,Sr,87.0,0.000192212,9.2517e-08,1.1602e-05,2.79936e-09,2026-04-15
37,51,Rb,0,38,50,Sr,88.0,0.000192441,9.27739e-08,1.18498e-05,2.8618e-09,2026-04-15
37,51,Rb,0,38,50,Sr,89.0,0.000192669,9.30309e-08,1.20998e-05,2.92487e-09,2026-04-15
37,51,Rb,0,38,50,Sr,90.0,0.000192896,9.32882e-08,1.23519e-05,2.98857e-09,2026-04-15
37,51,Rb,0,38,50,Sr,91.0,0.000193123,9.35457e-08,1.26061e-05,3.05291e-09,2026-04-15
37,51,Rb,0,38,50,Sr,92.0,0.000193348,9.38034e-08,1.28624e-05,3.11789e-09,2026-04-15
37,51,Rb,0,38,50,Sr,93.0,0.000193573,9.40614e-08,1.31209e-05,3.18351e-09,2026-04-15
37,51,Rb,0,38,50,Sr,94.0,0.000193796,9.43197e-08,1.33814e-05,3.24977e-09,2026-04-15
37,51,Rb,0,38,50,Sr,95.0,0.000194019,9.45782e-08,1.3644e-05,3.31666e-09,2026-04-15
37,51,Rb,0,38,50,Sr,96.0,0.00019424,9.4837e-08,1.39087e-05,3.38418e-09,2026-04-15
37,51,Rb,0,38,50,Sr,97.0,0.000194461,9.50959e-08,1.41754e-05,3.45232e-09,2026-04-15
37,51,Rb,0,38,50,Sr,98.0,0.000194681,9.5355e-08,1.44441e-05,3.52109e-09,2026-04-15
37,51,Rb,0,38,50,Sr,99.0,0.0001949,9.56143e-08,1.47148e-05,3.59049e-09,2026-04-15
37,51,Rb,0,38,50,Sr,100.0,0.000195117,9.58739e-08,1.49876e-05,3.66051e-09,2026-04-15
37,51,Rb,0,38,50,Sr,110.0,0.000197233,9.84758e-08,1.78211e-05,4.3942e-09,2026-04-15
37,51,Rb,0,38,50,Sr,120.0,0.00019924,1.0109e-07,2.08388e-05,5.18831e-09,2026-04-15
37,51,Rb,0,38,50,Sr,130.0,0.000201129,1.03712e-07,2.40261e-05,6.04078e-09,2026-04-15
37,51,Rb,0,38,50,Sr,140.0,0.000202903,1.0634e-07,2.73702e-05,6.95055e-09,2026-04-15
37,51,Rb,0,38,50,Sr,150.0,0.000204559,1.0897e-07,3.08576e-05,7.91583e-09,2026-04-15
37,51,Rb,0,38,50,Sr,160.0,0.000206098,1.11602e-07,3.44754e-05,8.93519e-09,2026-04-15
37,51,Rb,0,38,50,Sr,170.0,0.000207523,1.14233e-07,3.82112e-05,1.00073e-08,2026-04-15
37,51,Rb,0,38,50,Sr,180.0,0.000208836,1.16862e-07,4.2052e-05,1.11302e-08,2026-04-15
37,51,Rb,0,38,50,Sr,190.0,0.000210041,1.19487e-07,4.59865e-05,1.23031e-08,2026-04-15
37,51,Rb,0,38,50,Sr,200.0,0.00021114,1.22108e-07,5.00024e-05,1.35243e-08,2026-04-15
37,51,Rb,0,38,50,Sr,210.0,0.00021214,1.24724e-07,5.40885e-05,1.47923e-08,2026-04-15
37,51,Rb,0,38,50,Sr,220.0,0.000213044,1.27333e-07,5.82336e-05,1.6106e-08,2026-04-15
37,51,Rb,0,38,50,Sr,230.0,0.000213858,1.29934e-07,6.24266e-05,1.74638e-08,2026-04-15
37,51,Rb,0,38,50,Sr,240.0,0.000214589,1.32527e-07,6.66574e-05,1.88648e-08,2026-04-15
37,51,Rb,0,38,50,Sr,250.0,0.000215241,1.35112e-07,7.09152e-05,2.03071e-08,2026-04-15
37,51,Rb,0,38,50,Sr,260.0,0.000215822,1.37686e-07,7.51905e-05,2.179e-08,2026-04-15
37,51,Rb,0,38,50,Sr,270.0,0.000216338,1.4025e-07,7.94734e-05,2.3312e-08,2026-04-15
37,51,Rb,0,38,50,Sr,280.0,0.000216797,1.42803e-07,8.37546e-05,2.48718e-08,2026-04-15
37,51,Rb,0,38,50,Sr,290.0,0.000217206,1.45344e-07,8.80255e-05,2.64685e-08,2026-04-15
37,51,Rb,0,38,50,Sr,300.0,0.000217573,1.47872e-07,9.22772e-05,2.81005e-08,2026-04-15
37,51,Rb,0,38,50,Sr,310.0,0.000217906,1.50388e-07,9.65017e-05,2.9767e-08,2026-04-15
37,51,Rb,0,38,50,Sr,320.0,0.000218213,1.5289e-07,0.000100691,3.14667e-08,2026-04-15
37,51,Rb,0,38,50,Sr,330.0,0.000218504,1.55377e-07,0.000104838,3.31984e-08,2026-04-15
37,51,Rb,0,38,50,Sr,340.0,0.000218786,1.5785e-07,0.000108937,3.49613e-08,2026-04-15
37,51,Rb,0,38,50,Sr,350.0,0.000219071,1.60307e-07,0.00011298,3.6754e-08,2026-04-15
37,51,Rb,0,38,50,Sr,360.0,0.000219366,1.62749e-07,0.000116962,3.85757e-08,2026-04-15
37,51,Rb,0,38,50,Sr,370.0,0.000219683,1.65174e-07,0.00012088,4.04253e-08,2026-04-15
37,51,Rb,0,38,50,Sr,380.0,0.000220031,1.67582e-07,0.00012473,4.23018e-08,2026-04-15
37,51,Rb,0,38,50,Sr,390.0,0.00022042,1.69972e-07,0.00012851,4.42043e-08,2026-04-15
37,51,Rb,0,38,50,Sr,400.0,0.000220862,1.72345e-07,0.000132223,4.61318e-08,2026-04-15
37,51,Rb,0,38,50,Sr,410.0,0.000221368,1.74699e-07,0.000135872,4.80835e-08,2026-04-15
37,51,Rb,0,38,50,Sr,420.0,0.000221948,1.77034e-07,0.000139466,5.00584e-08,2026-04-15
37,51,Rb,0,38,50,Sr,430.0,0.000222615,1.7935e-07,0.000143022,5.20562e-08,2026-04-15
37,51,Rb,0,38,50,Sr,440.0,0.000223379,1.81646e-07,0.000146561,5.40758e-08,2026-04-15
37,51,Rb,0,38,50,Sr,450.0,0.000224254,1.83922e-07,0.000150078,5.61151e-08,2026-04-15
37,51,Rb,0,38,50,Sr,460.0,0.000225252,1.86178e-07,0.000122837,5.80164e-08,2026-04-15
37,51,Rb,0,38,50,Sr,470.0,0.000226318,1.88412e-07,0.000109395,6.00867e-08,2026-04-15
37,51,Rb,0,38,50,Sr,480.0,0.00022737,1.90625e-07,0.000112345,6.21842e-08,2026-04-15
37,51,Rb,0,38,50,Sr,490.0,0.000228399,1.92816e-07,0.000115265,6.42983e-08,2026-04-15
37,51,Rb,0,38,50,Sr,500.0,0.000229407,1.94985e-07,0.000118154,6.64284e-08,2026-04-15
37,51,Rb,0,38,50,Sr,510.0,0.000230396,1.97131e-07,0.00012101,6.85734e-08,2026-04-15
37,51,Rb,0,38,50,Sr,520.0,0.000231369,1.99254e-07,0.000123832,7.07325e-08,2026-04-15
37,51,Rb,0,38,50,Sr,530.0,0.000232329,2.01354e-07,0.000126621,7.2905e-08,2026-04-15
37,51,Rb,0,38,50,Sr,540.0,0.00023328,2.0343e-07,0.000129376,7.50898e-08,2026-04-15
37,51,Rb,0,38,50,Sr,550.0,0.000234226,2.05482e-07,0.000132099,7.72866e-08,2026-04-15
37,51,Rb,0,38,50,Sr,560.0,0.000235168,2.0751e-07,0.000134787,7.9494e-08,2026-04-15
37,51,Rb,0,38,50,Sr,570.0,0.000236111,2.09514e-07,0.000131948,8.17049e-08,2026-04-15
37,51,Rb,0,38,50,Sr,580.0,0.000237048,2.11492e-07,0.000134548,8.39321e-08,2026-04-15
37,51,Rb,0,38,50,Sr,590.0,0.000237977,2.13445e-07,0.000137108,8.61676e-08,2026-04-15
37,51,Rb,0,38,50,Sr,600.0,0.0002389,2.15372e-07,0.000139625,8.8411e-08,2026-04-15
37,51,Rb,0,38,50,Sr,610.0,0.000239819,2.17274e-07,0.000142099,9.06614e-08,2026-04-15
37,51,Rb,0,38,50,Sr,620.0,0.000240737,2.19149e-07,0.000144529,9.29182e-08,2026-04-15
