p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
38,52,Sr,0,39,51,Y,0.0,0.00295273,8.31715e-06,0.0,0.0,2026-04-15
38,52,Sr,0,39,51,Y,1.0,0.00294957,8.29609e-06,9.94895e-08,6.56842e-10,2026-04-15
38,52,Sr,0,39,51,Y,2.0,0.0029464,8.27514e-06,3.96279e-07,2.61318e-09,2026-04-15
38,52,Sr,0,39,51,Y,3.0,0.00294323,8.2543e-06,8.87864e-07,5.84785e-09,2026-04-15
38,52,Sr,0,39,51,Y,4.0,0.00294005,8.23357e-06,1.57176e-06,1.03399e-08,2026-04-15
38,52,Sr,0,39,51,Y,5.0,0.00293686,8.21296e-06,2.44549e-06,1.60685e-08,2026-04-15
38,52,Sr,0,39,51,Y,6.0,0.00293368,8.19248e-06,3.50661e-06,2.30131e-08,2026-04-15
38,52,Sr,0,39,51,Y,7.0,0.0029305,8.17213e-06,4.75268e-06,3.11531e-08,2026-04-15
38,52,Sr,0,39,51,Y,8.0,0.00292733,8.15195e-06,6.18129e-06,4.04685e-08,2026-04-15
38,52,Sr,0,39,51,Y,9.0,0.00292417,8.13195e-06,7.79003e-06,5.09389e-08,2026-04-15
38,52,Sr,0,39,51,Y,10.0,0.00292105,8.11213e-06,9.57652e-06,6.25447e-08,2026-04-15
38,52,Sr,0,39,51,Y,11.0,0.00291795,8.09253e-06,1.15384e-05,7.52659e-08,2026-04-15
38,52,Sr,0,39,51,Y,12.0,0.00291489,8.07315e-06,1.36733e-05,8.90831e-08,2026-04-15
38,52,Sr,0,39,51,Y,13.0,0.00291187,8.05399e-06,1.5979e-05,1.03977e-07,2026-04-15
38,52,Sr,0,39,51,Y,14.0,0.00290889,8.03508e-06,1.8453e-05,1.19928e-07,2026-04-15
38,52,Sr,0,39,51,Y,15.0,0.00290595,8.0164e-06,2.10931e-05,1.36917e-07,2026-04-15
38,52,Sr,0,39,51,Y,16.0,0.00290306,7.99798e-06,2.38971e-05,1.54926e-07,2026-04-15
38,52,Sr,0,39,51,Y,17.0,0.00290023,7.9798e-06,2.68626e-05,1.73935e-07,2026-04-15
38,52,Sr,0,39,51,Y,18.0,0.00289744,7.96188e-06,2.99874e-05,1.93927e-07,2026-04-15
38,52,Sr,0,39,51,Y,19.0,0.0028947,7.9442e-06,3.32692e-05,2.14882e-07,2026-04-15
38,52,Sr,0,39,51,Y,20.0,0.00289201,7.92676e-06,3.6706e-05,2.36783e-07,2026-04-15
38,52,Sr,0,39,51,Y,21.0,0.00288937,7.90957e-06,4.02954e-05,2.59611e-07,2026-04-15
38,52,Sr,0,39,51,Y,22.0,0.00288677,7.89262e-06,4.40353e-05,2.83349e-07,2026-04-15
38,52,Sr,0,39,51,Y,23.0,0.00288423,7.87591e-06,4.79235e-05,3.07979e-07,2026-04-15
38,52,Sr,0,39,51,Y,24.0,0.00288173,7.85942e-06,5.19579e-05,3.33483e-07,2026-04-15
38,52,Sr,0,39,51,Y,25.0,0.00287928,7.84316e-06,5.61364e-05,3.59845e-07,2026-04-15
38,52,Sr,0,39,51,Y,26.0,0.00287688,7.82712e-06,6.04568e-05,3.87046e-07,2026-04-15
38,52,Sr,0,39,51,Y,27.0,0.00287452,7.81129e-06,6.4917e-05,4.15069e-07,2026-04-15
38,52,Sr,0,39,51,Y,28.0,0.0028722,7.79567e-06,6.95149e-05,4.43899e-07,2026-04-15
38,52,Sr,0,39,51,Y,29.0,0.00286992,7.78025e-06,7.42486e-05,4.73517e-07,2026-04-15
38,52,Sr,0,39,51,Y,30.0,0.00286768,7.76503e-06,7.91158e-05,5.03908e-07,2026-04-15
38,52,Sr,0,39,51,Y,31.0,0.00286547,7.75001e-06,8.41147e-05,5.35055e-07,2026-04-15
38,52,Sr,0,39,51,Y,32.0,0.00286331,7.73516e-06,8.92431e-05,5.66941e-07,2026-04-15
38,52,Sr,0,39,51,Y,33.0,0.00286117,7.7205e-06,9.44991e-05,5.99551e-07,2026-04-15
38,52,Sr,0,39,51,Y,34.0,0.00285908,7.70601e-06,9.98807e-05,6.32869e-07,2026-04-15
38,52,Sr,0,39,51,Y,35.0,0.00285701,7.69168e-06,0.000105386,6.66879e-07,2026-04-15
38,52,Sr,0,39,51,Y,36.0,0.00285498,7.67752e-06,0.000111013,7.01565e-07,2026-04-15
38,52,Sr,0,39,51,Y,37.0,0.00285297,7.66352e-06,0.000116759,7.36912e-07,2026-04-15
38,52,Sr,0,39,51,Y,38.0,0.00285099,7.64966e-06,0.000122624,7.72904e-07,2026-04-15
38,52,Sr,0,39,51,Y,39.0,0.00284904,7.63595e-06,0.000128604,8.09526e-07,2026-04-15
38,52,Sr,0,39,51,Y,40.0,0.00284712,7.62238e-06,0.000134698,8.46763e-07,2026-04-15
38,52,Sr,0,39,51,Y,41.0,0.00284522,7.60895e-06,0.000140904,8.84601e-07,2026-04-15
38,52,Sr,0,39,51,Y,42.0,0.00284334,7.59564e-06,0.000147221,9.23024e-07,2026-04-15
38,52,Sr,0,39,51,Y,43.0,0.00284148,7.58246e-06,0.000153646,9.62018e-07,2026-04-15
38,52,Sr,0,39,51,Y,44.0,0.00283965,7.5694e-06,0.000160177,1.00157e-06,2026-04-15
38,52,Sr,0,39,51,Y,45.0,0.00283784,7.55646e-06,0.000166814,1.04166e-06,2026-04-15
38,52,Sr,0,39,51,Y,46.0,0.00283604,7.54362e-06,0.000173553,1.08228e-06,2026-04-15
38,52,Sr,0,39,51,Y,47.0,0.00283426,7.5309e-06,0.000180393,1.12342e-06,2026-04-15
38,52,Sr,0,39,51,Y,48.0,0.0028325,7.51827e-06,0.000187333,1.16505e-06,2026-04-15
38,52,Sr,0,39,51,Y,49.0,0.00283076,7.50574e-06,0.00019437,1.20717e-06,2026-04-15
38,52,Sr,0,39,51,Y,50.0,0.00282903,7.4933e-06,0.000201503,1.24977e-06,2026-04-15
38,52,Sr,0,39,51,Y,51.0,0.00282731,7.48095e-06,0.00020873,1.29282e-06,2026-04-15
38,52,Sr,0,39,51,Y,52.0,0.00282561,7.46868e-06,0.00021605,1.33632e-06,2026-04-15
38,52,Sr,0,39,51,Y,53.0,0.00282392,7.45649e-06,0.00022346,1.38025e-06,2026-04-15
38,52,Sr,0,39,51,Y,54.0,0.00282224,7.44438e-06,0.00023096,1.4246e-06,2026-04-15
38,52,Sr,0,39,51,Y,55.0,0.00282058,7.43234e-06,0.000238546,1.46936e-06,2026-04-15
38,52,Sr,0,39,51,Y,56.0,0.00281892,7.42036e-06,0.000246219,1.51452e-06,2026-04-15
38,52,Sr,0,39,51,Y,57.0,0.00281727,7.40845e-06,0.000253975,1.56006e-06,2026-04-15
38,52,Sr,0,39,51,Y,58.0,0.00281564,7.3966e-06,0.000261814,1.60596e-06,2026-04-15
38,52,Sr,0,39,51,Y,59.0,0.00281401,7.38481e-06,0.000269733,1.65222e-06,2026-04-15
38,52,Sr,0,39,51,Y,60.0,0.00281238,7.37307e-06,0.000277732,1.69883e-06,2026-04-15
38,52,Sr,0,39,51,Y,61.0,0.00281077,7.36138e-06,0.000285809,1.74577e-06,2026-04-15
38,52,Sr,0,39,51,Y,62.0,0.00280916,7.34973e-06,0.000293961,1.79303e-06,2026-04-15
38,52,Sr,0,39,51,Y,63.0,0.00280756,7.33812e-06,0.000302188,1.8406e-06,2026-04-15
38,52,Sr,0,39,51,Y,64.0,0.00280596,7.32656e-06,0.000310488,1.88847e-06,2026-04-15
38,52,Sr,0,39,51,Y,65.0,0.00280437,7.31502e-06,0.000318859,1.93662e-06,2026-04-15
38,52,Sr,0,39,51,Y,66.0,0.00280278,7.30352e-06,0.0003273,1.98505e-06,2026-04-15
38,52,Sr,0,39,51,Y,67.0,0.00280119,7.29204e-06,0.000335809,2.03375e-06,2026-04-15
38,52,Sr,0,39,51,Y,68.0,0.00279961,7.28059e-06,0.000344385,2.08269e-06,2026-04-15
38,52,Sr,0,39,51,Y,69.0,0.00279803,7.26917e-06,0.000353027,2.13187e-06,2026-04-15
38,52,Sr,0,39,51,Y,70.0,0.00279646,7.25775e-06,0.000361732,2.18129e-06,2026-04-15
38,52,Sr,0,39,51,Y,71.0,0.00279488,7.24636e-06,0.0003705,2.23093e-06,2026-04-15
38,52,Sr,0,39,51,Y,72.0,0.00279331,7.23497e-06,0.000379329,2.28077e-06,2026-04-15
38,52,Sr,0,39,51,Y,73.0,0.00279174,7.22359e-06,0.000388217,2.33082e-06,2026-04-15
38,52,Sr,0,39,51,Y,74.0,0.00279017,7.21222e-06,0.000397164,2.38105e-06,2026-04-15
38,52,Sr,0,39,51,Y,75.0,0.00278859,7.20085e-06,0.000406167,2.43146e-06,2026-04-15
38,52,Sr,0,39,51,Y,76.0,0.00278702,7.18947e-06,0.000415226,2.48203e-06,2026-04-15
38,52,Sr,0,39,51,Y,77.0,0.00278545,7.17809e-06,0.000424339,2.53277e-06,2026-04-15
38,52,Sr,0,39,51,Y,78.0,0.00278388,7.16671e-06,0.000433504,2.58365e-06,2026-04-15
38,52,Sr,0,39,51,Y,79.0,0.0027823,7.15531e-06,0.000442721,2.63468e-06,2026-04-15
38,52,Sr,0,39,51,Y,80.0,0.00278073,7.1439e-06,0.000451988,2.68583e-06,2026-04-15
38,52,Sr,0,39,51,Y,81.0,0.00277915,7.13247e-06,0.000461303,2.7371e-06,2026-04-15
38,52,Sr,0,39,51,Y,82.0,0.00277757,7.12102e-06,0.000470666,2.78848e-06,2026-04-15
38,52,Sr,0,39,51,Y,83.0,0.00277599,7.10955e-06,0.000480074,2.83996e-06,2026-04-15
38,52,Sr,0,39,51,Y,84.0,0.0027744,7.09805e-06,0.000489527,2.89153e-06,2026-04-15
38,52,Sr,0,39,51,Y,85.0,0.00277281,7.08652e-06,0.000499024,2.94319e-06,2026-04-15
38,52,Sr,0,39,51,Y,86.0,0.00277122,7.07496e-06,0.000508563,2.99492e-06,2026-04-15
38,52,Sr,0,39,51,Y,87.0,0.00276962,7.06336e-06,0.000518143,3.04671e-06,2026-04-15
38,52,Sr,0,39,51,Y,88.0,0.00276802,7.05173e-06,0.000527763,3.09856e-06,2026-04-15
38,52,Sr,0,39,51,Y,89.0,0.00276641,7.04005e-06,0.000537421,3.15046e-06,2026-04-15
38,52,Sr,0,39,51,Y,90.0,0.0027648,7.02833e-06,0.000547116,3.2024e-06,2026-04-15
38,52,Sr,0,39,51,Y,91.0,0.00276319,7.01656e-06,0.000556848,3.25436e-06,2026-04-15
38,52,Sr,0,39,51,Y,92.0,0.00276157,7.00475e-06,0.000566614,3.30635e-06,2026-04-15
38,52,Sr,0,39,51,Y,93.0,0.00275994,6.99287e-06,0.000576414,3.35836e-06,2026-04-15
38,52,Sr,0,39,51,Y,94.0,0.00275831,6.98095e-06,0.000586246,3.41037e-06,2026-04-15
38,52,Sr,0,39,51,Y,95.0,0.00275668,6.96896e-06,0.00059611,3.46238e-06,2026-04-15
38,52,Sr,0,39,51,Y,96.0,0.00275503,6.95691e-06,0.000606004,3.51438e-06,2026-04-15
38,52,Sr,0,39,51,Y,97.0,0.00275338,6.9448e-06,0.000615928,3.56637e-06,2026-04-15
38,52,Sr,0,39,51,Y,98.0,0.00275173,6.93261e-06,0.000625879,3.61833e-06,2026-04-15
38,52,Sr,0,39,51,Y,99.0,0.00275006,6.92036e-06,0.000635857,3.67026e-06,2026-04-15
38,52,Sr,0,39,51,Y,100.0,0.00274839,6.90803e-06,0.000645861,3.72215e-06,2026-04-15
38,52,Sr,0,39,51,Y,101.0,0.00274671,6.89563e-06,0.000655889,3.77399e-06,2026-04-15
38,52,Sr,0,39,51,Y,102.0,0.00274503,6.88314e-06,0.000665942,3.82578e-06,2026-04-15
38,52,Sr,0,39,51,Y,103.0,0.00274333,6.87058e-06,0.000676016,3.87752e-06,2026-04-15
38,52,Sr,0,39,51,Y,104.0,0.00274163,6.85792e-06,0.000686113,3.92918e-06,2026-04-15
38,52,Sr,0,39,51,Y,105.0,0.00273992,6.84518e-06,0.000696229,3.98077e-06,2026-04-15
38,52,Sr,0,39,51,Y,106.0,0.0027382,6.83235e-06,0.000706366,4.03228e-06,2026-04-15
38,52,Sr,0,39,51,Y,107.0,0.00273647,6.81942e-06,0.00071652,4.0837e-06,2026-04-15
38,52,Sr,0,39,51,Y,108.0,0.00273474,6.8064e-06,0.000726692,4.13503e-06,2026-04-15
38,52,Sr,0,39,51,Y,109.0,0.00273299,6.79327e-06,0.000736881,4.18625e-06,2026-04-15
38,52,Sr,0,39,51,Y,110.0,0.00273124,6.78005e-06,0.000747085,4.23738e-06,2026-04-15
38,52,Sr,0,39,51,Y,111.0,0.00272947,6.76671e-06,0.000757303,4.28838e-06,2026-04-15
38,52,Sr,0,39,51,Y,112.0,0.0027277,6.75327e-06,0.000767535,4.33927e-06,2026-04-15
