p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
39,51,Y,0.0,40,50,Zr,0.0,0.000344926,4.63686e-07,0.0,0.0,2026-04-15
39,51,Y,0.0,40,50,Zr,0.3,0.000345107,4.63821e-07,3.06439e-10,7.972e-13,2026-04-15
39,51,Y,0.0,40,50,Zr,0.6,0.000345288,4.63957e-07,1.03017e-09,2.5961e-12,2026-04-15
39,51,Y,0.0,40,50,Zr,0.9,0.000345469,4.64094e-07,2.17119e-09,5.3965e-12,2026-04-15
39,51,Y,0.0,40,50,Zr,1.2,0.000345649,4.6423e-07,3.7295e-09,9.1986e-12,2026-04-15
39,51,Y,0.0,40,50,Zr,1.7,0.00034595,4.64458e-07,7.25399e-09,1.77612e-11,2026-04-15
39,51,Y,0.0,40,50,Zr,2.2,0.00034625,4.64687e-07,1.19376e-08,2.91061e-11,2026-04-15
39,51,Y,0.0,40,50,Zr,2.7,0.00034655,4.64916e-07,1.77802e-08,4.32331e-11,2026-04-15
39,51,Y,0.0,40,50,Zr,3.2,0.000346851,4.65147e-07,2.47818e-08,6.01424e-11,2026-04-15
39,51,Y,0.0,40,50,Zr,3.7,0.000347152,4.65378e-07,3.29423e-08,7.98339e-11,2026-04-15
39,51,Y,0.0,40,50,Zr,4.2,0.000347454,4.65609e-07,4.22617e-08,1.02308e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,4.7,0.000347757,4.65842e-07,5.274e-08,1.27564e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,5.2,0.00034806,4.66075e-07,6.4377e-08,1.55602e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,5.7,0.000348364,4.66308e-07,7.71728e-08,1.86422e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,6.2,0.000348669,4.66543e-07,9.11273e-08,2.20025e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,6.7,0.000348975,4.66778e-07,1.06241e-07,2.5641e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,7.2,0.000349281,4.67014e-07,1.22512e-07,2.95577e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,7.7,0.000349588,4.67251e-07,1.39943e-07,3.37527e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,8.2,0.000349896,4.67489e-07,1.58532e-07,3.82258e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,8.7,0.000350205,4.67727e-07,1.78279e-07,4.29772e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,9.2,0.000350514,4.67966e-07,1.99185e-07,4.80068e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,9.7,0.000350825,4.68205e-07,2.21249e-07,5.33147e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,10.0,0.000351011,4.68349e-07,2.35044e-07,5.66329e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,11.0,0.000351635,4.68832e-07,2.84037e-07,6.84171e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,12.0,0.000352262,4.69317e-07,3.37663e-07,8.13142e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,13.0,0.000352892,4.69805e-07,3.95922e-07,9.53242e-10,2026-04-15
39,51,Y,0.0,40,50,Zr,14.0,0.000353525,4.70296e-07,4.58814e-07,1.10447e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,15.0,0.000354161,4.7079e-07,5.25786e-07,1.26516e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,16.0,0.000354801,4.71287e-07,5.97253e-07,1.43656e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,17.0,0.000355443,4.71787e-07,6.73213e-07,1.61868e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,18.0,0.000356089,4.72289e-07,7.53666e-07,1.8115e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,19.0,0.000356738,4.72795e-07,8.38612e-07,2.01504e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,20.0,0.00035739,4.73303e-07,9.28051e-07,2.22929e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,21.0,0.000358045,4.73815e-07,1.02198e-06,2.45425e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,22.0,0.000358707,4.74335e-07,1.11986e-06,2.68829e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,23.0,0.000359374,4.74859e-07,1.2221e-06,2.93263e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,24.0,0.000360045,4.75387e-07,1.32869e-06,3.18728e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,25.0,0.00036072,4.75919e-07,1.43964e-06,3.45224e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,26.0,0.0003614,4.76456e-07,1.55494e-06,3.72749e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,27.0,0.000362083,4.76997e-07,1.6746e-06,4.01305e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,28.0,0.000362771,4.77542e-07,1.79861e-06,4.30892e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,29.0,0.000363462,4.78089e-07,1.92644e-06,4.61349e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,30.0,0.000364156,4.7864e-07,2.0585e-06,4.92796e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,31.0,0.000364853,4.79194e-07,2.19478e-06,5.25234e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,32.0,0.000365555,4.79752e-07,2.33527e-06,5.58662e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,33.0,0.00036626,4.80314e-07,2.47999e-06,5.9308e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,34.0,0.000366969,4.80879e-07,2.62893e-06,6.28489e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,35.0,0.000367682,4.81448e-07,2.78209e-06,6.64889e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,36.0,0.000368396,4.82016e-07,2.93894e-06,7.02122e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,37.0,0.000369113,4.82587e-07,3.09988e-06,7.40307e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,38.0,0.000369832,4.8316e-07,3.26492e-06,7.79443e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,39.0,0.000370555,4.83735e-07,3.43403e-06,8.19531e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,40.0,0.000371281,4.84313e-07,3.60724e-06,8.6057e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,41.0,0.00037201,4.84894e-07,3.78453e-06,9.0256e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,42.0,0.000372741,4.85477e-07,3.96591e-06,9.45501e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,43.0,0.000373473,4.86058e-07,4.15087e-06,9.89241e-09,2026-04-15
39,51,Y,0.0,40,50,Zr,44.0,0.000374206,4.86641e-07,4.33978e-06,1.03389e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,45.0,0.000374942,4.87225e-07,4.53265e-06,1.07946e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,46.0,0.00037568,4.8781e-07,4.72947e-06,1.12594e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,47.0,0.00037642,4.88397e-07,4.93025e-06,1.17333e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,48.0,0.000377162,4.88985e-07,5.13499e-06,1.22164e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,49.0,0.000377907,4.89574e-07,5.34369e-06,1.27086e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,50.0,0.00037865,4.90161e-07,5.55584e-06,1.32084e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,51.0,0.000379396,4.90749e-07,5.77182e-06,1.3717e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,52.0,0.000380142,4.91337e-07,5.99163e-06,1.42343e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,53.0,0.000380891,4.91926e-07,6.21528e-06,1.47604e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,54.0,0.00038164,4.92515e-07,6.44275e-06,1.52952e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,55.0,0.000382391,4.93104e-07,6.67405e-06,1.58388e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,56.0,0.000383144,4.93694e-07,6.90918e-06,1.63912e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,57.0,0.000383896,4.94282e-07,7.14764e-06,1.69508e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,58.0,0.000384649,4.94869e-07,7.38981e-06,1.75189e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,59.0,0.000385403,4.95455e-07,7.63568e-06,1.80953e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,60.0,0.000386158,4.96042e-07,7.88526e-06,1.86801e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,61.0,0.000386913,4.96628e-07,8.13854e-06,1.92733e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,62.0,0.00038767,4.97214e-07,8.39552e-06,1.98749e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,63.0,0.000388428,4.97799e-07,8.65621e-06,2.04849e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,64.0,0.000389184,4.98382e-07,8.92012e-06,2.11018e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,65.0,0.000389941,4.98964e-07,9.18761e-06,2.17268e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,66.0,0.000390698,4.99546e-07,9.45868e-06,2.23599e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,67.0,0.000391456,5.00126e-07,9.73333e-06,2.30009e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,68.0,0.000392214,5.00705e-07,1.00116e-05,2.365e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,69.0,0.000392973,5.01284e-07,1.02934e-05,2.43071e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,70.0,0.000393732,5.01862e-07,1.05788e-05,2.49723e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,71.0,0.00039449,5.02436e-07,1.08673e-05,2.5644e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,72.0,0.000395249,5.0301e-07,1.11592e-05,2.63235e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,73.0,0.000396007,5.03582e-07,1.14547e-05,2.70107e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,74.0,0.000396766,5.04152e-07,1.17536e-05,2.77055e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,75.0,0.000397524,5.04721e-07,1.20559e-05,2.8408e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,76.0,0.000398283,5.05289e-07,1.23617e-05,2.91182e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,77.0,0.000399042,5.05856e-07,1.2671e-05,2.98361e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,78.0,0.000399799,5.06419e-07,1.29832e-05,3.05603e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,79.0,0.000400557,5.06981e-07,1.32988e-05,3.12918e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,80.0,0.000401314,5.07541e-07,1.36177e-05,3.20307e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,81.0,0.000402071,5.081e-07,1.394e-05,3.27769e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,82.0,0.000402828,5.08657e-07,1.42657e-05,3.35305e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,83.0,0.000403585,5.09212e-07,1.45946e-05,3.42914e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,84.0,0.000404341,5.09765e-07,1.49269e-05,3.50596e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,85.0,0.000405097,5.10315e-07,1.52621e-05,3.58338e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,86.0,0.000405851,5.10863e-07,1.56005e-05,3.66151e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,87.0,0.000406606,5.1141e-07,1.59422e-05,3.74033e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,88.0,0.00040736,5.11954e-07,1.6287e-05,3.81986e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,89.0,0.000408113,5.12496e-07,1.66351e-05,3.90009e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,90.0,0.000408866,5.13037e-07,1.69864e-05,3.98102e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,91.0,0.000409619,5.13575e-07,1.7341e-05,4.06264e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,92.0,0.00041037,5.1411e-07,1.76982e-05,4.14484e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,93.0,0.000411121,5.14643e-07,1.80583e-05,4.22771e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,94.0,0.000411872,5.15174e-07,1.84218e-05,4.31125e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,95.0,0.000412621,5.15703e-07,1.87885e-05,4.39545e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,96.0,0.00041337,5.1623e-07,1.91582e-05,4.48032e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,97.0,0.000414119,5.16754e-07,1.95311e-05,4.56586e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,98.0,0.000414867,5.17276e-07,1.99071e-05,4.65207e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,99.0,0.000415613,5.17795e-07,2.02858e-05,4.73882e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,100.0,0.000416359,5.18312e-07,2.06674e-05,4.8262e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,107.0,0.000421555,5.21859e-07,2.34222e-05,5.45542e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,114.0,0.000426706,5.2528e-07,2.6317e-05,6.11386e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,121.0,0.000431806,5.2857e-07,2.93468e-05,6.80005e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,128.0,0.000436851,5.31725e-07,3.25064e-05,7.51253e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,135.0,0.000441838,5.34743e-07,3.57909e-05,8.2499e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,142.0,0.000446765,5.37623e-07,3.91953e-05,9.01079e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,149.0,0.000451629,5.40363e-07,4.27148e-05,9.79387e-08,2026-04-15
39,51,Y,0.0,40,50,Zr,156.0,0.000456427,5.42962e-07,4.63446e-05,1.05978e-07,2026-04-15
39,51,Y,0.0,40,50,Zr,163.0,0.000461159,5.4542e-07,5.00803e-05,1.14214e-07,2026-04-15
39,51,Y,0.0,40,50,Zr,170.0,0.000465823,5.47739e-07,5.39171e-05,1.22633e-07,2026-04-15
39,51,Y,0.0,40,50,Zr,177.0,0.000470418,5.49916e-07,5.78509e-05,1.31224e-07,2026-04-15
39,51,Y,0.0,40,50,Zr,184.0,0.000474943,5.51956e-07,6.1877e-05,1.39975e-07,2026-04-15
39,51,Y,0.0,40,50,Zr,191.0,0.000479398,5.53856e-07,6.59915e-05,1.48874e-07,2026-04-15
39,51,Y,0.0,40,50,Zr,198.0,0.000483782,5.55619e-07,7.01901e-05,1.57911e-07,2026-04-15
39,51,Y,0.0,40,50,Zr,205.0,0.000488094,5.57247e-07,7.44687e-05,1.67074e-07,2026-04-15
39,51,Y,0.0,40,50,Zr,212.0,0.000492334,5.5874e-07,7.88235e-05,1.76353e-07,2026-04-15
39,51,Y,0.0,40,50,Zr,219.0,0.000496502,5.60101e-07,8.32504e-05,1.85739e-07,2026-04-15
39,51,Y,0.0,40,50,Zr,226.0,0.000500597,5.6133e-07,8.77458e-05,1.95219e-07,2026-04-15
