p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
43,56,Tc,0.0,44,55,Ru,0.0,0.00671459,1.8789e-05,0.0,0.0,2026-04-15
43,56,Tc,0.0,44,55,Ru,0.6,0.00669934,1.87335e-05,1.59286e-07,2.08642e-09,2026-04-15
43,56,Tc,0.0,44,55,Ru,1.2,0.00668413,1.86784e-05,6.31543e-07,8.25922e-09,2026-04-15
43,56,Tc,0.0,44,55,Ru,1.8,0.00666897,1.86237e-05,1.41677e-06,1.85184e-08,2026-04-15
43,56,Tc,0.0,44,55,Ru,2.4,0.00665385,1.85694e-05,2.50801e-06,3.27567e-08,2026-04-15
43,56,Tc,0.0,44,55,Ru,3.0,0.00663877,1.85155e-05,3.90389e-06,5.09532e-08,2026-04-15
43,56,Tc,0.0,44,55,Ru,3.6,0.00662372,1.8462e-05,5.60031e-06,7.30444e-08,2026-04-15
43,56,Tc,0.0,44,55,Ru,4.2,0.00660872,1.84089e-05,7.59181e-06,9.89469e-08,2026-04-15
43,56,Tc,0.0,44,55,Ru,4.8,0.00659376,1.83561e-05,9.87706e-06,1.2864e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,5.4,0.00657885,1.83037e-05,1.2452e-05,1.62061e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,6.0,0.00656397,1.82517e-05,1.53114e-05,1.9913e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,6.6,0.00654914,1.82e-05,1.84538e-05,2.39826e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,7.2,0.00653435,1.81486e-05,2.18754e-05,2.84087e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,7.8,0.00651961,1.80977e-05,2.55709e-05,3.31836e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,8.4,0.0065049,1.80471e-05,2.95391e-05,3.83052e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,9.0,0.00649024,1.79967e-05,3.3776e-05,4.37675e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,9.6,0.00647563,1.79468e-05,3.82765e-05,4.95629e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,10.0,0.00646593,1.79137e-05,4.14233e-05,5.36116e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,10.9,0.00644415,1.78397e-05,4.89224e-05,6.32473e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,11.8,0.00642249,1.77664e-05,5.69939e-05,7.36004e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,12.7,0.00640095,1.76939e-05,6.56264e-05,8.46539e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,13.6,0.00637952,1.7622e-05,7.4809e-05,9.63911e-07,2026-04-15
43,56,Tc,0.0,44,55,Ru,14.5,0.00635823,1.75509e-05,8.45308e-05,1.08796e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,15.4,0.00633705,1.74803e-05,9.47811e-05,1.21851e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,16.3,0.00631599,1.74105e-05,0.000105549,1.35541e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,17.2,0.00629507,1.73413e-05,0.000116825,1.4985e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,18.1,0.00627427,1.72725e-05,0.000128597,1.64762e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,19.0,0.0062536,1.72045e-05,0.000140856,1.80263e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,19.9,0.00623306,1.71371e-05,0.000153591,1.96335e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,20.8,0.00621265,1.707e-05,0.000166793,2.12966e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,21.7,0.00619235,1.70036e-05,0.00018045,2.30138e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,22.6,0.00617219,1.69376e-05,0.000194555,2.47839e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,23.5,0.00615215,1.68721e-05,0.000209096,2.66053e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,24.4,0.00613224,1.6807e-05,0.000224064,2.84767e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,25.3,0.00611244,1.67423e-05,0.000239451,3.03965e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,26.2,0.00609276,1.6678e-05,0.000255246,3.23634e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,27.1,0.00607321,1.66141e-05,0.00027144,3.4376e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,28.0,0.00605376,1.65504e-05,0.000288023,3.6433e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,28.9,0.00603443,1.64869e-05,0.000304988,3.8533e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,29.8,0.00601522,1.64239e-05,0.000322324,4.06748e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,30.7,0.0059961,1.6361e-05,0.000340024,4.28569e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,31.6,0.0059771,1.62983e-05,0.000358077,4.50783e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,32.5,0.00595819,1.62357e-05,0.000376477,4.73374e-06,2026-04-15
43,56,Tc,0.0,44,55,Ru,33.4,0.00593939,1.61733e-05,0.000395214,4.96332e-06,2026-04-15
