p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
36	52	Kr	0	37	51	Rb	0	0.0027042	9.00303E-05	0	0	19/07/2024
36	52	Kr	0	37	51	Rb	0.4	0.00273388	9.09819E-05	7.68056E-09	2.39296E-10	19/07/2024
36	52	Kr	0	37	51	Rb	0.8	0.00275756	9.17777E-05	3.05266E-08	9.52511E-10	19/07/2024
36	52	Kr	0	37	51	Rb	1.2	0.00277524	9.24177E-05	6.85319E-08	2.13964E-09	19/07/2024
36	52	Kr	0	37	51	Rb	1.7	0.0027909	9.29985E-05	1.37347E-07	4.29001E-09	19/07/2024
36	52	Kr	0	37	51	Rb	2.2	0.00279987	9.33359E-05	2.2977E-07	7.17877E-09	19/07/2024
36	52	Kr	0	37	51	Rb	2.7	0.00280231	9.34299E-05	3.4568E-07	1.08018E-08	19/07/2024
36	52	Kr	0	37	51	Rb	3.2	0.00280092	9.33812E-05	4.85057E-07	1.51589E-08	19/07/2024
36	52	Kr	0	37	51	Rb	3.7	0.00280093	9.33866E-05	6.47779E-07	2.02459E-08	19/07/2024
36	52	Kr	0	37	51	Rb	4.2	0.00280035	9.33714E-05	8.33816E-07	2.60626E-08	19/07/2024
36	52	Kr	0	37	51	Rb	4.7	0.00279989	9.33614E-05	1.04303E-06	3.26048E-08	19/07/2024
36	52	Kr	0	37	51	Rb	5.2	0.00279929	9.33473E-05	1.27542E-06	3.98724E-08	19/07/2024
36	52	Kr	0	37	51	Rb	5.7	0.00279867	9.33335E-05	1.53086E-06	4.78612E-08	19/07/2024
36	52	Kr	0	37	51	Rb	6.2	0.002798	9.33184E-05	1.80932E-06	5.65709E-08	19/07/2024
36	52	Kr	0	37	51	Rb	6.7	0.00279735	9.33026E-05	2.11067E-06	6.59976E-08	19/07/2024
36	52	Kr	0	37	51	Rb	7.2	0.00279666	9.32859E-05	2.4349E-06	7.61409E-08	19/07/2024
36	52	Kr	0	37	51	Rb	7.7	0.00279595	9.32684E-05	2.78189E-06	8.69969E-08	19/07/2024
36	52	Kr	0	37	51	Rb	8.2	0.00279522	9.32501E-05	3.15161E-06	9.85653E-08	19/07/2024
36	52	Kr	0	37	51	Rb	8.7	0.00279446	9.32308E-05	3.54391E-06	1.10842E-07	19/07/2024
36	52	Kr	0	37	51	Rb	9.2	0.00279368	9.32108E-05	3.9588E-06	1.23826E-07	19/07/2024
36	52	Kr	0	37	51	Rb	9.7	0.00279288	9.31903E-05	4.39615E-06	1.37514E-07	19/07/2024
36	52	Kr	0	37	51	Rb	10	0.0027924	9.31777E-05	4.66937E-06	1.46066E-07	19/07/2024
36	52	Kr	0	37	51	Rb	11	0.00279072	9.31337E-05	5.63802E-06	1.7639E-07	19/07/2024
36	52	Kr	0	37	51	Rb	12	0.00278899	9.30877E-05	6.6956E-06	2.09502E-07	19/07/2024
36	52	Kr	0	37	51	Rb	13	0.00278722	9.30405E-05	7.84144E-06	2.45386E-07	19/07/2024
36	52	Kr	0	37	51	Rb	14	0.00278542	0.000092992	9.07504E-06	2.84024E-07	19/07/2024
36	52	Kr	0	37	51	Rb	15	0.00278362	9.29432E-05	1.03958E-05	3.25398E-07	19/07/2024
36	52	Kr	0	37	51	Rb	16	0.00278181	9.28944E-05	1.18031E-05	3.69494E-07	19/07/2024
36	52	Kr	0	37	51	Rb	17	0.00278	9.28456E-05	1.32963E-05	4.1629E-07	19/07/2024
36	52	Kr	0	37	51	Rb	18	0.0027782	9.27967E-05	0.000014875	4.65774E-07	19/07/2024
36	52	Kr	0	37	51	Rb	19	0.00277642	9.27483E-05	1.65385E-05	5.17929E-07	19/07/2024
36	52	Kr	0	37	51	Rb	20	0.00277465	9.27007E-05	1.82864E-05	5.72735E-07	19/07/2024
36	52	Kr	0	37	51	Rb	21	0.0027729	9.26531E-05	2.01177E-05	6.30175E-07	19/07/2024
36	52	Kr	0	37	51	Rb	22	0.00277118	9.26066E-05	2.20323E-05	6.90233E-07	19/07/2024
36	52	Kr	0	37	51	Rb	23	0.00276947	9.25607E-05	2.40294E-05	7.5289E-07	19/07/2024
36	52	Kr	0	37	51	Rb	24	0.0027678	9.25155E-05	2.61085E-05	8.18138E-07	19/07/2024
36	52	Kr	0	37	51	Rb	25	0.00276613	9.24707E-05	0.000028269	8.85947E-07	19/07/2024
36	52	Kr	0	37	51	Rb	26	0.0027645	9.24267E-05	3.05104E-05	9.56313E-07	19/07/2024
36	52	Kr	0	37	51	Rb	27	0.00276287	9.23831E-05	3.28321E-05	1.02921E-06	19/07/2024
36	52	Kr	0	37	51	Rb	28	0.00276128	9.23403E-05	3.52333E-05	1.10462E-06	19/07/2024
36	52	Kr	0	37	51	Rb	29	0.00275969	9.22975E-05	3.77138E-05	1.18254E-06	19/07/2024
36	52	Kr	0	37	51	Rb	30	0.00275812	9.22556E-05	4.02729E-05	1.26294E-06	19/07/2024
36	52	Kr	0	37	51	Rb	31	0.00275657	0.000092214	4.29099E-05	1.34581E-06	19/07/2024
36	52	Kr	0	37	51	Rb	32	0.00275503	9.21724E-05	4.56245E-05	1.43113E-06	19/07/2024
36	52	Kr	0	37	51	Rb	33	0.0027535	9.21313E-05	4.84159E-05	1.51888E-06	19/07/2024
36	52	Kr	0	37	51	Rb	34	0.00275197	9.20901E-05	5.12837E-05	1.60905E-06	19/07/2024
36	52	Kr	0	37	51	Rb	35	0.00275046	9.20493E-05	5.42274E-05	1.70162E-06	19/07/2024
36	52	Kr	0	37	51	Rb	36	0.00274895	9.20086E-05	5.72463E-05	1.79658E-06	19/07/2024
36	52	Kr	0	37	51	Rb	37	0.00274744	9.19678E-05	6.03399E-05	1.89391E-06	19/07/2024
36	52	Kr	0	37	51	Rb	38	0.00274592	9.19267E-05	6.35075E-05	1.99358E-06	19/07/2024
36	52	Kr	0	37	51	Rb	39	0.00274441	9.18855E-05	6.67488E-05	2.0956E-06	19/07/2024
36	52	Kr	0	37	51	Rb	40	0.0027429	9.18443E-05	7.00631E-05	2.19993E-06	19/07/2024
36	52	Kr	0	37	51	Rb	41	0.0027414	9.18032E-05	7.34499E-05	2.30657E-06	19/07/2024
