p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
93	146	Np	0	94	145	Pu	0	0.00606429	9.29381E-05	0	0	10/07/2024
93	146	Np	0	94	145	Pu	0.5	0.00604428	9.26977E-05	2.56166E-08	3.73821E-10	10/07/2024
93	146	Np	0	94	145	Pu	1	0.00603212	9.25574E-05	1.02146E-07	1.49048E-09	10/07/2024
93	146	Np	0	94	145	Pu	1.5	0.00602781	9.25171E-05	2.29586E-07	3.34997E-09	10/07/2024
93	146	Np	0	94	145	Pu	2	0.00603135	9.25769E-05	4.07918E-07	5.95229E-09	10/07/2024
93	146	Np	0	94	145	Pu	2.5	0.00604131	9.27367E-05	6.36795E-07	9.29206E-09	10/07/2024
93	146	Np	0	94	145	Pu	3	0.00605728	9.29965E-05	9.16318E-07	1.33711E-08	10/07/2024
93	146	Np	0	94	145	Pu	3.5	0.00606534	9.31324E-05	1.24614E-06	1.81839E-08	10/07/2024
93	146	Np	0	94	145	Pu	4	0.0060702	9.32189E-05	1.62635E-06	2.37323E-08	10/07/2024
93	146	Np	0	94	145	Pu	4.5	0.00607295	9.32735E-05	2.05661E-06	3.00111E-08	10/07/2024
93	146	Np	0	94	145	Pu	5	0.00607327	9.32904E-05	2.53701E-06	3.70218E-08	10/07/2024
93	146	Np	0	94	145	Pu	5.5	0.00607246	9.32905E-05	3.06721E-06	4.47593E-08	10/07/2024
93	146	Np	0	94	145	Pu	6	0.00607012	0.000093267	3.64732E-06	5.32251E-08	10/07/2024
93	146	Np	0	94	145	Pu	6.5	0.00606707	9.32325E-05	4.27696E-06	6.2414E-08	10/07/2024
93	146	Np	0	94	145	Pu	7	0.00606303	9.31828E-05	4.95625E-06	7.23277E-08	10/07/2024
93	146	Np	0	94	145	Pu	7.5	0.00605851	9.31259E-05	5.68484E-06	8.2961E-08	10/07/2024
93	146	Np	0	94	145	Pu	8	0.00605335	9.30591E-05	6.46284E-06	9.43156E-08	10/07/2024
93	146	Np	0	94	145	Pu	8.5	0.00604784	9.29869E-05	7.28988E-06	1.06386E-07	10/07/2024
93	146	Np	0	94	145	Pu	9	0.00604188	9.29079E-05	8.16608E-06	1.19174E-07	10/07/2024
93	146	Np	0	94	145	Pu	9.5	0.00603566	9.28249E-05	9.09108E-06	1.32675E-07	10/07/2024
93	146	Np	0	94	145	Pu	10	0.00602911	9.27369E-05	0.000010065	1.46889E-07	10/07/2024
93	146	Np	0	94	145	Pu	11	0.00601538	0.000092551	1.21586E-05	1.77447E-07	10/07/2024
93	146	Np	0	94	145	Pu	12	0.00600091	0.000092354	1.44458E-05	2.10832E-07	10/07/2024
93	146	Np	0	94	145	Pu	13	0.00598585	9.21477E-05	1.69258E-05	2.47031E-07	10/07/2024
93	146	Np	0	94	145	Pu	14	0.00597031	9.19343E-05	1.95974E-05	2.86029E-07	10/07/2024
93	146	Np	0	94	145	Pu	15	0.00595436	9.17146E-05	2.24598E-05	3.27813E-07	10/07/2024
93	146	Np	0	94	145	Pu	16	0.00593808	9.14898E-05	2.55118E-05	3.72367E-07	10/07/2024
93	146	Np	0	94	145	Pu	17	0.00592149	9.12603E-05	2.87526E-05	4.19677E-07	10/07/2024
93	146	Np	0	94	145	Pu	18	0.00590465	0.000091027	3.21813E-05	4.69732E-07	10/07/2024
93	146	Np	0	94	145	Pu	19	0.00588759	9.07904E-05	3.57966E-05	5.22514E-07	10/07/2024
93	146	Np	0	94	145	Pu	20	0.00587031	9.05505E-05	3.95978E-05	5.7801E-07	10/07/2024
93	146	Np	0	94	145	Pu	21	0.00585286	9.03079E-05	4.35838E-05	6.36206E-07	10/07/2024
93	146	Np	0	94	145	Pu	22	0.00583522	9.00623E-05	4.77536E-05	6.97087E-07	10/07/2024
93	146	Np	0	94	145	Pu	23	0.00581744	8.98148E-05	5.21061E-05	7.60639E-07	10/07/2024
93	146	Np	0	94	145	Pu	24	0.00579951	8.95649E-05	5.66406E-05	8.26851E-07	10/07/2024
93	146	Np	0	94	145	Pu	25	0.00578145	8.93131E-05	6.13561E-05	8.95706E-07	10/07/2024
93	146	Np	0	94	145	Pu	26	0.00576325	8.90592E-05	6.62514E-05	9.67191E-07	10/07/2024
93	146	Np	0	94	145	Pu	27	0.00574494	8.88035E-05	7.13256E-05	1.04129E-06	10/07/2024
93	146	Np	0	94	145	Pu	28	0.00572653	8.85463E-05	7.65777E-05	1.11799E-06	10/07/2024
93	146	Np	0	94	145	Pu	29	0.00570799	8.82873E-05	8.20069E-05	1.19728E-06	10/07/2024
93	146	Np	0	94	145	Pu	30	0.00568936	8.80269E-05	8.76122E-05	1.27914E-06	10/07/2024
93	146	Np	0	94	145	Pu	31	0.00567063	8.77648E-05	9.33925E-05	1.36356E-06	10/07/2024
93	146	Np	0	94	145	Pu	32	0.00565179	8.75012E-05	9.93468E-05	1.45052E-06	10/07/2024
93	146	Np	0	94	145	Pu	33	0.00563289	8.72365E-05	0.000105474	1.54002E-06	10/07/2024
93	146	Np	0	94	145	Pu	34	0.00561387	8.69703E-05	0.000111774	1.63203E-06	10/07/2024
93	146	Np	0	94	145	Pu	35	0.00559478	8.67029E-05	0.000118245	1.72655E-06	10/07/2024
93	146	Np	0	94	145	Pu	36	0.00557562	8.64342E-05	0.000124886	1.82356E-06	10/07/2024
93	146	Np	0	94	145	Pu	37	0.00555637	8.61644E-05	0.000131696	1.92304E-06	10/07/2024
93	146	Np	0	94	145	Pu	38	0.00553703	8.58931E-05	0.000138674	2.02498E-06	10/07/2024
93	146	Np	0	94	145	Pu	39	0.00551762	8.56208E-05	0.00014582	2.12937E-06	10/07/2024
93	146	Np	0	94	145	Pu	40	0.00549815	8.53476E-05	0.000153132	2.2362E-06	10/07/2024
93	146	Np	0	94	145	Pu	41	0.0054786	8.50731E-05	0.000160609	2.34544E-06	10/07/2024
93	146	Np	0	94	145	Pu	42	0.00545897	8.47975E-05	0.000168251	2.45709E-06	10/07/2024
93	146	Np	0	94	145	Pu	43	0.00543928	8.45209E-05	0.000176056	2.57113E-06	10/07/2024
93	146	Np	0	94	145	Pu	44	0.00541952	8.42433E-05	0.000184024	2.68755E-06	10/07/2024
93	146	Np	0	94	145	Pu	45	0.00539971	0.000083965	0.000192154	2.80633E-06	10/07/2024
93	146	Np	0	94	145	Pu	46	0.00537982	8.36853E-05	0.000200444	2.92747E-06	10/07/2024
93	146	Np	0	94	145	Pu	47	0.00535987	8.34048E-05	0.000208893	3.05094E-06	10/07/2024
93	146	Np	0	94	145	Pu	48	0.00533986	8.31234E-05	0.000217501	3.17673E-06	10/07/2024
93	146	Np	0	94	145	Pu	49	0.00531979	8.28409E-05	0.000226268	3.30484E-06	10/07/2024
