p_z	p_n	p_symbol	p_energy	d_z	d_n	d_symbol	bin_en	dn_de	unc_dn_de	dn_de_nu	unc_dn_de_nu	extraction_date
39	51	Y	0	40	50	Zr	0	0.000344926	4.63686E-07	0	0	03/07/2024
39	51	Y	0	40	50	Zr	0.3	0.000345107	4.63821E-07	3.06439E-10	7.97257E-13	03/07/2024
39	51	Y	0	40	50	Zr	0.6	0.000345288	4.63957E-07	1.03017E-09	2.59612E-12	03/07/2024
39	51	Y	0	40	50	Zr	0.9	0.000345469	4.64094E-07	2.17119E-09	5.39659E-12	03/07/2024
39	51	Y	0	40	50	Zr	1.2	0.000345649	4.6423E-07	3.7295E-09	9.19866E-12	03/07/2024
39	51	Y	0	40	50	Zr	1.7	0.00034595	4.64458E-07	7.25399E-09	1.77612E-11	03/07/2024
39	51	Y	0	40	50	Zr	2.2	0.00034625	4.64687E-07	1.19376E-08	2.91061E-11	03/07/2024
39	51	Y	0	40	50	Zr	2.7	0.00034655	4.64916E-07	1.77802E-08	4.32331E-11	03/07/2024
39	51	Y	0	40	50	Zr	3.2	0.000346851	4.65147E-07	2.47818E-08	6.01424E-11	03/07/2024
39	51	Y	0	40	50	Zr	3.7	0.000347152	4.65378E-07	3.29423E-08	7.98339E-11	03/07/2024
39	51	Y	0	40	50	Zr	4.2	0.000347454	4.65609E-07	4.22617E-08	1.02308E-10	03/07/2024
39	51	Y	0	40	50	Zr	4.7	0.000347757	4.65842E-07	5.274E-08	1.27564E-10	03/07/2024
39	51	Y	0	40	50	Zr	5.2	0.00034806	4.66075E-07	6.4377E-08	1.55602E-10	03/07/2024
39	51	Y	0	40	50	Zr	5.7	0.000348364	4.66308E-07	7.71728E-08	1.86422E-10	03/07/2024
39	51	Y	0	40	50	Zr	6.2	0.000348669	4.66543E-07	9.11273E-08	2.20025E-10	03/07/2024
39	51	Y	0	40	50	Zr	6.7	0.000348975	4.66778E-07	1.06241E-07	2.5641E-10	03/07/2024
39	51	Y	0	40	50	Zr	7.2	0.000349281	4.67014E-07	1.22512E-07	2.95577E-10	03/07/2024
39	51	Y	0	40	50	Zr	7.7	0.000349588	4.67251E-07	1.39943E-07	3.37527E-10	03/07/2024
39	51	Y	0	40	50	Zr	8.2	0.000349896	4.67489E-07	1.58532E-07	3.82258E-10	03/07/2024
39	51	Y	0	40	50	Zr	8.7	0.000350205	4.67727E-07	1.78279E-07	4.29772E-10	03/07/2024
39	51	Y	0	40	50	Zr	9.2	0.000350514	4.67966E-07	1.99185E-07	4.80068E-10	03/07/2024
39	51	Y	0	40	50	Zr	9.7	0.000350825	4.68205E-07	2.21249E-07	5.33147E-10	03/07/2024
39	51	Y	0	40	50	Zr	10	0.000351011	4.68349E-07	2.35044E-07	5.66329E-10	03/07/2024
39	51	Y	0	40	50	Zr	11	0.000351635	4.68832E-07	2.84037E-07	6.84171E-10	03/07/2024
39	51	Y	0	40	50	Zr	12	0.000352262	4.69317E-07	3.37663E-07	8.13142E-10	03/07/2024
39	51	Y	0	40	50	Zr	13	0.000352892	4.69805E-07	3.95922E-07	9.53242E-10	03/07/2024
39	51	Y	0	40	50	Zr	14	0.000353525	4.70296E-07	4.58814E-07	1.10447E-09	03/07/2024
39	51	Y	0	40	50	Zr	15	0.000354161	4.7079E-07	5.25786E-07	1.26516E-09	03/07/2024
39	51	Y	0	40	50	Zr	16	0.000354801	4.71287E-07	5.97253E-07	1.43656E-09	03/07/2024
39	51	Y	0	40	50	Zr	17	0.000355443	4.71787E-07	6.73213E-07	1.61868E-09	03/07/2024
39	51	Y	0	40	50	Zr	18	0.000356089	4.72289E-07	7.53666E-07	1.8115E-09	03/07/2024
39	51	Y	0	40	50	Zr	19	0.000356738	4.72795E-07	8.38612E-07	2.01504E-09	03/07/2024
