Energy [keV]	dN/dE	unc 
0	0.00295273	0.00000831715
1	0.00294957	0.00000829609
2	0.0029464	0.00000827514
3	0.00294323	0.0000082543
4	0.00294005	0.00000823357
5	0.00293686	0.00000821296
6	0.00293368	0.00000819248
7	0.0029305	0.00000817213
8	0.00292733	0.00000815195
9	0.00292417	0.00000813195
10	0.00292105	0.00000811213
11	0.00291795	0.00000809253
12	0.00291489	0.00000807315
13	0.00291187	0.00000805399
14	0.00290889	0.00000803508
15	0.00290595	0.0000080164
16	0.00290306	0.00000799798
17	0.00290023	0.0000079798
18	0.00289744	0.00000796188
19	0.0028947	0.0000079442
20	0.00289201	0.00000792676
21	0.00288937	0.00000790957
22	0.00288677	0.00000789262
23	0.00288423	0.00000787591
24	0.00288173	0.00000785942
25	0.00287928	0.00000784316
26	0.00287688	0.00000782712
27	0.00287452	0.00000781129
28	0.0028722	0.00000779567
29	0.00286992	0.00000778025
30	0.00286768	0.00000776503
31	0.00286547	0.00000775001
32	0.00286331	0.00000773516
33	0.00286117	0.0000077205
34	0.00285908	0.00000770601
35	0.00285701	0.00000769168
36	0.00285498	0.00000767752
37	0.00285297	0.00000766352
38	0.00285099	0.00000764966
39	0.00284904	0.00000763595
40	0.00284712	0.00000762238
41	0.00284522	0.00000760895
42	0.00284334	0.00000759564
43	0.00284148	0.00000758246
44	0.00283965	0.0000075694
45	0.00283784	0.00000755646
46	0.00283604	0.00000754362
47	0.00283426	0.0000075309
48	0.0028325	0.00000751827
49	0.00283076	0.00000750574
50	0.00282903	0.0000074933
51	0.00282731	0.00000748095
52	0.00282561	0.00000746868
53	0.00282392	0.00000745649
54	0.00282224	0.00000744438
55	0.00282058	0.00000743234
56	0.00281892	0.00000742036
57	0.00281727	0.00000740845
58	0.00281564	0.0000073966
59	0.00281401	0.00000738481
60	0.00281238	0.00000737307
61	0.00281077	0.00000736138
62	0.00280916	0.00000734973
63	0.00280756	0.00000733812
64	0.00280596	0.00000732656
65	0.00280437	0.00000731502
66	0.00280278	0.00000730352
67	0.00280119	0.00000729204
68	0.00279961	0.00000728059
69	0.00279803	0.00000726917
70	0.00279646	0.00000725775
