Energy [keV]	dN/dE	unc
0	0.000344926	0.000000463686
0.3	0.000345107	0.000000463821
0.6	0.000345288	0.000000463957
0.9	0.000345469	0.000000464094
1.2	0.000345649	0.00000046423
1.7	0.00034595	0.000000464458
2.2	0.00034625	0.000000464687
2.7	0.00034655	0.000000464916
3.2	0.000346851	0.000000465147
3.7	0.000347152	0.000000465378
4.2	0.000347454	0.000000465609
4.7	0.000347757	0.000000465842
5.2	0.00034806	0.000000466075
5.7	0.000348364	0.000000466308
6.2	0.000348669	0.000000466543
6.7	0.000348975	0.000000466778
7.2	0.000349281	0.000000467014
7.7	0.000349588	0.000000467251
8.2	0.000349896	0.000000467489
8.7	0.000350205	0.000000467727
9.2	0.000350514	0.000000467966
9.7	0.000350825	0.000000468205
10	0.000351011	0.000000468349
11	0.000351635	0.000000468832
12	0.000352262	0.000000469317
13	0.000352892	0.000000469805
14	0.000353525	0.000000470296
15	0.000354161	0.00000047079
16	0.000354801	0.000000471287
17	0.000355443	0.000000471787
18	0.000356089	0.000000472289
19	0.000356738	0.000000472795
20	0.00035739	0.000000473303
21	0.000358045	0.000000473815
22	0.000358707	0.000000474335
23	0.000359374	0.000000474859
24	0.000360045	0.000000475387
25	0.00036072	0.000000475919
26	0.0003614	0.000000476456
27	0.000362083	0.000000476997
28	0.000362771	0.000000477542
29	0.000363462	0.000000478089
30	0.000364156	0.00000047864
31	0.000364853	0.000000479194
32	0.000365555	0.000000479752
33	0.00036626	0.000000480314
34	0.000366969	0.000000480879
35	0.000367682	0.000000481448
36	0.000368396	0.000000482016
37	0.000369113	0.000000482587
38	0.000369832	0.00000048316
39	0.000370555	0.000000483735
40	0.000371281	0.000000484313
41	0.00037201	0.000000484894
42	0.000372741	0.000000485477
43	0.000373473	0.000000486058
44	0.000374206	0.000000486641
45	0.000374942	0.000000487225
46	0.00037568	0.00000048781
47	0.00037642	0.000000488397
48	0.000377162	0.000000488985
49	0.000377907	0.000000489574
50	0.00037865	0.000000490161
51	0.000379396	0.000000490749
52	0.000380142	0.000000491337
53	0.000380891	0.000000491926
54	0.00038164	0.000000492515
55	0.000382391	0.000000493104
56	0.000383144	0.000000493694
57	0.000383896	0.000000494282
58	0.000384649	0.000000494869
59	0.000385403	0.000000495455
60	0.000386158	0.000000496042
61	0.000386913	0.000000496628
62	0.00038767	0.000000497214
63	0.000388428	0.000000497799
64	0.000389184	0.000000498382
65	0.000389941	0.000000498964
66	0.000390698	0.000000499546
67	0.000391456	0.000000500126
68	0.000392214	0.000000500705
69	0.000392973	0.000000501284
70	0.000393732	0.000000501862
71	0.00039449	0.000000502436
72	0.000395249	0.00000050301
73	0.000396007	0.000000503582
74	0.000396766	0.000000504152
75	0.000397524	0.000000504721
76	0.000398283	0.000000505289
77	0.000399042	0.000000505856
78	0.000399799	0.000000506419
79	0.000400557	0.000000506981
80	0.000401314	0.000000507541
81	0.000402071	0.0000005081
82	0.000402828	0.000000508657
83	0.000403585	0.000000509212
84	0.000404341	0.000000509765
85	0.000405097	0.000000510315
86	0.000405851	0.000000510863
87	0.000406606	0.00000051141
88	0.00040736	0.000000511954
89	0.000408113	0.000000512496
90	0.000408866	0.000000513037
91	0.000409619	0.000000513575
92	0.00041037	0.00000051411
93	0.000411121	0.000000514643
94	0.000411872	0.000000515174
95	0.000412621	0.000000515703
96	0.00041337	0.00000051623
97	0.000414119	0.000000516754
98	0.000414867	0.000000517276
99	0.000415613	0.000000517795
100	0.000416359	0.000000518312
107	0.000421555	0.000000521859
114	0.000426706	0.00000052528
121	0.000431806	0.00000052857
128	0.000436851	0.000000531725
135	0.000441838	0.000000534743
142	0.000446765	0.000000537623
149	0.000451629	0.000000540363
156	0.000456427	0.000000542962
163	0.000461159	0.00000054542
170	0.000465823	0.000000547739
177	0.000470418	0.000000549916
184	0.000474943	0.000000551956
191	0.000479398	0.000000553856
198	0.000483782	0.000000555619
205	0.000488094	0.000000557247
212	0.000492334	0.00000055874
