Energy [keV]	dN/dE	unc
0	0.00251483	0.0000712446
2	0.00255361	0.0000723424
4	0.00257945	0.0000730736
6	0.00259231	0.000073437
8	0.00259822	0.0000736036
10	0.00260086	0.0000736775
12	0.00260176	0.0000737021
14	0.0026016	0.0000736967
16	0.00260073	0.0000736712
18	0.00259934	0.0000736309
20	0.00259756	0.0000735796
22	0.00259547	0.0000735195
24	0.00259311	0.0000734518
26	0.00259052	0.0000733775
28	0.00258774	0.0000732979
30	0.00258476	0.0000732126
32	0.00258163	0.000073123
34	0.00257834	0.000073029
36	0.00257489	0.0000729304
38	0.00257131	0.0000728281
40	0.00256761	0.0000727224
42	0.00256376	0.0000726124
44	0.00255979	0.0000724991
46	0.00255571	0.0000723826
48	0.0025515	0.0000722625
50	0.00254719	0.0000721395
52	0.00254275	0.0000720129
54	0.00253821	0.0000718834
56	0.00253356	0.0000717508
58	0.0025288	0.0000716151
60	0.00252392	0.000071476
62	0.00251895	0.0000713344
64	0.00251389	0.0000711902
66	0.0025087	0.0000710423
68	0.00250343	0.0000708922
70	0.00249805	0.0000707389
72	0.00249258	0.0000705831
74	0.002487	0.0000704243
76	0.00248134	0.0000702631
78	0.00247557	0.0000700988
80	0.00246971	0.000069932
82	0.00246375	0.0000697623
84	0.00245771	0.0000695904
86	0.00245157	0.0000694157
88	0.00244534	0.0000692384
90	0.00243902	0.0000690585
92	0.00243261	0.0000688762
94	0.00242611	0.0000686912
96	0.00241952	0.0000685038
98	0.00241284	0.0000683138
100	0.00240609	0.0000681218
102	0.00239924	0.0000679269
104	0.00239231	0.0000677299
106	0.00238529	0.0000675302
108	0.00237819	0.0000673284
110	0.00237101	0.0000671242
112	0.00236374	0.0000669175
114	0.0023564	0.0000667089
116	0.00234897	0.0000664977
118	0.00234146	0.0000662842
120	0.00233388	0.0000660688
122	0.00232621	0.0000658508
124	0.00231847	0.0000656308
126	0.00231065	0.0000654086
128	0.00230276	0.0000651844
130	0.00229479	0.000064958
132	0.00228674	0.0000647293
134	0.00227862	0.0000644986
136	0.00227043	0.0000642659
138	0.00226216	0.000064031
140	0.00225383	0.0000637944
142	0.00224542	0.0000635555
144	0.00223693	0.0000633144
146	0.00222838	0.0000630716
148	0.00221976	0.0000628268
