Energy [keV]	dN/dE	unc
0	0.00118689	0.000000968849
2	0.00120546	0.000000979542
4	0.00121792	0.000000985193
6	0.00122426	0.000000985804
8	0.00122732	0.000000983708
10	0.00122884	0.000000980332
12	0.00122954	0.000000976263
14	0.00122974	0.000000971767
16	0.00122961	0.000000966978
18	0.00122923	0.000000961974
20	0.00122867	0.000000956799
22	0.00122796	0.000000951484
24	0.00122713	0.00000094605
26	0.00122619	0.00000094051
28	0.00122516	0.000000934875
30	0.00122404	0.000000929154
32	0.00122285	0.000000923351
34	0.00122158	0.000000917473
36	0.00122024	0.000000911523
38	0.00121884	0.000000905503
40	0.00121738	0.000000899418
42	0.00121585	0.000000893268
44	0.00121427	0.000000887057
46	0.00121264	0.000000880785
48	0.00121094	0.000000874454
50	0.0012092	0.000000868066
52	0.0012074	0.000000861622
54	0.00120555	0.000000855123
56	0.00120365	0.00000084857
58	0.0012017	0.000000841964
60	0.00119969	0.000000835306
62	0.00119764	0.000000828597
64	0.00119555	0.000000821838
66	0.0011934	0.000000815029
68	0.00119121	0.000000808172
70	0.00118897	0.000000801268
72	0.00118669	0.000000794317
74	0.00118435	0.000000787319
76	0.00118198	0.000000780277
78	0.00117956	0.00000077319
80	0.00117709	0.000000766059
82	0.00117458	0.000000758884
84	0.00117203	0.000000751668
86	0.00116944	0.00000074441
88	0.0011668	0.000000737111
90	0.00116412	0.000000729772
92	0.00116139	0.000000722393
94	0.00115863	0.000000714975
96	0.00115582	0.00000070752
98	0.00115297	0.000000700027
100	0.00115009	0.000000692497
102	0.00114716	0.000000684931
104	0.00114419	0.00000067733
106	0.00114118	0.000000669694
108	0.00113813	0.000000662024
110	0.00113505	0.00000065432
112	0.00113192	0.000000646584
114	0.00112876	0.000000638816
116	0.00112555	0.000000631017
118	0.00112231	0.000000623187
120	0.00111904	0.000000615328
122	0.00111572	0.000000607439
124	0.00111237	0.000000599521
126	0.00110898	0.000000591575
128	0.00110556	0.000000583603
130	0.0011021	0.000000575603
132	0.0010986	0.000000567578
134	0.00109507	0.000000559528
136	0.0010915	0.000000551453
138	0.0010879	0.000000543354
140	0.00108427	0.000000535232
142	0.0010806	0.000000527088
144	0.00107689	0.000000518922
146	0.00107315	0.000000510735
148	0.00106938	0.000000502527
150	0.00106558	0.0000004943
152	0.00106174	0.000000486053
154	0.00105788	0.000000477788
156	0.00105398	0.000000469506
158	0.00105004	0.000000461207
160	0.00104608	0.000000452891
162	0.00104208	0.00000044456
164	0.00103806	0.000000436213
166	0.001034	0.000000427864
168	0.00102991	0.000000419507
170	0.0010258	0.000000411136
172	0.00102165	0.000000402753
174	0.00101748	0.000000394359
176	0.00101327	0.000000385955
178	0.00100904	0.00000037754
180	0.00100478	0.000000369116
182	0.00100049	0.000000360683
184	0.000996169	0.000000352242
186	0.000991824	0.000000343794
188	0.000987452	0.00000033534
190	0.000983052	0.00000032688
192	0.000978626	0.000000318415
194	0.000974174	0.000000309946
196	0.000969696	0.000000301473
198	0.000965193	0.000000292997
200	0.000960664	0.000000284519
202	0.00095611	0.000000276039
204	0.000951531	0.000000267559
206	0.000946928	0.000000259079
208	0.000942301	0.000000250599
210	0.00093765	0.000000242122
212	0.000932976	0.000000233646
214	0.000928278	0.000000225173
216	0.000923558	0.000000216704
218	0.000918815	0.00000020824
220	0.000914051	0.00000019978
222	0.000909264	0.000000191327
224	0.000904456	0.00000018288
226	0.000899627	0.000000174441
228	0.000894776	0.00000016601
230	0.000889906	0.000000157588
232	0.000885015	0.000000149175
234	0.000880104	0.000000140773
236	0.000875174	0.000000132383
238	0.000870224	0.000000124004
240	0.000865256	0.000000115638
242	0.000860269	0.000000107285
244	0.000855264	0.0000000989467
246	0.000850241	0.0000000906234
248	0.000845201	0.0000000823158
250	0.000840143	0.0000000740249
252	0.000835068	0.0000000657513
254	0.000829977	0.0000000574958
256	0.00082487	0.0000000492592
258	0.000819747	0.0000000410422
260	0.000814608	0.0000000328457
262	0.000809454	0.0000000246705
264	0.000804286	0.0000000165172
266	0.000799102	0.00000000838681
268	0.000793905	0.000000000459639
270	0.000788694	0.00000000855352
272	0.00078347	0.0000000166221
274	0.000778232	0.0000000246645
276	0.000772982	0.00000003268
278	0.000767719	0.0000000406678
280	0.000762445	0.0000000486271
282	0.000757158	0.0000000565571
284	0.000751861	0.000000064457
286	0.000746552	0.0000000723259
288	0.000741233	0.0000000801631
290	0.000735903	0.0000000879678
292	0.000730564	0.000000095739
294	0.000725215	0.000000103476
296	0.000719856	0.000000111178
298	0.000714489	0.000000118845
300	0.000709114	0.000000126474
302	0.00070373	0.000000134067
304	0.000698339	0.000000141621
306	0.00069294	0.000000149135
308	0.000687534	0.00000015661
310	0.000682122	0.000000164045
312	0.000676703	0.000000171437
314	0.000671279	0.000000178788
316	0.000665849	0.000000186095
318	0.000660414	0.000000193358
320	0.000654974	0.000000200576
322	0.000649529	0.000000207748
324	0.000644081	0.000000214874
326	0.000638628	0.000000221952
328	0.000633173	0.000000228982
330	0.000627714	0.000000235963
332	0.000622253	0.000000242894
334	0.00061679	0.000000249774
336	0.000611325	0.000000256603
338	0.000605859	0.000000263379
340	0.000600392	0.000000270102
342	0.000594924	0.00000027677
344	0.000589455	0.000000283384
346	0.000583987	0.000000289941
348	0.000578519	0.000000296442
350	0.000573052	0.000000302885
352	0.000567587	0.00000030927
354	0.000562123	0.000000315595
356	0.000556661	0.00000032186
358	0.000551202	0.000000328064
360	0.000545745	0.000000334206
362	0.000540292	0.000000340285
364	0.000534842	0.0000003463
366	0.000529396	0.000000352251
368	0.000523955	0.000000358136
370	0.000518518	0.000000363956
372	0.000513087	0.000000369707
374	0.000507661	0.000000375391
376	0.000502241	0.000000381006
378	0.000496828	0.000000386551
380	0.000491421	0.000000392025
382	0.000486021	0.000000397428
384	0.000480629	0.000000402758
386	0.000475245	0.000000408015
388	0.00046987	0.000000413198
390	0.000464503	0.000000418305
392	0.000459145	0.000000423336
394	0.000453797	0.000000428291
396	0.000448459	0.000000433167
398	0.000443131	0.000000437965
400	0.000437814	0.000000442684
402	0.000432508	0.000000447321
404	0.000427214	0.000000451878
406	0.000421932	0.000000456352
408	0.000416662	0.000000460742
410	0.000411406	0.000000465049
412	0.000406162	0.00000046927
414	0.000400932	0.000000473406
416	0.000395716	0.000000477455
418	0.000390515	0.000000481416
420	0.000385329	0.000000485288
422	0.000380158	0.000000489071
424	0.000375002	0.000000492763
426	0.000369863	0.000000496364
428	0.000364741	0.000000499873
430	0.000359635	0.000000503288
432	0.000354547	0.000000506609
434	0.000349477	0.000000509835
436	0.000344425	0.000000512965
438	0.000339391	0.000000515998
440	0.000334377	0.000000518934
442	0.000329382	0.00000052177
444	0.000324408	0.000000524507
446	0.000319453	0.000000527143
448	0.00031452	0.000000529678
450	0.000309607	0.00000053211
452	0.000304717	0.000000534439
454	0.000299848	0.000000536663
456	0.000295002	0.000000538783
458	0.000290179	0.000000540796
460	0.000285379	0.000000542701
462	0.000280603	0.000000544499
464	0.000275852	0.000000546188
466	0.000271125	0.000000547767
468	0.000266423	0.000000549235
470	0.000261746	0.000000550591
472	0.000257096	0.000000551834
474	0.000252472	0.000000552964
476	0.000247875	0.000000553979
478	0.000243305	0.000000554878
480	0.000238763	0.000000555661
482	0.000234249	0.000000556326
484	0.000229763	0.000000556873
486	0.000225307	0.000000557301
488	0.00022088	0.000000557608
490	0.000216483	0.000000557794
492	0.000212117	0.000000557858
494	0.000207781	0.000000557798
496	0.000203476	0.000000557614
498	0.000199203	0.000000557306
500	0.000194963	0.000000556871
502	0.000190754	0.000000556309
504	0.000186579	0.000000555619
506	0.000182438	0.0000005548
508	0.00017833	0.000000553852
510	0.000174256	0.000000552772
512	0.000170218	0.000000551561
514	0.000166214	0.000000550217
516	0.000162247	0.000000548739
518	0.000158315	0.000000547127
520	0.00015442	0.000000545378
522	0.000150562	0.000000543494
524	0.000146742	0.000000541471
526	0.000142959	0.00000053931
528	0.000139215	0.00000053701
530	0.00013551	0.000000534569
532	0.000131845	0.000000531987
534	0.000128218	0.000000529262
536	0.000124633	0.000000526394
538	0.000121087	0.000000523381
540	0.000117583	0.000000520224
542	0.000114121	0.000000516943
544	0.000110701	0.000000513522
546	0.000107323	0.000000509953
548	0.000103988	0.000000506235
550	0.000100697	0.000000502368
552	0.0000974489	0.00000049835
554	0.0000942457	0.00000049418
556	0.0000910873	0.000000489858
558	0.0000879742	0.000000485382
560	0.0000849068	0.000000480752
562	0.0000818855	0.000000475966
564	0.000078911	0.000000471023
566	0.0000759835	0.000000465923
568	0.0000731036	0.000000460665
570	0.0000702718	0.000000455247
572	0.0000674885	0.000000449669
574	0.0000647542	0.000000443929
576	0.0000620693	0.000000438027
578	0.0000594343	0.000000431962
580	0.0000568496	0.000000425733
582	0.0000543159	0.000000419338
584	0.0000518334	0.000000412777
586	0.0000494027	0.000000406049
588	0.0000470242	0.000000399152
590	0.0000446985	0.000000392087
592	0.0000424259	0.000000384852
594	0.000040207	0.000000377445
596	0.0000380422	0.000000369867
598	0.0000359319	0.000000362115
600	0.0000338768	0.00000035419
602	0.0000318772	0.000000346089
604	0.0000299335	0.000000337813
606	0.0000280464	0.00000032936
608	0.0000262162	0.00000032073
610	0.0000244434	0.000000311921
612	0.0000227284	0.000000302932
614	0.0000210719	0.000000293762
616	0.0000194741	0.000000284411
618	0.0000179357	0.000000274878
620	0.0000164571	0.000000265161
622	0.0000150386	0.00000025526
624	0.0000136809	0.000000245174
626	0.0000123844	0.000000234902
628	0.0000111496	0.000000224443
630	0.0000099769	0.000000213797
632	0.00000886681	0.000000202962
634	0.00000781979	0.000000191937
636	0.00000683632	0.000000180722
638	0.00000591687	0.000000169316
640	0.00000506191	0.000000157718
642	0.00000427191	0.000000145928
644	0.00000354733	0.000000133944
646	0.00000288865	0.000000121767
648	0.00000229632	0.000000109396
650	0.00000177081	0.0000000968298
652	0.00000131257	0.000000084069
654	0.000000922069	0.0000000711134
