Energy [keV]	dN/dE	unc
0	0.0000658747	0.000000014079
3	0.0000662994	0.0000000141357
6	0.0000666034	0.0000000141536
9	0.0000667867	0.0000000141328
12	0.0000669204	0.0000000140978
15	0.0000670323	0.0000000140565
18	0.000067131	0.0000000140115
21	0.0000672201	0.0000000139641
24	0.0000673017	0.0000000139148
27	0.0000673774	0.000000013864
30	0.0000674482	0.000000013812
33	0.000067515	0.0000000137591
36	0.0000675786	0.0000000137055
39	0.0000676393	0.0000000136512
42	0.0000676976	0.0000000135965
45	0.0000677538	0.0000000135413
48	0.0000678081	0.0000000134857
51	0.0000678606	0.0000000134298
54	0.0000679114	0.0000000133736
57	0.0000679607	0.0000000133171
60	0.0000680083	0.0000000132604
63	0.0000680545	0.0000000132034
66	0.000068099	0.0000000131461
69	0.000068142	0.0000000130886
72	0.0000681835	0.0000000130309
75	0.0000682233	0.000000012973
78	0.0000682615	0.0000000129148
81	0.000068298	0.0000000128565
84	0.0000683328	0.0000000127979
87	0.0000683659	0.000000012739
90	0.0000683972	0.00000001268
93	0.0000684267	0.0000000126207
96	0.0000684544	0.0000000125613
99	0.0000684803	0.0000000125016
102	0.0000685043	0.0000000124417
105	0.0000685264	0.0000000123816
108	0.0000685466	0.0000000123214
111	0.0000685648	0.0000000122609
114	0.0000685811	0.0000000122002
117	0.0000685955	0.0000000121394
120	0.0000686079	0.0000000120784
123	0.0000686183	0.0000000120172
126	0.0000686268	0.0000000119558
129	0.0000686332	0.0000000118943
132	0.0000686377	0.0000000118326
135	0.0000686402	0.0000000117707
138	0.0000686406	0.0000000117088
141	0.0000686391	0.0000000116467
144	0.0000686356	0.0000000115844
147	0.0000686301	0.0000000115221
150	0.0000686227	0.0000000114596
153	0.0000686132	0.000000011397
156	0.0000686018	0.0000000113344
159	0.0000685884	0.0000000112716
162	0.0000685731	0.0000000112087
165	0.0000685559	0.0000000111458
168	0.0000685367	0.0000000110828
171	0.0000685156	0.0000000110197
174	0.0000684926	0.0000000109566
177	0.0000684677	0.0000000108934
180	0.000068441	0.0000000108302
183	0.0000684124	0.000000010767
186	0.0000683819	0.0000000107037
189	0.0000683496	0.0000000106404
192	0.0000683155	0.0000000105771
195	0.0000682796	0.0000000105137
198	0.000068242	0.0000000104504
201	0.0000682025	0.0000000103871
204	0.0000681613	0.0000000103237
207	0.0000681184	0.0000000102604
210	0.0000680738	0.0000000101971
213	0.0000680275	0.0000000101338
