Energy [keV]	dN/dE	unc
0	0.155306	0.00126848
0.06	0.154178	0.00125185
0.12	0.153057	0.00123533
0.18	0.151943	0.00121894
0.24	0.150836	0.00120266
0.3	0.149735	0.00118651
0.36	0.148641	0.00117047
0.42	0.147553	0.00115454
0.48	0.146472	0.00113874
0.54	0.145398	0.00112305
0.6	0.14433		0.00110747
0.66	0.143268	0.00109201
0.72	0.142213	0.00107667
0.78	0.141164	0.00106143
0.84	0.140122	0.00104631
0.9	0.139086	0.0010313
0.96	0.138056	0.0010164
1.02	0.137032	0.00100161
1.08	0.136015	0.000986933
1.14	0.135003	0.000972362
1.2	0.133998	0.000957901
1.26	0.132999	0.000943546
1.32	0.132006	0.000929299
1.38	0.131019	0.000915158
1.44	0.130038	0.000901123
1.5	0.129063	0.000887194
1.56	0.128094	0.000873368
1.62	0.127131	0.000859647
1.68	0.126173	0.000846029
1.74	0.125222	0.000832513
1.8	0.124276	0.000819099
1.86	0.123336	0.000805787
1.92	0.122401	0.000792576
1.98	0.121473	0.000779465
2.04	0.12055		0.000766453
2.1	0.119632	0.00075354
2.16	0.118721	0.000740726
2.22	0.117814	0.000728009
2.28	0.116914	0.00071539
2.34	0.116019	0.000702867
2.4	0.115129	0.000690441
2.46	0.114244	0.00067811
2.52	0.113366	0.000665873
2.58	0.112492	0.000653731
2.64	0.111624	0.000641683
2.7	0.110761	0.000629728
2.76	0.109903	0.000617866
2.82	0.109051	0.000606095
2.88	0.108204	0.000594417
2.94	0.107362	0.000582829
3	0.106525	0.000571331
3.06	0.105693	0.000559924
3.12	0.104866	0.000548606
3.18	0.104045	0.000537376
3.24	0.103228	0.000526235
3.3	0.102417	0.000515182
3.36	0.10161		0.000504216
3.42	0.100808	0.000493337
3.48	0.100012	0.000482543
3.54	0.0992197	0.000471836
3.6	0.0984327	0.000461214
3.66	0.0976505	0.000450676
3.72	0.0968731	0.000440223
3.78	0.0961004	0.000429853
3.84	0.0953325	0.000419566
3.9	0.0945693	0.000409362
3.96	0.0938108	0.000399241
4.02	0.093057	0.000389201
4.08	0.0923077	0.000379242
4.14	0.0915631	0.000369439
4.2	0.090823	0.000359832
4.26	0.0900875	0.000350302
4.32	0.0893564	0.00034085
4.38	0.0886299	0.000331474
4.44	0.0879078	0.000322175
4.5	0.0871902	0.000312951
4.56	0.0864769	0.000303803
4.62	0.0857681	0.00029473
4.68	0.0850636	0.000285731
4.74	0.0843634	0.000276807
4.8	0.0836675	0.000267956
4.86	0.0829759	0.000259178
4.92	0.0822885	0.000250473
4.98	0.0816054	0.000241841
5.04	0.0809264	0.00023328
5.1	0.0802516	0.000224792
5.16	0.079581	0.000216374
5.22	0.0789145	0.000208027
5.28	0.078252	0.000199751
5.34	0.0775937	0.000191544
5.4	0.0769394	0.000183407
5.46	0.0762891	0.00017534
5.52	0.0756428	0.000167341
5.58	0.0750005	0.000159411
5.64	0.0743621	0.000151549
5.7	0.0737276	0.000143754
5.76	0.0730971	0.000136027
5.82	0.0724704	0.000128367
5.88	0.0718476	0.000120774
5.94	0.0712286	0.000113247
6	0.0706134	0.000105785
6.06	0.0700019	0.0000983899
6.12	0.0693943	0.0000910595
6.18	0.0687903	0.0000837941
6.24	0.0681901	0.0000765932
6.3	0.0675936	0.0000694565
6.36	0.0670007	0.0000623838
6.42	0.0664115	0.0000553746
6.48	0.0658259	0.0000484287
6.54	0.0652439	0.0000415457
6.6	0.0646655	0.0000347254
6.66	0.0640907	0.0000279673
6.72	0.0635193	0.0000212713
6.78	0.0629515	0.0000146369
6.84	0.0623872	0.00000806396
6.9	0.0618264	0.00000514816
6.96	0.061269	0.0000116977
7.02	0.060715	0.0000181849
7.08	0.0601645	0.00002461
7.14	0.0596173	0.0000309734
7.2	0.0590735	0.0000372753
7.26	0.058533	0.000043516
7.32	0.0579959	0.0000496958
7.38	0.0574621	0.0000558149
7.44	0.0569315	0.0000618736
7.5	0.0564043	0.0000678722
7.56	0.0558803	0.0000738109
7.62	0.0553595	0.0000796901
7.68	0.0548419	0.0000855098
7.74	0.0543275	0.0000912705
7.8	0.0538163	0.0000969723
7.86	0.0533082	0.000102615
7.92	0.0528033	0.0001082
7.98	0.0523015	0.000113727
8.04	0.0518028	0.000119196
8.1	0.0513071	0.000124607
8.16	0.0508145	0.00012996
8.22	0.050325	0.000135257
8.28	0.0498385	0.000140496
8.34	0.049355	0.000145678
8.4	0.0488745	0.000150804
8.46	0.048397	0.000155873
8.52	0.0479224	0.000160887
8.58	0.0474507	0.000165844
8.64	0.046982	0.000170745
8.7	0.0465162	0.00017559
8.76	0.0460533	0.000180381
8.82	0.0455932	0.000185115
8.88	0.045136	0.000189795
8.94	0.0446817	0.00019442
9	0.0442301	0.00019899
9.06	0.0437814	0.000203505
9.12	0.0433355	0.000207966
9.18	0.0428924	0.000212373
9.24	0.042452	0.000216725
9.3	0.0420143	0.000221023
9.36	0.0415794	0.000225268
9.42	0.0411472	0.000229459
9.48	0.0407177	0.000233596
9.54	0.040291	0.000237679
9.6	0.0398668	0.00024171
9.66	0.0394454	0.000245687
9.72	0.0390266	0.000249611
9.78	0.0386104	0.000253482
9.84	0.0381968	0.0002573
9.9	0.0377858	0.000261066
9.96	0.0373775	0.000264778
10	0.0371067	0.000267224
10.06	0.0367026	0.000270849
10.12	0.036301	0.000274422
10.18	0.0359021	0.000277943
10.24	0.0355056	0.000281411
10.3	0.0351117	0.000284827
10.36	0.0347202	0.000288191
10.42	0.0343313	0.000291503
10.48	0.0339449	0.000294763
10.54	0.0335609	0.000297971
10.6	0.0331793	0.000301127
10.66	0.0328003	0.000304232
10.72	0.0324236	0.000307285
10.78	0.0320494	0.000310286
10.84	0.0316776	0.000313236
10.9	0.0313082	0.000316134
10.96	0.0309412	0.00031898
11.02	0.0305765	0.000321776
11.08	0.0302142	0.000324519
11.14	0.0298543	0.000327211
11.2	0.0294968	0.000329851
11.26	0.0291416	0.00033244
11.32	0.0287887	0.000334978
11.38	0.028438	0.000337465
11.44	0.0280898	0.0003399
11.5	0.0277438	0.000342284
11.56	0.0274001	0.000344616
11.62	0.0270587	0.000346896
11.68	0.0267196	0.000349125
11.74	0.0263828	0.000351303
11.8	0.0260482	0.00035343
11.86	0.0257158	0.000355505
11.92	0.0253857	0.000357528
11.98	0.0250577	0.0003595
12.04	0.024732	0.00036142
12.1	0.0244086	0.000363289
